dataset,did,stratefy,group,label
CCR,027,官话,北京,官话
CCR,046,官话,西安,官话
CCR,118,吴语,苏州,非官话
CCR,136,吴语,温州,非官话
CCR,155,吴语,泾县,非官话
CCR,176,赣语,南昌,非官话
CCR,186,赣语,吉安,非官话
CCR,216,湘语,双峰,非官话
CCR,222,闽语,厦门,非官话
CCR,240,闽语,福州,非官话
CCR,249,闽语,建瓯,非官话
CCR,272,粤语,广州,非官话
CCR,306,平话,融水,非官话
CCR,356,平话,南宁,非官话
CCR,365,客家话,梅州,非官话
CCR,378,客家话,长汀,非官话
MCPDict,北京,官话,北京,官话
MCPDict,南京,官话,南京,官话
MCPDict,南寧亭子,平话,南宁,非官话
MCPDict,南昌,赣语,南昌,非官话
MCPDict,厦門,闽语,厦门,非官话
MCPDict,吉安,赣语,吉安,非官话
MCPDict,婺源,徽语,婺源,非官话
MCPDict,廣州,粤语,广州,非官话
MCPDict,建甌,闽语,建瓯,非官话
MCPDict,成都,官话,成都,官话
MCPDict,桂林,官话,桂林,官话
MCPDict,梅縣,客家话,梅州,非官话
MCPDict,洛陽,官话,洛阳,官话
MCPDict,涇縣,吴语,泾县,非官话
MCPDict,溫州,吴语,温州,非官话
MCPDict,煙臺,官话,烟台,官话
MCPDict,福州,闽语,福州,非官话
MCPDict,蘇州,吴语,苏州,非官话
MCPDict,融水,平话,融水,非官话
MCPDict,西安,官话,西安,官话
MCPDict,長汀,客家话,长汀,非官话
MCPDict,雙峰,湘语,双峰,非官话
MCPDict,鬱林,粤语,玉林,非官话
zhongguoyuyan,01G17,官话,桂林,官话
zhongguoyuyan,01G23,平话,南宁,非官话
zhongguoyuyan,01G26,平话,融水,非官话
zhongguoyuyan,01G31,粤语,玉林,非官话
zhongguoyuyan,02193,闽语,建瓯,非官话
zhongguoyuyan,02553,客家话,长汀,非官话
zhongguoyuyan,02A05,闽语,福州,非官话
zhongguoyuyan,02G49,闽语,厦门,非官话
zhongguoyuyan,03E88,官话,北京,官话
zhongguoyuyan,06258,官话,烟台,官话
zhongguoyuyan,08210,吴语,温州,非官话
zhongguoyuyan,10G68,官话,南京,官话
zhongguoyuyan,10G71,吴语,苏州,非官话
zhongguoyuyan,15231,粤语,广州,非官话
zhongguoyuyan,15233,客家话,梅州,非官话
zhongguoyuyan,16300,官话,成都,官话
zhongguoyuyan,18358,赣语,南昌,非官话
zhongguoyuyan,18925,赣语,吉安,非官话
zhongguoyuyan,18936,徽语,婺源,非官话
zhongguoyuyan,21A32,吴语,泾县,非官话
zhongguoyuyan,21E62,徽语,歙县,非官话
zhongguoyuyan,24C62,官话,洛阳,官话
zhongguoyuyan,26509,湘语,双峰,非官话
zhongguoyuyan,26J48,湘语,娄底,非官话
zhongguoyuyan,28999,官话,西安,官话
