cid,CCR,zhongguoyuyan,simplified,traditional,character
0,6355,,⿰木叜,⿰木叜,⿰木叜
1,13691,,⿱⿰来攵正,⿱⿰来攵正,⿱⿰来攵正
2,9923,,⿱丿𠔿,⿱丿𠔿,⿱丿𠔿
3,5839,,⿳艹椎木,⿳艹椎木,⿳艹椎木
4,14187,,㐭,㐭,㐭
5,20071,,㐸,㐸,㐸
6,1137,,㒋,㒋,㒋
7,5299,,㒨,㒨,㒨
8,13329,,㒳,㒳,㒳
9,5193,,㒹,㒹,㒹
10,8055,,㓝,㓝,㓝
11,14556,,㓠,㓠,㓠
12,23162,,㓢,㓢,㓢
13,7388,,㓻,㓻,㓻
14,22795,,㔢,㔢,㔢
15,14273,,㔶,㔶,㔶
16,1585,,㔻,㔻,㔻
17,13970,,㕗,㕗,㕗
18,12834,,㕚,㕚,㕚
19,13858,,㕛,㕛,㕛
20,22875,,㕞,㕞,㕞
21,2991,,㖒,㖒,㖒
22,3290,,㖞,喎,喎
23,24637,,㗱,㗱,㗱
24,23442,,㘌,㘌,㘌
25,9465,,㘱,㘱,㘱
26,1950,,㙨,㙨,㙨
27,14794,,㙲,㙲,㙲
28,2753,,㚢,㚢,㚢
29,11289,,㚷,㚷,㚷
30,12916,,㛐,㛐,㛐
31,17717,,㛑,㛑,㛑
32,12914,,㛮,㛮,㛮
33,10568,,㜽,㜽,㜽
34,19711,,㝅,㝅,㝅
35,17914,,㝈,㝈,㝈
36,13529,,㝗,㝗,㝗
37,7352,,㝗,㝗,㝗
38,10839,,㝢,㝢,㝢
39,5993,,㝯,㝯,㝯
40,14740,,㝱,㝱,㝱
41,21873,,㞕,㞕,㞕
42,18332,,㞙,㞙,㞙
43,12329,,㞡,㞡,㞡
44,1633,,㞢,㞢,㞢
45,9275,,㞥,㞥,㞥
46,9286,,㟥,嵾,嵾
47,12924,,㠀,㠀,㠀
48,11373,,㠑,㠑,㠑
49,10492,,㠯,㠯,㠯
50,9548,,㡨,㡨,㡨
51,9606,,㡨,㡨,㡨
52,23552,,㡯,㡯,㡯
53,11867,,㡷,㡷,㡷
54,23853,,㡿,㡿,㡿
55,11297,,㢊,㢊,㢊
56,19030,,㢓,㢓,㢓
57,13323,,㢡,㢡,㢡
58,21335,,㢸,㢸,㢸
59,12996,,㤇,㤇,㤇
60,6989,,㤉,㤉,㤉
61,25227,,㥦,㥦,㥦
62,16470,,㦣,㦣,㦣
63,14600,,㦿,㦿,㦿
64,9987,,㧐,㩳,㩳
65,23719,,㧖,㧖,㧖
66,3951,,㨉,㨉,㨉
67,8620,,㨨,㨨,㨨
68,12923,,㨶,㨶,㨶
69,18958,,㨾,㨾,㨾
70,24872,,㩉,㩉,㩉
71,24953,,㩉,㩉,㩉
72,9205,,㩒,㩒,㩒
73,20978,,㩧,㩧,㩧
74,977,,㩻,㩻,㩻
75,21055,,㪬,㪬,㪬
76,14049,,㪷,㪷,㪷
77,12056,,㬉,㬉,㬉
78,17290,,㬜,㬜,㬜
79,24690,,㬤,㬤,㬤
80,16078,,㬱,㬱,㬱
81,23959,,㭊,㭊,㭊
82,10011,,㭋,㭋,㭋
83,10163,,㭰,㭰,㭰
84,19964,,㮇,㮇,㮇
85,5095,,㮍,㮍,㮍
86,21187,,㮚,㮚,㮚
87,17088,,㮣,㮣,㮣
88,461,,㮤,㮤,㮤
89,13327,,㯍,㯍,㯍
90,24962,,㯓,㯓,㯓
91,20206,,㯟,㯟,㯟
92,18811,,㰳,㰳,㰳
93,14255,,㱃,㱃,㱃
94,2006,,㱕,㱕,㱕
95,13895,,㱙,㱙,㱙
96,20993,,㱿,㱿,㱿
97,8628,,㲃,㲃,㲃
98,5924,,㲈,㲈,㲈
99,25066,,㲱,㲱,㲱
100,5489,,㳂,㳂,㳂
101,5532,,㳄,㳄,㳄
102,8492,,㳅,㳅,㳅
103,16749,,㳗,㳗,㳗
104,25124,,㳧,㳧,㳧
105,22074,,㳨,㳨,㳨
106,5506,,㳬,㳬,㳬
107,14598,,㴴,㴴,㴴
108,17867,,㵎,㵎,㵎
109,21974,,㵣,㵣,㵣
110,17282,,㶳,㶳,㶳
111,15530,,㷉,㷉,㷉
112,308,,㷓,㷓,㷓
113,3829,,㷠,㷠,㷠
114,589,,㷭,㷭,㷭
115,6395,,㷮,㷮,㷮
116,25455,,㸣,㸣,㸣
117,3906,,㹞,㹞,㹞
118,4560,,㹠,㹠,㹠
119,25479,,㹤,㹤,㹤
120,8091,,㹶,㹶,㹶
121,18609,,㺺,㺺,㺺
122,8069,,㼛,㼛,㼛
123,14807,,㼿,㼿,㼿
124,12832,,㽱,㽱,㽱
125,7213,,㽵,㽵,㽵
126,24910,,㽺,㽺,㽺
127,15930,,㽽,㽽,㽽
128,16726,,㾏,㾏,㾏
129,14174,,㾛,㾛,㾛
130,13615,,㾪,㾪,㾪
131,16587,,㿃,㿃,㿃
132,23505,,㿭,㿭,㿭
133,18633,,㿷,㿷,㿷
134,17382,,䀢,䀢,䀢
135,2487,,䁖,瞜,瞜
136,8951,,䁖,瞜,瞜
137,15632,,䁦,䁦,䁦
138,8920,,䁱,䁱,䁱
139,12570,,䁴,䁴,䁴
140,19231,,䂻,䂻,䂻
141,18752,,䃺,䃺,䃺
142,7276,,䄃,䄃,䄃
143,6535,,䄉,䄉,䄉
144,18125,,䄠,䄠,䄠
145,802,,䄬,䄬,䄬
146,698,,䆫,䆫,䆫
147,24673,,䇐,䇐,䇐
148,25354,,䇲,筴,筴
149,18493,,䈇,䈇,䈇
150,25039,,䈎,䈎,䈎
151,13962,,䈙,䈙,䈙
152,4284,,䈥,䈥,䈥
153,10113,,䉂,䉂,䉂
154,13325,,䉃,䉃,䉃
155,13460,,䉃,䉃,䉃
156,2675,,䊀,䊀,䊀
157,3483,,䊈,䊈,䊈
158,4906,,䊡,䊡,䊡
159,15177,,䊧,䊧,䊧
160,1805,,䌶,䊷,䊷
161,8765,,䌷,紬,紬
162,11997,,䍐,䍐,䍐
163,24636,,䏉,䏉,䏉
164,21145,,䏘,䏘,䏘
165,5560,,䏝,膞,膞
166,2162,,䐗,䐗,䐗
167,20260,,䑑,䑑,䑑
168,20679,,䑑,䑑,䑑
169,17377,,䑞,䑞,䑞
170,6356,,䑹,䑹,䑹
171,19337,,䒌,䒌,䒌
172,1517,,䒘,䒘,䒘
173,8279,,䒱,䒱,䒱
174,5110,,䒶,䒶,䒶
175,141,,䓖,藭,藭
176,2658,,䔕,䔕,䔕
177,8301,,䔖,䔖,䔖
178,13722,,䔛,䔛,䔛
179,7115,,䕬,䕬,䕬
180,3343,,䕸,䕸,䕸
181,18947,,䖳,䖳,䖳
182,24942,,䗶,䗶,䗶
183,11751,,䘆,䘆,䘆
184,11785,,䘆,䘆,䘆
185,4143,,䘇,䘇,䘇
186,15802,,䘱,䘱,䘱
187,9250,,䘳,䘳,䘳
188,11817,,䘼,䘼,䘼
189,21538,,䘿,䘿,䘿
190,5983,,䙅,䙅,䙅
191,2983,,䚣,䚣,䚣
192,12439,,䛒,䛒,䛒
193,13971,,䛻,䛻,䛻
194,4266,,䜣,訢,訢
195,23458,,䜺,䜺,䜺
196,14771,,䝋,䝋,䝋
197,17522,,䞁,䞁,䞁
198,7915,,䞍,䝼,䝼
199,21548,,䞞,䞞,䞞
200,20724,,䟉,䟉,䟉
201,7819,,䟓,䟓,䟓
202,16535,,䟷,䟷,䟷
203,18902,,䠶,䠶,䠶
204,3781,,䢅,䢅,䢅
205,402,,䢉,䢉,䢉
206,2838,,䢐,䢐,䢐
207,22428,,䥛,䥛,䥛
208,22141,,䥽,鏺,鏺
209,12526,,䧘,䧘,䧘
210,25323,,䨐,䨐,䨐
211,22798,,䨮,䨮,䨮
212,16827,,䪥,䪥,䪥
213,9233,,䪩,䪩,䪩
214,18507,,䫉,䫉,䫉
215,11178,,䫌,䫌,䫌
216,19862,,䫲,䫲,䫲
217,8700,,䬒,䬒,䬒
218,1905,,䬠,䬠,䬠
219,2987,,䬫,䬫,䬫
220,1636,,䬮,䬮,䬮
221,9587,,䬯,䬯,䬯
222,9694,,䬯,䬯,䬯
223,22032,,䬴,䬴,䬴
224,14424,,䭕,䭕,䭕
225,20874,,䮤,䮤,䮤
226,425,,䯳,䯳,䯳
227,19491,,䯾,䯾,䯾
228,4144,,䰚,䰚,䰚
229,19371,,䰝,䰝,䰝
230,10710,,䰞,䰞,䰞
231,4458,,䰟,䰟,䰟
232,2014,,䰻,䰻,䰻
233,25497,,䱒,䱒,䱒
234,20419,,䱡,䱡,䱡
235,11271,,䲒,䲒,䲒
236,7742,,䲔,䲔,䲔
237,17324,,䲟,鮣,鮣
238,8441,,䲢,鰧,鰧
239,2015,,䲣,䱷,䱷
240,10887,,䳇,䳇,䳇
241,22723,,䴕,鴷,鴷
242,24180,,䴗,鶪,鶪
243,1194,,䵹,䵹,䵹
244,1215,,䶵,䶵,䶵
245,21129,0656,一,一,一
246,7815,,丁,丁,丁
247,8093,,丁,丁,丁
248,21132,0649,七,七,七
249,13451,,丄,丄,丄
250,19037,,丄,丄,丄
251,13223,,丅,丅,丅
252,17484,0608,万,萬,萬
253,17483,,万,万,万
254,13397,,丈,丈,丈
255,9444,0391,三,三,三
256,19036,0743,上,上,上
257,13450,,上,上,上
258,18870,0038,下,下,下
259,13222,,下,下,下
260,19520,,不,不,不
261,21497,,不,不,不
262,8692,,不,不,不
263,15717,,与,與,與
264,10703,,与,與,與
265,10704,,与,与,与
266,2082,,与,與,與
267,16554,,丐,丐,丐
268,13887,,丑,丑,丑
269,13911,,丑,醜,醜
270,5553,,专,專,專
271,13232,,且,且,且
272,2213,,且,且,且
273,1584,,丕,丕,丕
274,16512,0153,世,世,世
275,8669,,丘,丘,丘
276,13588,,丙,丙,丙
277,25454,0426,业,業,業
278,282,,丛,叢,叢
279,1,0917,东,東,東
280,1676,0231,丝,絲,絲
281,8286,,丞,丞,丞
282,8670,,丠,丠,丠
283,,0372,丢,,丢
284,13968,,丣,丣,丣
285,13330,0724,两,兩,兩
286,18972,,两,兩,兩
287,9807,0425,严,嚴,嚴
288,19158,,丧,喪,喪
289,7404,,丧,喪,喪
290,8689,,丩,丩,丩
291,18685,0007,个,個,個
292,6876,,丫,丫,丫
293,63,0953,中,中,中
294,14755,,中,中,中
295,157,0950,丰,豐,豐
296,580,,丰,丰,丰
297,17912,,串,串,串
298,19804,,临,臨,臨
299,9110,,临,臨,臨
300,4746,,丸,丸,丸
301,4648,,丹,丹,丹
302,14875,,为,爲,爲
303,833,,为,爲,爲
304,834,,为,為,為
305,10955,0109,主,主,主
306,13723,,丼,丼,丼
307,1039,,丽,麗,麗
308,16246,,丽,麗,麗
309,10797,0092,举,舉,舉
310,17179,,乂,乂,乂
311,11464,,乃,乃,乃
312,13898,,久,久,久
313,13140,,么,麼,麼
314,14932,0209,义,義,義
315,1630,,之,之,之
316,2842,0080,乌,烏,烏
