lid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
01004,0.50663126,0.3824452,0.097706035,0.0,1.0,1.0,0.6666667,1.0,0.0,0.6,0.0,1.0,0.8,0.45000002,0.5,0.0,0.0,0.0,0.6666667,0.43055558,1.0,0.4,0.0,1.0,0.4722222,1.0,0.16000001,0.0,0.0,1.0,1.0,1.0,0.0,0.6666667,0.8333333,0.0,0.0,0.0,1.0,1.0,0.33333334,0.71428573,0.8666667,0.5,0.2857143,0.13333334,0.16666667,1.0,0.0,0.875,0.0,0.0,0.5,0.25,0.0,0.0,0.0,1.0,0.6666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666667,0.0,0.0,0.25,0.125,0.125,1.0,0.4375,0.0,0.0,0.0,0.0,0.013793103,0.0,0.5,0.027777778,1.0,1.0
01005,0.8269231,0.06666667,0.97196263,1.0,1.0,1.0,1.0,1.0,1.0,0.6666667,0.5,1.0,0.4666667,0.45000002,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.9444444,0.8888889,1.0,0.54,0.3333333,0.6481481,0.22222224,0.0,1.0,0.18181819,0.6,1.0,0.0,0.0,0.0,0.9,1.0,0.6666667,1.0,1.0,0.75,0.1,0.0,0.4166667,0.33333334,0.6666667,0.6666667,0.33333334,1.0,0.75,1.0,1.0,1.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.875,0.875,1.0,0.875,0.33333334,0.6666667,1.0,0.4,0.20689654,0.6,1.0,0.0,0.5882353,0.46428573
01006,0.4641026,0.4,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.40000004,0.8,1.0,0.8,0.35000002,0.5,1.0,0.07692308,0.0,0.33333334,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.40500003,0.0,0.0,0.6666667,1.0,0.25,0.0,0.8,1.0,0.9230769,1.0,1.0,0.0,0.0,0.0,0.9230769,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.125,0.75,0.0,0.875,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.027777778,1.0,1.0
01007,0.40185675,0.22701149,0.5545171,0.0,1.0,0.75,0.33333334,0.8,0.0,0.6,0.0,1.0,0.8,0.45000002,0.5,0.0,0.0,0.0,0.33333334,0.2638889,0.8,0.4,0.0,1.0,1.0,1.0,0.15789475,0.0,0.33333334,1.0,0.6666667,1.0,0.0,0.9166667,0.9166667,0.0,0.125,0.0,1.0,1.0,0.33333334,0.71428573,0.73888886,0.5,0.2857143,0.13333334,0.16666667,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.6666667,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666667,0.0,0.0,0.25,0.125,0.125,1.0,0.4375,0.037037037,0.020833334,0.0,0.10000001,0.055172414,0.0,0.0,0.05882353,1.0,1.0
01008,0.12732096,0.7053291,0.18013468,1.0,1.0,0.75,1.0,1.0,1.0,0.40000004,0.8,1.0,0.8,0.5,0.5,1.0,0.07692308,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.027777778,1.0,0.39000002,0.0,0.0,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.86249995,0.8125,0.0,0.1,0.0,1.0,0.9583333,0.5,0.0,0.0,0.0,0.11111111,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.25,0.125,0.125,1.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
01009,0.31538463,0.36666667,0.17133957,1.0,1.0,1.0,1.0,0.40000004,1.0,1.0,0.0,1.0,1.0,0.75,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.5555556,0.33333334,0.0,0.0,1.0,1.0,0.0,0.041666668,0.0,1.0,1.0,0.6666667,0.71428573,0.5305556,0.25,0.2857143,0.46666667,0.16666667,0.33333334,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.17857143,0.0,0.035714287,0.375,0.5,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,0.787037,1.0
01010,0.5233266,0.25574714,0.17445482,0.0,1.0,1.0,1.0,0.53333336,0.0,1.0,0.0,1.0,0.8,0.65000004,0.5,0.0,0.23076923,0.0,0.33333334,0.20833333,0.4,0.6,0.0,0.77272725,0.0,1.0,0.255,0.0,0.3148148,1.0,0.25,1.0,0.2,0.8,1.0,0.0,0.041666668,0.0,1.0,1.0,0.6666667,0.14285715,0.10277778,0.0,0.85714287,0.93333334,0.6666667,1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.8333333,1.0,0.0,0.0,0.25,0.6,0.5,1.0,0.0,0.5,1.0,1.0,0.0,0.14285715,0.21904764,0.30612245,0.6571429,0.71428573,0.055555556,0.0625,0.2,0.2,0.0,0.0,1.0,0.0,1.0,1.0
01012,0.5025641,0.4,0.97196263,1.0,1.0,0.75,1.0,0.8,1.0,0.26666668,0.2,1.0,0.40000004,0.25,0.5,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.90909094,0.4722222,1.0,0.40500003,0.0,0.33333334,0.6666667,0.6666667,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7777778,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.16666667,0.0,1.0,0.6666667,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.5,0.125,0.125,1.0,0.875,0.9444444,0.0,1.0,1.0,0.0,0.0,0.5,0.027777778,1.0,1.0
01013,0.50384617,0.43333334,0.9626168,0.0,1.0,1.0,0.33333334,1.0,0.0,1.0,0.0,1.0,1.0,0.75,0.5,0.0,0.05,0.0,0.0,0.4027778,0.8,0.2,1.0,1.0,0.0,1.0,0.089999996,0.0,0.0,1.0,1.0,1.0,0.0,0.8,1.0,0.0,0.041666668,0.0,1.0,1.0,0.33333334,0.71428573,0.8361111,0.5,0.2857143,0.13333334,0.16666667,1.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,1.0,0.6666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666667,0.0,0.0,0.0,0.125,0.125,1.0,0.4375,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,1.0,1.0
01015,0.44796103,0.48387095,0.009345794,0.0,1.0,1.0,0.33333334,0.8,0.0,0.6,0.0,1.0,0.8,0.4,0.5,0.0,0.0,0.0,0.0,0.30555558,0.8,0.6,0.0,1.0,0.0,1.0,0.1904762,0.0,0.0,1.0,1.0,1.0,0.2,0.73846155,0.9230769,0.0,0.0,0.0,1.0,1.0,0.33333334,0.71428573,0.8125,0.5,0.2857143,0.1875,0.16666667,1.0,0.0,1.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,1.0,0.6666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666667,0.0,0.0,0.5,0.125,0.125,1.0,0.4375,0.0,0.0,0.0,0.0,0.0068965517,0.33333334,0.5,0.027777778,1.0,1.0
