# 贛語
id,湖口_聲母,湖口_韻母,湖口_調值,湖口_調類,星子_聲母,星子_韻母,星子_調值,星子_調類,都昌_聲母,都昌_韻母,都昌_調值,都昌_調類,修水_聲母,修水_韻母,修水_調值,修水_調類,永修_聲母,永修_韻母,永修_調值,永修_調類,平江(南江)_聲母,平江(南江)_韻母,平江(南江)_調值,平江(南江)_調類,安義_聲母,安義_韻母,安義_調值,安義_調類,奉新_聲母,奉新_韻母,奉新_調值,奉新_調類,南昌_聲母,南昌_韻母,南昌_調值,南昌_調類,高安_聲母,高安_韻母,高安_調值,高安_調類,宜豐_聲母,宜豐_韻母,宜豐_調值,宜豐_調類,上高_聲母,上高_韻母,上高_調值,上高_調類,萬載_聲母,萬載_韻母,萬載_調值,萬載_調類,新余(沙土)_聲母,新余(沙土)_韻母,新余(沙土)_調值,新余(沙土)_調類,醴陵(白兔潭)_聲母,醴陵(白兔潭)_韻母,醴陵(白兔潭)_調值,醴陵(白兔潭)_調類,萍鄉_聲母,萍鄉_韻母,萍鄉_調值,萍鄉_調類,永豐_聲母,永豐_韻母,永豐_調值,永豐_調類,蓮花_聲母,蓮花_韻母,蓮花_調值,蓮花_調類,吉安_聲母,吉安_韻母,吉安_調值,吉安_調類,吉水(螺田)_聲母,吉水(螺田)_韻母,吉水(螺田)_調值,吉水(螺田)_調類,永新_聲母,永新_韻母,永新_調值,永新_調類,泰和_聲母,泰和_韻母,泰和_調值,泰和_調類,茶陵_聲母,茶陵_韻母,茶陵_調值,茶陵_調類,東鄉_聲母,東鄉_韻母,東鄉_調值,東鄉_調類,臨川_聲母,臨川_韻母,臨川_調值,臨川_調類,南城_聲母,南城_韻母,南城_調值,南城_調類,宜黃_聲母,宜黃_韻母,宜黃_調值,宜黃_調類,邵武_聲母,邵武_韻母,邵武_調值,邵武_調類,黎川_聲母,黎川_韻母,黎川_調值,黎川_調類,南豐_聲母,南豐_韻母,南豐_調值,南豐_調類,泰寧(城關話)_聲母,泰寧(城關話)_韻母,泰寧(城關話)_調值,泰寧(城關話)_調類,建寧_聲母,建寧_韻母,建寧_調值,建寧_調類,建寧(城關話)_聲母,建寧(城關話)_韻母,建寧(城關話)_調值,建寧(城關話)_調類,樂平_聲母,樂平_韻母,樂平_調值,樂平_調類,波陽_聲母,波陽_韻母,波陽_調值,波陽_調類,余干_聲母,余干_韻母,余干_調值,余干_調類,橫峰_聲母,橫峰_韻母,橫峰_調值,橫峰_調類,弋陽_聲母,弋陽_韻母,弋陽_調值,弋陽_調類,陽新(國和)_聲母,陽新(國和)_韻母,陽新(國和)_調值,陽新(國和)_調類,宿松(河塔)_聲母,宿松(河塔)_韻母,宿松(河塔)_調值,宿松(河塔)_調類,岳西_聲母,岳西_韻母,岳西_調值,岳西_調類,懷寧_聲母,懷寧_韻母,懷寧_調值,懷寧_調類,潛山_聲母,潛山_韻母,潛山_調值,潛山_調類,太湖_聲母,太湖_韻母,太湖_調值,太湖_調類,宿松(安徽省志)_聲母,宿松(安徽省志)_韻母,宿松(安徽省志)_調值,宿松(安徽省志)_調類,望江_聲母,望江_韻母,望江_調值,望江_調類,東至_聲母,東至_韻母,東至_調值,東至_調類
1,t/t,oŋ/oŋ,42/42,陰平/陰平,t,əŋ,33,陰平,t,uŋ,332,陰平,t,ɤŋ,24,陰平,t,əŋ,35,陰平1,t,ɤŋ,33,陰平,t,ŋ,11,陰平,t,oŋ,53,陰平,t,uŋ,44,陰平,t,uŋ,24,陰平,t,ən,31,陰平,t,əŋ,42,陰平,t,uŋ,31,陰平,t,uŋ,35,陰平甲,t,əŋ,55,陰平,t,əŋ,13,陰平,t,əŋ,44,陰平,t,əŋ,44,陰平,t,uŋ,334,陰平,t,əŋ,35,陰平,t,ɣŋ,35,陰平,t,əŋ,44,陰平,t,əŋ,353,陰平,t,uŋ,33,陰平,t,uŋ,22,陰平,t,uŋ,11,陰平,t,oŋ,11,陰平,t,uŋ,21,陰平,t,uŋ,22,陰平,t,uŋ,23,陰平,t,uŋ,21,陰平,t,uŋ,34,陰平,t,uŋ,34,陰平,t,uŋ,11,陰平,t,əŋ,11,陰平,t,uŋ,22,陰平,t,oŋ,44,陰平,t,uŋ,33,陰平,t,əŋ,21,陰平,t,əŋ,11,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,t/t,oŋ/oŋ,42/42,陰平/陰平,t,əŋ,33,陰平,t,uŋ,332,陰平,t,ɤŋ,24,陰平,t,əŋ,35,陰平1,t,ɤŋ,33,陰平,t,t,11,陰平,t,oŋ,53,陰平,t,uŋ,44,陰平,t,uŋ,24,陰平,t,ən,31,陰平,t,əŋ,42,陰平,t,uŋ,31,陰平,t,uŋ,35,陰平甲,t,əŋ,55,陰平,t,əŋ,13,陰平,t/t,əŋ/əŋ,22/44,陽平/陰平,t,əŋ,44,陰平,t,uŋ,334,陰平,t,əŋ,35,陰平,t,ɣŋ,35,陰平,t,əŋ,44,陰平,t,əŋ,353,陰平,t,uŋ,33,陰平,t,uŋ,22,陰平,t,uŋ,11,陰平,t,oŋ,11,陰平,t,uŋ,21,陰平,t,uŋ,22,陰平,t,uŋ,23,陰平,,,,,t,uŋ,34,陰平,,,,,t,uŋ,11,陰平,t,əŋ,11,陰平,t,uŋ,22,陰平,t,oŋ,44,陰平,t,uŋ,33,陰平,t,əŋ,21,陰平,t,əŋ,11,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,uŋ,21,陰去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,ŋ,33,陽平,,,,,h,ŋ,213,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,ŋ,33,陽平,,,,,h,ŋ,213,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,d,oŋ,42,陰平,d,əŋ,24,陽平,l,uŋ,334,陽平甲,dʰ,ɤŋ,213,陽平,dʰ,əŋ,33,陽平,dʰ,ɤŋ,13,陽平,tʰ,ŋ,21,陽平,tʰ,oŋ,24,陽平,tʰ,uŋ,24,陽平2,tʰ,uŋ,13,陽平,tʰ,ən,13,陽平,tʰ,əŋ,24,陽平,tʰ,uŋ,44,陽平,tʰ,uŋ,42,陽平,tʰ,əŋ,24,陽平,tʰ,əŋ,44,陽平,tʰ,əŋ,22,陽平,h/tʰ,əŋ/əŋ,13/13,陽平/陽平,tʰ,uŋ,11,陽平,tʰ,əŋ,33,陽平,tʰ,ɣŋ,13,陽平,h,ŋ̩,24,陽平,tʰ,əŋ,424,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,45,陽平,tʰ,oŋ,53,陽平,tʰ,uŋ,33,陽平,h,ŋ̩,35,陽平,tʰ,uŋ,34,陽平2,h,ŋ,33,陽平,tʰ,ŋ,213,陽平,h,ŋ,213,陽平,tʰ,uŋ,35,陽平,tʰ,əŋ,24,陽平,tʰ,uŋ,14,陽平,tʰ,oŋ,33,陽平,tʰ/tʰ,ən/uŋ,13/13,陽平/陽平,tʰ,əŋ,33,陽平,tʰ,əŋ,24,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,ŋ,33,陽平,,,,,h,ŋ,213,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/h,ŋ,33,陽平,,,,,h,ŋ,213,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,ŋ,33,陽平,,,,,h,ŋ,213,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,uiŋ,55,上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
