,longitude,latitude,insertDate,uploader,firstLevelid,sheetName,filepath,province,city,country,village,street,oldProvince,oldCity,oldCountry,oldVillage,oldStreet,eastlongitude,northlatitude,population,nation,minorityInfo,dialectInfo,operaInfo,source,degree,area,slice,slices
06K06,115.50833333333334,34.8,,,06K06,,山东/曹县需交文件电子版/模板表/其他/概况.xls,山东,菏泽市,曹县,磐石街道办事处,杜庄村,,,,,,,,170.8万（2017年）,少数民族有回、蒙古、藏、维吾尔、苗、彝、壮、布衣、朝鲜、满、侗、瑶、白、土家、哈尼、傣、佤、拉祜、景颇、仡佬、阿昌、塔基克、独龙、水、黎、土族等26个，共40380人。（2017年）,（无）,本县汉语方言大致分为三类，第一类以旧县城为中心，包括城关以东一些乡镇，如：青堌集，大集、孙老家、候集、王集、南里集、倪集、邵庄、梁堤头、砖庙镇、古营集。第二类，主要包括桃源集、庄寨。第三类，包括青岗集、王庄寨、普连集、古营集。,有。当地常见地方戏为：豫剧、河南坠子、四平调、两夹弦。,yubao,common,官话,中原官话,兖菏片
06K10,117.31430555555556,34.78513888888889,,,06K10,,山东/枣庄需交文件电子版/模板表/其他/概况.xls,山东,枣庄市,薛城区,临城街道,北一社区,,,,,,,,48.52万（截至2018年底）,少数民族以回族为主，回族1535人，满族37人，蒙古族99人，彝族48人，苗族41人，壮族36人，黎族35人。,（无）,枣庄市薛城区方言属于中原官话兖菏片。全境方言一致性较强。,主要有柳琴戏，俗称拉魂腔，因常为盲人演唱，又叫瞎腔；还流行豫剧，过去曾有薛城豫剧团。另外，还有鲁南大鼓、说书等曲艺形式。,yubao,common,中原官话区,兖菏片,系属不明
06K09,115.66666666666666,36.483333333333334,,,06K09,,山东/聊城需交文件电子版/模板表/其他/概况.xls,山东,聊城,东昌府区,（无）,（无）,,,,,,,,101万,"2012年共有35个少数民族，人口10,274人。主要是回族，还有满族、蒙古族、壮族、藏族、朝鲜族等。",（无）,东昌府区方言属于冀鲁官话，内部差异不大，主要是文读和白读、新派和老派的不同，文读接近北京话，新派向北京话靠拢，所以有些文读音实际上也是新派的口音。,八角鼓儿，一般两个人，一男一女，又唱又跳，现在很少。据传是清代中叶由北京传到聊城、临清一带，改用当地方言演唱。是山东八角鼓曲艺的一种。,yubao,common,冀鲁官话,石济片,聊泰小片
06K11,118.82499999999999,35.19166666666666,,,06K11,,山东/莒南需交文件电子版/模板表/其他/概况.xls,山东,临沂,莒南,莒南,十字路镇街道,,,,,,,,根据莒南县统计局提供的2018年数据（由莒南县统计局提供），莒南县共有861342人。,莒南县总人口861342人，其中汉族859002人，占总人口的99.72%。少数民族2340人，占总人口的0.27%。,（无）,莒南话，分布在全县1个街道，11个乡镇，1个经济开发区，目前使用以中老年人为主，近十几年方言发展较快正逐步向普通话靠拢。,无,yubao,common,冀鲁官话,沧惠片,莒照小片
06K07,120.74,37.93,,,06K07,,山东/长岛需交文件电子版/模板表/其他/概况.xls,山东,烟台,长岛,南长山镇,南城村,,,,,,,,4.3万人,汉族，总人口4.3万人,（无）,长岛讲长岛方言，长岛县位于山东省东北海域，黄海、渤海交汇处，南临蓬莱，北望大连，由32个岛屿组成，总称庙岛群岛，为山东省唯一海岛县。接壤地口音与周边地区相影响。长岛方言属于胶辽官话，登连片，蓬龙小片。长岛方言中保留一些古音。,（无）,yubao,common,胶辽官话,登连片,蓬龙小片
06K08,119.72416666666666,36.41722222222222,,,06K08,,山东/高密需交文件电子版/模板表/其他/概况.xls,山东,潍坊,高密,密水街道,南关居委会,,,,,,,,897551人,汉族856784人；回族25423人；满族7160人；蒙古族1280人；彝族969人；朝鲜族695人；哈尼族563人；白族552人；其他少数民族4125人。,（无）,高密方言。高密方言具有胶辽官话中胶东半岛和潍坊地区两方言的过渡特点，情况较为复杂。比较一致的特点在语音方面有：声母分类较细，分尖团音，知庄章声母分为两套，普通话中的舌尖前音高密多数地区读为齿间音。由于受潍坊和青岛的共同影响，内部存在差异，大致可分为五大方言片。中片包括城区周围三个街道办事处大部、井沟镇西北部、姜庄镇西南部；东南片包括柏城镇；西南片包括井沟镇、柴沟镇、阚家镇；东北片包括夏庄镇；西北片包括大牟家镇。,主要是茂腔。,yubao,common,胶辽官话,青莱片,胶莲小片
06F98,116.102620295779,35.80806388661,,,06F98,,山东/梁山需交文件电子版/模板表/其他/概况.xls,山东,济宁,梁山,梁山,张坊村,,,,,,,,2018年数据约为79万,"以汉族为主，占99.2%，回族、满族等其他少数民族约占0.08%,",（无）,本县方言单一，县域内均讲梁山话,琴书和莲花落,yubao,common,中原官话区,兖菏片,梁山
06F90,116.95833333333334,36.775,,,06F90,,山东/济南需交文件电子版/模板表/其他/概况.xls,山东,济南,市区,（无）,（无）,,,,,,,,2017年年末732.12万人，市区约375.41万人（不含长清、章丘、济阳、商河、平阴）。,53个民族。52个少数民族，人口12.66万（2010年），回族人口10.75万。,无。回族是最主要的少数民族，都说济南话。,境内汉语方言属于官话方言的冀鲁官话，除汉族居民外，境内少数民族也通用济南方言。济南方言的内部差异主要是文读和白读、新派和老派的不同，文读接近北京话，新派向北京话靠拢，所以有些文读音实际上也是新派的口语音。,①山东快书：20世纪30年代初传入济南，50年代由书场搬上舞台，表演风格形成两派，高元钧被称为“高派”，杨立德被称为“杨派”。入选国家第一批非遗目录。②吕剧：20世纪50年代初期正式形成，济南市吕剧团建团于1951年10月，山东省吕剧团建团于1953年11月。入选国家第二批非遗目录。③山东大鼓：形成于明代末期，主要流传于鲁西南和济南一带，因用犁铧碎片伴奏，又称犁铧大鼓（梨花大鼓）。入选国家第一批非遗目录。④山东琴书：明代中期形成于菏泽地区，后发展为三路：菏泽为代表的南路，济南为代表的北路，青岛为代表的东路。入选国家第一批非遗目录。这些曲艺和戏剧，目前以专门的演员表演为主。,yubao,common,官话方言,冀鲁官话,石济片
06F89,121.15833333333333,36.71666666666667,,,06F89,,山东/海阳需交文件电子版/模板表/其他/概况.xls,山东,烟台,海阳,方圆街道,它山泊村,,,,,,,,65.4万（2016年）,汉族，65.4万（2016年）,（无）,海阳讲海阳方言，由于海阳位于山东省胶东半岛腹地，东临乳山市、牟平区，西襟莱阳市，南与即墨市毗邻，北与栖霞市接壤，接壤地口音与周边地区相影响。海阳方言属于胶辽官话，登连片，烟威小片。海阳方言中保留一些古音。,（无）,yubao,common,胶辽官话,登连片,烟威小片
06F96,119.045345988,36.7191317331,,,06F96,,山东/潍城需交文件电子版/模板表/其他/概况.xls,山东,潍坊,潍城,城关街道,松原子街,,,,,,,,35.69万（数据按2016年最新统计）,全区共有24个民族，其中，汉族人口居多。少数民族有回族、满族、蒙古族、朝鲜族、傈僳族、黎族、苗族、藏族、达斡尔族、布依族、壮族、高山族、仡佬族、彝族、土家族、侗族、佤族、畲族、锡伯族、怒族、珞巴族、土族、纳西族等23个，共683人。               （2016年）,（无）,潍城话（潍县话）。潍坊方言处于胶东方言与山东中部方言的交界处，具有过渡性特征。潍城话东西差异大，主要体现在声母和个别词上。如，ʐ声母，城里及东部地区人ʐẽ53银Ǿiẽ53；西部和南部地区人Ǿiẽ53银Ǿiẽ53。由于推普的影响，潍坊方言受普通话较大，如上个世纪80年代古知庄章声母在潍城话中分为两套声母，如今两套声母已经合流。,主要是潍县梆子、大鼓戏。使用情况：（1）潍县梆子：由河北梆子与当地方言和民歌相结合而形成，清光绪年间最盛。音乐唱腔有三季梅、二梆、一串铃、四大腔、垫板、三板、闪板、十三嗨等。打击乐与京剧相同，剧目有《夫妻乐》《三人疑》《王宝钏》等。清末，逐渐被京剧所代替。（2）大鼓戏：清道光年间东路大鼓流行于山东昌潍地区和惠民地区等。演唱者一至三人，演员自击铜板(或钢板)和书鼓，另有三弦伴奏。也有一人自弹三弦自唱和一人左腿打板、右手弹三弦带敲鼓、板的。传统曲目有《隋唐》《杨家将》等。辛亥革命后，西河大鼓传入山东，许多东路大鼓演员改唱西河大鼓，这一曲种渐趋衰亡。至今潍城地区大鼓书的传承艺人仅余几人。,yubao,common,冀鲁官话,沧惠片,阳寿小片
06F91,120.43333333333334,36.858333333333334,,,06F91,,山东/莱西需交文件电子版/模板表/其他/概况.xls,山东,青岛,莱西,水集街道,沙岭村,,,,,,,,30.2万人（数据来自2016年）,汉族30万人；朝鲜族894人、满族395人、壮族108人、回族80人、白族56人、蒙古族107人、苗族79人、彝族62人、傈僳族58人、土家族45人、达斡尔族17人、瑶族18人、哈尼族9人、藏族6人、拉祜族11人、怒族3人、布依族6人、佤族8人、傣族2人、侗族5人、普米族1人，维吾尔族1人，哈萨克族2人，黎族6人，景颇族1人，土族2人，仫佬族1人，仡佬族2人，锡伯族4人。（2016年）,（无）,莱西方言处在山东东区方言东莱片西南端，呈现出由东莱片向东潍片过渡的特点。以政府所在地水集话为代表。莱西方言在青岛地区很富有特色的，轻声变韵和儿化音节都有很突出的特点。莱西方言的内部差异较突出，分为东北和西南两片。两片内部还有差异，如店埠是莱西方言西南片的代表，但店埠方言的内部又有南北的差异。莱西一地之内，甲地与乙地也存在着语音差别。1.Z声母的差别。总体说来，县城以及东部、北部乡镇基本相同。县城西部、南部乡镇另具特色。水集、日庄、马连庄、河头店等乡镇具有舌尖前音声母。,（无）,yubao,common,胶辽官话,登连片,烟威小片
06F97,118.3,34.65,,,06F97,,山东/郯城需交文件电子版/模板表/其他/概况.xls,山东,临沂,郯城,郯城,团结社区,,,,,,,,根据郯城县统计局提供的2016年数据（由郯城县史志办公室提供），郯城县共有996063人。,根据2010年全国第五次人口普查统计（由郯城县史志办公室提供），郯城县总人口936166人，其中汉族931598人，占总人口的99.51%。少数民族29个，4568人，占总人口的0.49%。少数民族中，回族人口最多：4154人，其次是苗族、彝族和佤族。,（无）,郯城方言属官话方言的中原官话兖菏片。郯城全县语法一致，词汇差异细微，语音则存在明显差异，根据口音，可分为郯中、郯南、郯西、郯北四片。郯中片主要分布在郯城街道和马头镇，使用人口约32万，该片方言变化较为明显，主要表现为中古入声的今调类变化与普通话趋同；郯南片主要分布在港上镇、花园乡、归昌乡、红花镇、杨集镇、高峰头镇，使用人口约32万；郯西片主要分布在重坊镇和胜利乡的部分村庄，使用人口约12万；郯北片主要分布在李庄镇、庙山镇、泉源乡和胜利乡的部分村庄，使用人口约25万。,一、郯马五大调，国家级非物质文化遗产项目（2008年批准）。由五种曲牌组织成的古老的大型民歌演唱套曲，因起源于郯城、马头一带而得名“郯马调”，也称“郯马五大调”“鲁南五大调”。郯马五大调包括满江红、淮调（马头调）、玲玲调、大寄生草、大调等五个曲牌。根据当地艺人目前能够掌握的130首郯马调曲目，从内容上，大致可分为爱情故事、社会生活、历史传说、自然风光、警世劝善和谐谑清玩等六大类。本工程所摄录的《鹿乳奉亲传千秋》就是以郯马调为曲填制新词的新创作，曾在临沂市第四届广场文化艺术节中获得金奖。目前，郯马调在郯城县实验一小设立了传承基地。二、柳琴戏，国家级非物质文化遗产项目（2006年批准）。柳琴戏由主要伴奏乐器柳叶琴而定名，因唱腔优美，有动人魂魄之魅力，亦名为“拉魂腔”。流布于鲁南、苏北、皖北、豫东北等广大地区。柳琴戏主要有《秦香莲》《打金枝》《小姑贤》《柜中缘》《墙头记》《吕布与貂婵》《落凤湾》《苦果》《李志铁》《红丝带》《退证》等古装和现代戏剧目，由于深受当地民众的喜爱和欢迎，柳琴剧团又创作和表演了大量传统和新创作的剧目。三、郯城大鼓，郯城县县级非物质文化遗产项目，“郯子书社”鼓书说唱形式之一。郯城大鼓的主要表演器具是大鼓和钢板（铜板），郯城大鼓是以唱为主，以说白为辅。唱腔粗犷、嘹亮，演唱者均为男性。演唱时艺人右手执鼓棒（又称鼓条），左手夹钢板。唱时只打钢板不敲鼓，只有在唱句与唱句之间，或唱句的句尾拖音时敲鼓。郯城大鼓采用郯城方言说唱，深受当地民众喜爱。目前，郯城大鼓主要流行于鲁南苏北特别是郯城县花园乡等地区，主要以历史公案、民间传说、神话故事、战争军事、英雄人物等为说唱内容。四、郯城琴书，郯城县县级非物质文化遗产项目，“郯子书社”鼓书说唱形式之一。郯城琴书又称“唱扬琴”“山东扬琴”或“鲁南琴书”。扬琴琴书伴奏乐器是扬琴、坠琴、云板（又称挎板），演唱者多为男女二人，可轮唱，亦可合唱；坠琴琴书又称坠子琴书，其伴奏乐器是坠琴、脚踏梆子，演唱者多为盲人，系单人说唱。郯城琴书采用郯城方言表演，行腔深沉，优美动听，咬字真切，于纯朴中显幽默，平易中求韵味。节目以中长篇书为主，兼唱小段。演唱内容有历史传说、神话故事、民众生活为主要题材，深受当地民众喜爱和欢迎。,yubao,common,北方官话,中原官话,兖菏片
06F87,117.80833333333334,37.19166666666667,,,06F87,,山东/高青需交文件电子版/模板表/其他/概况.xls,山东,淄博市,高青县,田镇街,（无）,,,,,,,,36.9万（2017年）,少数民族25个，人口633人，汉族36.9万（2017年）,（无）,大致分为四类。木李、常家为一类，特点是阳平字读降调；旧镇一带分尖团音；黑李寨一带舌根音多，鼻音浓；其余乡镇差别不大。,民间曲艺有木板大鼓、莲花落等，其中花沟镇艺人孙德田是鲁中地区的唯一传人；民间戏曲有东路梆子、吕剧等，其中黑李寨镇东路梆子较为出名。,yubao,common,冀鲁官话,沧惠片,阳寿小片
06F93,118.525,36.34166666666667,,,06F93,,山东/临朐需交文件电子版/模板表/其他/概况.xls,山东,潍坊,临朐,城关街道,（无）,,,,,,,,91.9万（2017年数据）,据2017年数据，本县人口为91.9万，以汉族为主，汉族人口有91.85万人；有少数民族9个，450人。,（无）,县内方言均属胶辽官话，没有明显内部差异。,（无）,yubao,common,胶辽官话区,青莱片,青临小片
06F92,117.23840643173,37.7359245,,,06F92,,山东/乐陵需交文件电子版/模板表/其他/概况.xls,山东,德州,乐陵,市中街道办,北关村,,,,,,,,67.63万（2016年）,主要人口是汉族，还有少量回、满、蒙、瑶等少数民族，1088人。,（无）,乐陵话，67.63万。随年龄降低，方言掌握和使用情况越来越差。中青年方言的语言习惯趋向于普通话。当地人一般认为以马家河为界，南北口音有别。主要是词汇差别，另南部“儿”读l声母，北部读同普通话。,（无）,yubao,common,官话大区冀鲁官话区,沧惠片,黄乐小片
06F88,115.525,36.53333333333333,,,06F88,,山东/冠县需交文件电子版/模板表/其他/概况.xls,山东,聊城,冠县,清泉街道办事处,代屯村,,,,,,,,81.2万（2012年）,少数民族有回、蒙古、藏、维吾尔、苗、彝、壮、布衣、朝鲜、满、侗、瑶、白、土家、哈尼、佤、纳西、达尔、么佬、独龙等20个，1.6万人。汉族人口79.6万人。(2012年）,（无）,冠县方言可分三片，（1）城区片，包括冠县大部分地区。（2）北片，主要包括柳林镇、甘官屯乡。此片说话与聊城市东昌府区相近。（3）西片，主要包括东古城镇、斜店乡、北馆陶镇，此片说话与毗邻的河北省馆陶县方言相近。,"早先有民间小戏“蛤蟆嗡”,现会表演的人已少见。",yubao,common,冀鲁官话,石济片,聊泰小片
06F95,119.35833333333333,35.333333333333336,,,06F95,,山东/日照需交文件电子版/模板表/其他/概况.xls,山东,日照市,东港区,日照街道办事处,文荟社区,,,,,,,,据2010年统计，东港区约有人口92.05万人。,汉族人口918118人，占99.74%；少数民族人口2393人，占0.26%，主要有满族、 蒙古族、朝鲜族、傈僳族、回族、彝族、壮族、哈尼族、苗族、土家族、布依族、锡伯族、藏族、 拉祜族等。,（无）,本区方言分城内（老城关内）、城外，城内井（t）=顶（t）（老派，80岁以上老人），城外井（ȶ）≠顶（t）；城关内有咬舌音（不读tɕ、tɕh、ɕ），战=见、交=招，城外（小香店）无咬舌音。城内除二村（混合村）外，其它地方无明显差别。现在城内（如发音人）井≠顶，与城外同。,《满江红》，“鲁南五大调”之一，是流行于山东省日照市东港区沿海一带的民间音乐表现形式。2008年被列为第二批国家级非物质文化遗产名录。除此之外，还有打夯号子、拔跌等。,yubao,common,冀鲁官话区,沧惠片,莒照小片
06F94,120.9,37.30833333333334,,,06F94,,山东/栖霞需交文件电子版/模板表/其他/概况.xls,山东,烟台,栖霞,翠屏街道,城关村,,,,,,,,60万左右（2018年数据）,汉族，60万左右（2015年数据）,（无）,栖霞讲栖霞方言，位于胶东半岛腹地，东临牟平区，海阳市；西临招远市，龙口市；南与莱阳市相邻；北接福山区，蓬莱市。本地方言受周边地市影响。栖霞方言属胶辽官话登连片烟威小片，方言中保留一些古音。,（无）,yubao,common,胶辽官话,登连片,烟威小片
