element,cid1,cid2
tone,Z0019 Z0026 Z0038 Z0079 Z0105 Z0111 Z0148 Z0159 Z0177 Z0199 Z0235 Z0240 Z0256 Z0277 Z0290 Z0344 Z0345 Z0364 Z0389 Z0437 Z0512 Z0559 Z0660 Z0730 Z0743 Z0777 Z0785 Z0873 Z0924 Z0981,Z0003 Z0039 Z0045 Z0048 Z0061 Z0106 Z0112 Z0121 Z0133 Z0150 Z0160 Z0168 Z0172 Z0182 Z0186 Z0190 Z0192 Z0216 Z0230 Z0233 Z0234 Z0236 Z0265 Z0296 Z0309 Z0321 Z0335 Z0353 Z0361 Z0365 Z0397 Z0463 Z0473 Z0481 Z0499 Z0508 Z0524 Z0542 Z0568 Z0592 Z0606 Z0619 Z0625 Z0684 Z0779 Z0814 Z0860 Z0896 Z0925 Z0951 Z0977 Z0986
tone,Z0019 Z0026 Z0038 Z0079 Z0105 Z0111 Z0148 Z0159 Z0177 Z0199 Z0235 Z0240 Z0256 Z0277 Z0290 Z0344 Z0345 Z0364 Z0389 Z0437 Z0512 Z0559 Z0660 Z0730 Z0743 Z0777 Z0785 Z0873 Z0924 Z0981,Z0030 Z0141 Z0331 Z0369 Z0466 Z0556 Z0595 Z0724 Z0749 Z0831 Z0833 Z0870
tone,Z0030 Z0141 Z0331 Z0369 Z0466 Z0556 Z0595 Z0724 Z0749 Z0831 Z0833 Z0870,Z0005 Z0008 Z0017 Z0020 Z0021 Z0024 Z0028 Z0034 Z0040 Z0041 Z0043 Z0057 Z0062 Z0063 Z0072 Z0073 Z0077 Z0088 Z0090 Z0092 Z0099 Z0104 Z0107 Z0109 Z0126 Z0128 Z0138 Z0146 Z0149 Z0164 Z0200 Z0204 Z0212 Z0219 Z0223 Z0229 Z0237 Z0244 Z0246 Z0250 Z0262 Z0272 Z0276 Z0281 Z0286 Z0288 Z0291 Z0295 Z0298 Z0304 Z0314 Z0332 Z0337 Z0340 Z0342 Z0351 Z0360 Z0362 Z0387 Z0393 Z0399 Z0416 Z0427 Z0439 Z0482 Z0484 Z0492 Z0503 Z0504 Z0527 Z0530 Z0541 Z0558 Z0569 Z0589 Z0590 Z0604 Z0641 Z0661 Z0662 Z0671 Z0680 Z0681 Z0693 Z0707 Z0727 Z0729 Z0746 Z0766 Z0775 Z0783 Z0795 Z0801 Z0832 Z0835 Z0837 Z0866 Z0868 Z0871 Z0877 Z0891 Z0895 Z0918 Z0932 Z0944 Z0982 Z0988
final,Z0119 Z0120 Z0121 Z0122 Z0123 Z0124,Z0131
final,Z0374 Z0375 Z0376 Z0377,Z0387 Z0389 Z0390 Z0391
final,Z0378 Z0379 Z0380,Z0393
final,Z0093 Z0094 Z0096,Z0113 Z0114 Z0115 Z0116 Z0117
final,Z0086 Z0087,Z0107 Z0108
final,Z0778 Z0780 Z0781,Z0733 Z0734 Z0735 Z0736 Z0737
final,Z0204 Z0223 Z0238 Z0239 Z0240,Z0152 Z0153
