# 中古音
id,字形,攝,聲調,韻目,字母,開合,等第,清濁,上字,下字
1,東,通,平,東,端,合,一,全清,德,紅
2,菄,通,平,東,端,合,一,全清,德,紅
3,鶇,通,平,東,端,合,一,全清,德,紅
4,,通,平,東,端,合,一,全清,德,紅
5,,通,平,東,端,合,一,全清,德,紅
6,,通,平,東,端,合,一,全清,德,紅
7,,通,平,東,端,合,一,全清,德,紅
8,,通,平,東,端,合,一,全清,德,紅
9,涷,通,平,東,端,合,一,全清,德,紅
10,蝀,通,平,東,端,合,一,全清,德,紅
11,凍,通,平,東,端,合,一,全清,德,紅
12,,通,平,東,端,合,一,全清,德,紅
13,,通,平,東,端,合,一,全清,德,紅
14,崠,通,平,東,端,合,一,全清,德,紅
15,埬,通,平,東,端,合,一,全清,德,紅
16,,通,平,東,端,合,一,全清,德,紅
17,,通,平,東,端,合,一,全清,德,紅
18,同,通,平,東,定,合,一,全濁,徒,紅
19,仝,通,平,東,定,合,一,全濁,徒,紅
20,童,通,平,東,定,合,一,全濁,徒,紅
21,僮,通,平,東,定,合,一,全濁,徒,紅
22,銅,通,平,東,定,合,一,全濁,徒,紅
23,桐,通,平,東,定,合,一,全濁,徒,紅
24,峒,通,平,東,定,合,一,全濁,徒,紅
25,硐,通,平,東,定,合,一,全濁,徒,紅
26,,通,平,東,定,合,一,全濁,徒,紅
27,,通,平,東,定,合,一,全濁,徒,紅
28,筒,通,平,東,定,合,一,全濁,徒,紅
29,瞳,通,平,東,定,合,一,全濁,徒,紅
30,,通,平,東,定,合,一,全濁,徒,紅
31,,通,平,東,定,合,一,全濁,徒,紅
32,罿,通,平,東,定,合,一,全濁,徒,紅
33,犝,通,平,東,定,合,一,全濁,徒,紅
34,筩,通,平,東,定,合,一,全濁,徒,紅
35,潼,通,平,東,定,合,一,全濁,徒,紅
36,曈,通,平,東,定,合,一,全濁,徒,紅
37,洞,通,平,東,定,合,一,全濁,徒,紅
38,侗,通,平,東,定,合,一,全濁,徒,紅
39,橦,通,平,東,定,合,一,全濁,徒,紅
40,烔,通,平,東,定,合,一,全濁,徒,紅
41,,通,平,東,定,合,一,全濁,徒,紅
42,挏,通,平,東,定,合,一,全濁,徒,紅
43,酮,通,平,東,定,合,一,全濁,徒,紅
44,鮦,通,平,東,定,合,一,全濁,徒,紅
45,,通,平,東,定,合,一,全濁,徒,紅
46,,通,平,東,定,合,一,全濁,徒,紅
47,,通,平,東,定,合,一,全濁,徒,紅
48,,通,平,東,定,合,一,全濁,徒,紅
