id,字形,方言點,聲母,韻母,調值,調類,備註
1,東,富川(七都話),t,uŋ,52,陰平,
1,東,富川(八都話),l,øu,52,陰平,
1,東,鍾山(公安),l,oŋ,35,陰平,
1,東,賀州(九都話),t,ɛŋ,24,陰平,
1,東,湖南(道縣),t,ie,54,陰平,
1,東,江永城關(白水村),l,ai,44,陰平,
1,東,豐陽,t,ɔŋ,34,陰平,
1,東,星子,t,ʌŋ,33,陰平,
1,東,西岸,t,ieu,31,陰平,
1,東,保安,t,ɔŋ,33,陰平,
1,東,連州,t,ɛ,22,陰平,
2,菄,富川(七都話),t,uŋ,52,陰平,
2,菄,富川(八都話),l,øu,52,陰平,
2,菄,鍾山(公安),l,oŋ,35,陰平,
2,菄,賀州(九都話),t,ɛŋ,24,陰平,
2,菄,湖南(道縣),t,ie,54,陰平,
2,菄,豐陽,t,ɔŋ,34,陰平,
2,菄,星子,t,ʌŋ,33,陰平,
2,菄,西岸,t,ieu,31,陰平,
2,菄,保安,t,ɔŋ,33,陰平,
2,菄,連州,t,ɛ,22,陰平,
18,同,富川(七都話),t,uŋ,33,陽平,
18,同,富川(八都話),t,øu,21,陽平,
18,同,鍾山(公安),t,oŋ,23,陽平,
18,同,賀州(九都話),t,ɛŋ,213,陽平,
18,同,湖南(道縣),t,ie,31,陽平,
18,同,江永城關(白水村),t,aŋ/ai,41,陽平,未註明異讀原因
18,同,豐陽,t,ɔŋ,31,陽平,
18,同,星子,t,ʌŋ,24,陽平,
18,同,西岸,t,ieu,24,陽平,
18,同,保安,t,ɔŋ,25,陽平,
18,同,連州,t,ɛ,55,陽平,
19,仝,富川(七都話),t,uŋ,33,陽平,
19,仝,富川(八都話),t,øu,21,陽平,
19,仝,鍾山(公安),t,oŋ,23,陽平,
19,仝,賀州(九都話),t,ɛŋ,213,陽平,
19,仝,湖南(道縣),t,ie,31,陽平,
19,仝,豐陽,t,ɔŋ,31,陽平,
19,仝,星子,t,ʌŋ,24,陽平,
19,仝,西岸,t,ieu,24,陽平,
19,仝,保安,t,ɔŋ,25,陽平,
19,仝,連州,t,ɛ,55,陽平,
20,童,富川(七都話),t,uŋ,33,陽平,
20,童,富川(八都話),t,øu,21,陽平,
20,童,鍾山(公安),t,oŋ,23,陽平,
20,童,賀州(九都話),t,ɛŋ,213,陽平,
20,童,湖南(道縣),t,ie,31,陽平,
20,童,江永城關(白水村),t,aŋ,41,陽平,
20,童,豐陽,t,ɔŋ,31,陽平,
20,童,星子,t,ʌŋ,24,陽平,
20,童,西岸,t,ieu,24,陽平,
20,童,保安,t,ɔŋ,25,陽平,
20,童,連州,t,ɛ,55,陽平,
22,銅,富川(七都話),tʰ,uŋ,33,陽平,
22,銅,富川(八都話),t,øu,21,陽平,
22,銅,鍾山(公安),t,oŋ,23,陽平,
22,銅,賀州(九都話),t,ɛŋ,213,陽平,
22,銅,湖南(道縣),t,ie,31,陽平,
22,銅,江永城關(白水村),t,ai,41,陽平,
22,銅,豐陽,t,ɔŋ,31,陽平,
22,銅,星子,t,ʌŋ,24,陽平,
22,銅,西岸,t,ieu,24,陽平,
22,銅,保安,t,ɔŋ,25,陽平,
22,銅,連州,t,ɛ,55,陽平,
23,桐,富川(七都話),t,uŋ,33,陽平,
23,桐,富川(八都話),t,øu,21,陽平,
23,桐,鍾山(公安),t,oŋ,23,陽平,
23,桐,賀州(九都話),t,ɛŋ,213,陽平,
23,桐,湖南(道縣),t,ie,31,陽平,
23,桐,江永城關(白水村),t,ai,41,陽平,
23,桐,豐陽,t,ɔŋ,31,陽平,
23,桐,星子,t,ʌŋ,24,陽平,
23,桐,西岸,t,ieu,24,陽平,
23,桐,保安,t,ɔŋ,25,陽平,
23,桐,連州,t,ɛ,55,陽平,
28,筒,富川(七都話),t,uŋ,33,陽平,
28,筒,富川(八都話),t,øu,21,陽平,
28,筒,鍾山(公安),t,oŋ,23,陽平,
28,筒,賀州(九都話),t,ɛŋ,213,陽平,
28,筒,湖南(道縣),t,ie,31,陽平,
28,筒,江永城關(白水村),t,ai,41,陽平,
28,筒,豐陽,t,ɔŋ,31,陽平,
28,筒,星子,t,ʌŋ,24,陽平,
28,筒,西岸,t,ieu,24,陽平,
28,筒,保安,t,ɔŋ,25,陽平,
28,筒,連州,t,ɛ,55,陽平,
29,瞳,富川(七都話),t,uŋ,33,陽平,
29,瞳,富川(八都話),t,øu,21,陽平,
29,瞳,鍾山(公安),t,oŋ,23,陽平,
29,瞳,賀州(九都話),t,ɛŋ,213,陽平,
29,瞳,湖南(道縣),t,ie,31,陽平,
63,中,富川(七都話),t,aŋ,52,陰平,當中。
63,中,富川(八都話),l,aŋ,52,陰平,當中。
63,中,鍾山(公安),tʃ,oŋ,35,陰平,當中。
63,中,賀州(九都話),ts,əŋ,24,陰平,當中。
63,中,湖南(道縣),ts,iaŋ,54,陰平,當中。
63,中,江永城關(白水村),l/tɕ,ai/iaŋ,44,陰平,當中.未註明異讀原因
63,中,豐陽,t/tʃ,ɔŋ/ɔŋ,34/34,陰平/陰平,中間。中間。
63,中,星子,tʃ,ʌŋ,33,陰平,中間。
63,中,西岸,t/tʃ,ieu/ieu,31/31,陰平/陰平,中間。中間。
63,中,保安,tʃ,ɔŋ,33,陰平,中間。
63,中,連州,t/ts,ɛ/e,22/22,陰平/陰平,中間。中間。
65,忠,富川(七都話),t,aŋ,52,陰平,
65,忠,富川(八都話),l,aŋ,52,陰平,
65,忠,鍾山(公安),tʃ,oŋ,35,陰平,
65,忠,賀州(九都話),ts,əŋ,24,陰平,
65,忠,湖南(道縣),ts,iaŋ,54,陰平,
65,忠,江永城關(白水村),tɕ,iaŋ,44,陰平,
65,忠,豐陽,tʃ,ɔŋ,34,陰平,
65,忠,星子,tʃ,ʌŋ,33,陰平,
65,忠,西岸,tʃ,ieu,31,陰平,
65,忠,保安,tʃ,ɔŋ,33,陰平,
65,忠,連州,ts,e,22,陰平,
67,蟲,富川(七都話),l,ɐi,44,陰去,
67,蟲,富川(八都話),l,i,21,陽平,
67,蟲,鍾山(公安),ʃ,oŋ,23,陽平,
67,蟲,賀州(九都話),ts,y,213,陽平,
67,蟲,湖南(道縣),l,i,31,陽平,
67,蟲,江永城關(白水村),l,ai,41,陽平,
67,蟲,豐陽,tʃʰ,ɔŋ,31,陽平,
67,蟲,星子,tʃʰ,ʌŋ,24,陽平,
67,蟲,西岸,tʃʰ,ieu,24,陽平,
67,蟲,保安,tʃʰ,ɔŋ,25,陽平,
67,蟲,連州,tsʰ,e,55,陽平,
75,終,富川(七都話),ts,uŋ,52,陰平,
75,終,富川(八都話),ts,aŋ,52,陰平,
75,終,鍾山(公安),tʃ,oŋ,35,陰平,
75,終,賀州(九都話),ts,əŋ,24,陰平,
75,終,湖南(道縣),ts,iaŋ,54,陰平,
75,終,江永城關(白水村),tɕ,iaŋ,44,陰平,
75,終,豐陽,tʃ,ɔŋ,34,陰平,
75,終,星子,tʃ,ʌŋ,33,陰平,
75,終,西岸,tʃ,ieu,31,陰平,
75,終,保安,tʃ,ɔŋ,33,陰平,
75,終,連州,ts,e,22,陰平,
93,崇,富川(七都話),ts,uŋ,33,陽平,
93,崇,富川(八都話),ts,aŋ,21,陽平,
93,崇,鍾山(公安),ʃ,oŋ,23,陽平,
93,崇,賀州(九都話),ts,əŋ,213,陽平,
93,崇,湖南(道縣),ts,iaŋ,31,陽平,
93,崇,豐陽,ʃ,ɔŋ,31,陽平,
93,崇,星子,ʃ,ʌŋ,24,陽平,
93,崇,西岸,ʃ,ieu,24,陽平,
93,崇,保安,ʃ,ɔŋ,25,陽平,
93,崇,連州,s,ɛ,55,陽平,
94,,富川(七都話),ts,uŋ,33,陽平,
94,,富川(八都話),ts,aŋ,21,陽平,
94,,鍾山(公安),ʃ,oŋ,23,陽平,
94,,賀州(九都話),ts,əŋ,213,陽平,
94,,湖南(道縣),ts,iaŋ,31,陽平,
94,,豐陽,ʃ,ɔŋ,31,陽平,
94,,星子,ʃ,ʌŋ,24,陽平,
94,,西岸,ʃ,ieu,24,陽平,
94,,保安,ʃ,ɔŋ,25,陽平,
94,,連州,s,ɛ,55,陽平,
97,嵩,富川(七都話),s,aŋ,52,陰平,
97,嵩,富川(八都話),s,aŋ,52,陰平,
97,嵩,鍾山(公安),ʃ,oŋ,35,陰平,
97,嵩,賀州(九都話),s,ɛŋ,24,陰平,
97,嵩,湖南(道縣),s,ue,54,陰平,
98,崧,富川(七都話),s,aŋ,52,陰平,
98,崧,富川(八都話),s,aŋ,52,陰平,
98,崧,鍾山(公安),ʃ,oŋ,35,陰平,
98,崧,賀州(九都話),s,ɛŋ,24,陰平,
98,崧,湖南(道縣),s,ue,54,陰平,
106,戎,富川(七都話),0,iaŋ,33,陽平,
106,戎,富川(八都話),0,iəu,21,陽平,
106,戎,鍾山(公安),0,ioŋ,23,陽平,
106,戎,賀州(九都話),0,iəŋ,213,陽平,
106,戎,湖南(道縣),0,iaŋ,31,陽平,
107,,富川(七都話),0,iaŋ,33,陽平,
107,,富川(八都話),0,iəu,21,陽平,
107,,鍾山(公安),0,ioŋ,23,陽平,
107,,賀州(九都話),0,iəŋ,213,陽平,
107,,湖南(道縣),0,iaŋ,31,陽平,
113,狨,富川(七都話),0,iaŋ,33,陽平,
113,狨,富川(八都話),0,iəu,21,陽平,
113,狨,鍾山(公安),0,ioŋ,23,陽平,
113,狨,賀州(九都話),0,iəŋ,213,陽平,
113,狨,湖南(道縣),0,iaŋ,31,陽平,
113,狨,豐陽,0,iɔŋ,31,陽平,
113,狨,星子,0,iʌŋ,24,陽平,
113,狨,西岸,0,ieu,24,陽平,
113,狨,保安,j,ɔŋ,25,陽平,
113,狨,連州,0,ie,55,陽平,
