id,字形,方言點,聲母,韻母,調值,調類,備註
1,東,丹陽後巷童家橋,t,oŋ,42,陰平,
1,東,靖江,t,oŋ,433,陰平,
1,東,丹陽,t,oŋ,22,陰平,
1,東,江陰,t,oŋ,51,陰平,
1,東,常州,t,oŋ,44,陰平,
1,東,金壇西崗,t,oŋ,31,陰平,
1,東,溧陽,t,oŋ,445,陰平,
1,東,宜興,t,oŋ,55,陰平,
1,東,常熟,t,ʊŋ,52,陰平,
1,東,無錫,t,oŋ,55,陰平,
1,東,寶山霜草墩,t,oŋ,52,陰平,
1,東,崑山,t,oŋ,44,陰平,
1,東,蘇州,t,oŋ,44,陰平,
1,東,蘇州(當代吳語),t,oŋ,44,陰平,
1,東,上海(三林塘),t,oŋ,53,陰平,
1,東,溫州,t,oŋ,44,陰平,
1,東,雲和,n/t,oŋ,324,陰平,"文,白"
1,東,開化,t,əŋ,45,陰平,
1,東,龍游,t,oŋ,434,陰平,
1,東,常山,t,oŋ,45,陰平,
1,東,江山(江山市),t,oŋ/əʔ,44/5,陰平/陰入,"文(東西(物件)),白"
1,東,玉山,t,oŋ,33,陰平,
1,東,遂昌,t,əŋ,55,陰平,
1,東,廣豐(永豐鎮),t,oŋ,445,陰平,
1,東,浦城(南浦鎮城關話),l,ouŋ,35,陰平,
1,東,慶元,ʔd,oŋ,334,陰平,
1,東,宣州市裘公鄉,t,oŋ,31,陰平,
1,東,貴池市茅坦鄉,t,oŋ,31,陰平,
1,東,寧國市莊村鄉,t,əŋ,55,陰平,
1,東,貴池市灌口鄉,t,oŋ,31,陰平,
1,東,寧國市南極鄉,t,əŋ,55,陰平,
1,東,黃山區甘棠鎮,t,oŋ,53,陰平,
2,菄,蘇州,ȡ,,,,
2,菄,上海(三林塘),t,oŋ,53,陰平,
2,菄,開化,t,əŋ,45,陰平,
2,菄,常山,t,oŋ,45,陰平,
2,菄,江山(江山市),t,oŋ/əʔ,44/5,陰平/陰入,
2,菄,廣豐(永豐鎮),t,oŋ,445,陰平,
2,菄,宣州市裘公鄉,t,oŋ,31,陰平,
2,菄,貴池市茅坦鄉,t,oŋ,31,陰平,
2,菄,寧國市莊村鄉,t,əŋ,55,陰平,
2,菄,貴池市灌口鄉,t,oŋ,31,陰平,
2,菄,寧國市南極鄉,t,əŋ,55,陰平,
2,菄,黃山區甘棠鎮,t,oŋ,53,陰平,
18,同,丹陽後巷童家橋,d,oŋ,31,陽平,
18,同,靖江,d,oŋ,223,陽平,
18,同,丹陽,t,oŋ,324,陰去,
18,同,江陰,d,oŋ,223,陽去,"江陰方言無陽平調,古陽平調的字併入陽去調。"
18,同,常州,d,oŋ,213,陽平,
18,同,金壇西崗,tʰ,oŋ,35,陽平,
18,同,溧陽,d,oŋ,323,陽平,
18,同,宜興,d,oŋ,223,陽平,
18,同,常熟,d,ʊŋ,233,陽平,
18,同,無錫,d,oŋ,213,陽去,"無錫方言無陽平調,古陽平調的字併入陽去調。"
18,同,寶山霜草墩,d,oŋ,231,陽平,
18,同,崑山,d,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
18,同,蘇州,d,oŋ,24,陽平,
18,同,蘇州(當代吳語),d,oŋ,223,陽平,
18,同,上海(三林塘),dɦ,oŋ,324,陽平,
18,同,溫州,d,oŋ,31,陽平,
18,同,雲和,d,oŋ,423,陽平,
18,同,開化,d,əŋ,341,陽平,
18,同,龍游,d,oŋ,21,陽平,
18,同,常山,d,oŋ,341,陽平,
18,同,江山(江山市),d,oŋ,313,陽平,
18,同,玉山,d,oŋ,24,陽平,
18,同,遂昌,d,əŋ,221,陽平,
18,同,廣豐(永豐鎮),d,oŋ,341,陽平,
18,同,浦城(南浦鎮城關話),t,ouŋ,213,陽平,
18,同,慶元,t,oŋ,52,陽平,
18,同,宣州市裘公鄉,r,oŋ,13,陽平,
18,同,貴池市茅坦鄉,d,oŋ,35,陽平,
18,同,寧國市莊村鄉,d,əŋ,11,陽平,
18,同,貴池市灌口鄉,d,oŋ,13,陽平,
18,同,寧國市南極鄉,d,əŋ,13,陽平,
18,同,黃山區甘棠鎮,d,oŋ,213,陽平,
19,仝,上海(三林塘),dɦ,oŋ,324,陽平,
19,仝,開化,d,əŋ,341,陽平,
19,仝,常山,d,oŋ,341,陽平,
19,仝,江山(江山市),d,oŋ,313,陽平,
19,仝,廣豐(永豐鎮),d,oŋ,341,陽平,
