id,字形,方言點,聲母,韻母,調值,調類,備註
1,東,北京,t,uŋ,55,陰平,
1,東,濟南,t,uŋ,213,陰平,
1,東,西安,t,uoŋ,21,陰平,
1,東,武昌,t,oŋ,55,陰平,
1,東,桂林(臨桂),t,uŋ,33,陰平,
1,東,柳州(雒容),t,uŋ,33,陰平,
1,東,合肥,t,əŋ,212,陰平,
2,菄,桂林(臨桂),t,uŋ,33,陰平,
2,菄,柳州(雒容),t,uŋ,33,陰平,
11,凍,北京,t,uŋ,51,去,
11,凍,濟南,t,uŋ,213/21,陰平/去,未註明異讀原因
11,凍,西安,t,uoŋ,55,去,
18,同,北京,tʰ,uŋ,35,陽平,
18,同,濟南,tʰ,uŋ,42,陽平,
18,同,西安,tʰ,uoŋ,24,陽平,
18,同,武昌,tʰ,oŋ,213,陽平,
18,同,桂林(臨桂),tʰ,uŋ,31,陽平,
18,同,柳州(雒容),tʰ,uŋ,21,陽平,
18,同,合肥,tʰ,əŋ,55,陽平,
19,仝,桂林(臨桂),tʰ,uŋ,31,陽平,
19,仝,柳州(雒容),tʰ,uŋ,21,陽平,
20,童,北京,tʰ,uŋ,35,陽平,
20,童,濟南,tʰ,uŋ,42,陽平,
20,童,西安,tʰ,uoŋ,24,陽平,
20,童,武昌,tʰ,oŋ,213,陽平,
20,童,桂林(臨桂),tʰ,uŋ,31,陽平,
20,童,柳州(雒容),tʰ,uŋ,21,陽平,
20,童,合肥,tʰ,əŋ,55,陽平,
22,銅,北京,tʰ,uŋ,35,陽平,
22,銅,濟南,tʰ,uŋ,42,陽平,
22,銅,西安,tʰ,uoŋ,24,陽平,
22,銅,武昌,tʰ,oŋ,213,陽平,
22,銅,桂林(臨桂),tʰ,uŋ,31,陽平,
22,銅,柳州(雒容),tʰ,uŋ,21,陽平,
22,銅,合肥,tʰ,əŋ,55,陽平,
23,桐,北京,tʰ,uŋ,35,陽平,
23,桐,濟南,tʰ,uŋ,42,陽平,
23,桐,西安,tʰ,uoŋ,24,陽平,
23,桐,武昌,tʰ,oŋ,213,陽平,
23,桐,桂林(臨桂),tʰ,uŋ,31,陽平,
23,桐,柳州(雒容),tʰ,uŋ,21,陽平,
23,桐,合肥,tʰ,əŋ,55,陽平,
28,筒,北京,tʰ,uŋ,214,上,
28,筒,濟南,tʰ,uŋ,55,上,
28,筒,西安,tʰ,uoŋ,53,上,
28,筒,武昌,tʰ,oŋ,213,陽平,
28,筒,桂林(臨桂),tʰ,uŋ,31,陽平,
28,筒,柳州(雒容),tʰ,uŋ,21,陽平,
28,筒,合肥,tʰ,əŋ,24,上,
29,瞳,北京,tʰ,uŋ,35,陽平,
29,瞳,濟南,tʰ,uŋ,42,陽平,
29,瞳,西安,tʰ,uoŋ,24,陽平,
29,瞳,武昌,tʰ,oŋ,213,陽平,
29,瞳,桂林(臨桂),tʰ,uŋ,31,陽平,
29,瞳,柳州(雒容),tʰ,uŋ,21,陽平,
29,瞳,合肥,tʰ,əŋ,55,陽平,
63,中,北京,tʂ,uŋ,55,陰平,當中
63,中,濟南,tʂ,uŋ,213,陰平,當中
63,中,西安,pf,əŋ,21,陰平,當中
63,中,武昌,ts,oŋ,55,陰平,當中
63,中,桂林(臨桂),ts,uŋ,33,陰平,當中。
63,中,柳州(雒容),ts,uŋ,33,陰平,當中。
63,中,合肥,tʂ,əŋ,212,陰平,當中
64,衷,北京,tʂ,uŋ,55,陰平,
64,衷,濟南,tʂ,uŋ,213,陰平,
64,衷,西安,pf,əŋ,21,陰平,
64,衷,武昌,ts,oŋ,55,陰平,
64,衷,合肥,tʂ,əŋ,212,陰平,
65,忠,北京,tʂ,uŋ,55,陰平,
65,忠,濟南,tʂ,uŋ,213,陰平,
65,忠,廣靈,ts,uŋ,53,陰平,
65,忠,霍州(霍縣),ts,uəŋ,213,陰平,
65,忠,臨汾,tʂ,uəŋ,21,陰平,
65,忠,聞喜,pf/ts,ɯŋ/uŋ,31/31,陰平/陰平,白讀。文讀
65,忠,新絳,pf,əŋ,53,陰平,
65,忠,吉縣,pf,əŋ,423,陰平,
65,忠,運城,pf,əŋ,31,陰平,
65,忠,永濟,pf,əŋ,21,陰平,
65,忠,萬榮,pf,ʌŋ,51,陰平,
65,忠,西安,pf,əŋ,21,陰平,
65,忠,武昌,ts,oŋ,55,陰平,
65,忠,桂林(臨桂),ts,uŋ,33,陰平,
65,忠,柳州(雒容),ts,uŋ,33,陰平,
65,忠,合肥,tʂ,əŋ,212,陰平,
67,蟲,北京,tʂʰ,uŋ,35,陽平,
67,蟲,濟南,tʂʰ,uŋ,42,陽平,
67,蟲,宿州市,tʂʰ,oŋ,55,陽平,
67,蟲,渦陽,tʂʰ,oŋ,55,陽平,
67,蟲,臨泉,tʂʰ,oŋ,55,陽平,
67,蟲,穎上,tsʰ,oŋ,55,陽平,
67,蟲,蕭縣,tʂʰ,oŋ,55,陽平,
67,蟲,蚌埠市,tsʰ,õŋ,55,陽平,
67,蟲,鳳陽,tʂʰ,õŋ,55,陽平,
67,蟲,壽縣,tsʰ,oŋ,55,陽平,
67,蟲,西安,pfʰ,əŋ,24,陽平,
67,蟲,武昌,tsʰ,oŋ,213,陽平,
67,蟲,桂林(臨桂),tsʰ,uŋ,31,陽平,
67,蟲,柳州(雒容),tsʰ,uŋ,21,陽平,
67,蟲,懷遠,tsʰ,uŋ,55,陽平,
67,蟲,淮南,tsʰ,uŋ,45,陽平,
67,蟲,滁縣(滁州),tʂʰ,uŋ,35,陽平,
67,蟲,合肥,tʂʰ,əŋ,55,陽平,
67,蟲,巢縣(巢湖),tʂʰ,ʌŋ,35,陽平,
