id,字形,方言點,聲母,韻母,調值,調類,備註
67,蟲,旌德(安徽省志),tsʰ,əŋ,42,陽平,
67,蟲,績溪(安徽省志),tsʰ,ɑ̃,44,陽平,
67,蟲,黃山(湯口)(安徽省志),tɬʰ,əŋ,44,陽平,
67,蟲,黟縣(安徽省志),tʃʰ,ɑŋ,44,陽平,
67,蟲,祁門(安徽省志),tʂʰ,ɐŋ,55,陽平,
67,蟲,屯溪(安徽省志),tsʰ,an,42,陰去,
113,狨,旌德(安徽省志),0,iŋ,42,陽平,
113,狨,績溪(安徽省志),0,yɑ̃,44,陽平,
113,狨,黃山(湯口)(安徽省志),0,iəŋ,44,陽平,
113,狨,黟縣(安徽省志),0,iɑŋ,44,陽平,
113,狨,祁門(安徽省志),ȵ,iɐŋ,55,陽平,
113,狨,屯溪(安徽省志),0,in,42,陰去,
114,絨,旌德(安徽省志),0,iŋ,42,陽平,
114,絨,績溪(安徽省志),0,yɑ̃,44,陽平,
114,絨,黃山(湯口)(安徽省志),0,iəŋ,44,陽平,
114,絨,黟縣(安徽省志),0,iɑŋ,44,陽平,
114,絨,祁門(安徽省志),ȵ,iɐŋ,55,陽平,
114,絨,屯溪(安徽省志),0,in,42,陰去,
115,弓,旌德(安徽省志),k,uəŋ,35,陰平,
115,弓,績溪(安徽省志),k,uɑ̃,31,陰平,
115,弓,黃山(湯口)(安徽省志),k,əŋ,55,陰平,
115,弓,黟縣(安徽省志),tʃ,ɑŋ,21,陰平,
115,弓,祁門(安徽省志),tɕ,iɐŋ,11,陰平,
115,弓,屯溪(安徽省志),k,an,33,陰平,
125,雄,旌德(安徽省志),ɕ,yŋ,42,陽平,
125,雄,績溪(安徽省志),ɕ,yɑ̃,44,陽平,印刷未輸入調值，此地陽平應為44。
125,雄,黃山(湯口)(安徽省志),ɕ,iəŋ,44,陽平,
125,雄,黟縣(安徽省志),ʃ,ɑŋ,44,陽平,
125,雄,祁門(安徽省志),ɕ,iɐŋ,42,上聲,
125,雄,屯溪(安徽省志),ɕ,in,42,陰去,
157,豐,旌德(安徽省志),f,əŋ,35,陰平,
157,豐,績溪(安徽省志),f,ɑ̃,31,陰平,
157,豐,黃山(湯口)(安徽省志),f,əŋ,55,陰平,
157,豐,黟縣(安徽省志),f,ɑŋ,21,陰平,
157,豐,祁門(安徽省志),f,ɐŋ,11,陰平,
157,豐,屯溪(安徽省志),f,an,33,陰平,
165,充,旌德(安徽省志),tsʰ,əŋ,35,陰平,
165,充,績溪(安徽省志),tsʰ,ɑ̃,31,陰平,
165,充,黃山(湯口)(安徽省志),tɬʰ,əŋ,55,陰平,
165,充,黟縣(安徽省志),tʃʰ,ɑŋ,21,陰平,
165,充,祁門(安徽省志),tʂʰ,ɐŋ,11,陰平,
165,充,屯溪(安徽省志),tsʰ,an,33,陰平,
192,公,旌德(安徽省志),k,uəŋ,35,陰平,
192,公,績溪(安徽省志),k,uɑ̃,31,陰平,
192,公,黃山(湯口)(安徽省志),k,əŋ,55,陰平,
192,公,黟縣(安徽省志),k,əŋ,21,陰平,
192,公,祁門(安徽省志),k,ɐŋ,11,陰平,
192,公,屯溪(安徽省志),k,an,33,陰平,
262,紅,旌德(安徽省志),x,uəŋ,42,陽平,
262,紅,績溪(安徽省志),x,uɑ̃,44,陽平,
262,紅,黃山(湯口)(安徽省志),x,əŋ,44,陽平,
262,紅,黟縣(安徽省志),x,əŋ,44,陽平,
262,紅,祁門(安徽省志),x,ɐŋ,55,陽平,
262,紅,屯溪(安徽省志),x,an,42,陰去,
287,翁,旌德(安徽省志),v,əŋ,35,陰平,
287,翁,績溪(安徽省志),v,ɑ̃,31,陰平,
287,翁,黃山(湯口)(安徽省志),v,əŋ,55,陰平,
287,翁,黟縣(安徽省志),0,əŋ,21,陰平,
287,翁,祁門(安徽省志),0,ŋ̩,11,陰平,
287,翁,屯溪(安徽省志),0,an,33,陰平,
297,,旌德(安徽省志),tsʰ,əŋ,35,陰平,
297,,績溪(安徽省志),tsʰ,ɑ̃,31,陰平,
297,,黃山(湯口)(安徽省志),tɬʰ,əŋ,55,陰平,
297,,黟縣(安徽省志),tʃʰ,ɑŋ,21,陰平,
297,,祁門(安徽省志),tsʰ,ɐŋ,11,陰平,
297,,屯溪(安徽省志),tsʰ,an,33,陰平,
310,通,旌德(安徽省志),tʰ,əŋ,35,陰平,
310,通,績溪(安徽省志),tʰ,ɑ̃,31,陰平,
310,通,黃山(湯口)(安徽省志),tʰ,əŋ,55,陰平,
310,通,黟縣(安徽省志),tʰ,ɑŋ,21,陰平,
310,通,祁門(安徽省志),tʰ,ɐŋ,11,陰平,
310,通,屯溪(安徽省志),tʰ,an,33,陰平,
343,篷,旌德(安徽省志),pʰ,əŋ,42,陽平,
343,篷,績溪(安徽省志),pʰ,ɑ̃,44,陽平,
343,篷,黃山(湯口)(安徽省志),pʰ,əŋ,44,陽平,
343,篷,黟縣(安徽省志),pʰ,ɑŋ,44,陽平,
343,篷,祁門(安徽省志),pʰ,ɐŋ,55,陽平,
343,篷,屯溪(安徽省志),pʰ,an,33,陰平,
361,冬,旌德(安徽省志),t,əŋ,35,陰平,
361,冬,績溪(安徽省志),t,ɑ̃,31,陰平,
361,冬,黃山(湯口)(安徽省志),t,əŋ,55,陰平,
361,冬,黟縣(安徽省志),t,ɑŋ,21,陰平,
361,冬,祁門(安徽省志),t,ɐŋ,11,陰平,
361,冬,屯溪(安徽省志),t,an,33,陰平,
362,,旌德(安徽省志),t,əŋ,35,陰平,
362,,績溪(安徽省志),t,ɑ̃,31,陰平,
362,,黃山(湯口)(安徽省志),t,əŋ,55,陰平,
362,,黟縣(安徽省志),t,ɑŋ,21,陰平,
362,,祁門(安徽省志),t,ɐŋ,11,陰平,
362,,屯溪(安徽省志),t,an,33,陰平,
424,鬆,旌德(安徽省志),s,əŋ,35,陰平,鬆緊。
424,鬆,績溪(安徽省志),s,ɑ̃,31,陰平,鬆緊。
424,鬆,黃山(湯口)(安徽省志),ɬ,əŋ,55,陰平,鬆緊。
424,鬆,黟縣(安徽省志),s,ɑŋ,21,陰平,鬆緊。
424,鬆,祁門(安徽省志),s,ɐŋ,11,陰平,鬆緊。
424,鬆,屯溪(安徽省志),s,an,33,陰平,鬆緊。
425,,旌德(安徽省志),s,əŋ,35,陰平,鬆緊。
425,,績溪(安徽省志),s,ɑ̃,31,陰平,鬆緊。
425,,黃山(湯口)(安徽省志),ɬ,əŋ,55,陰平,鬆緊。
425,,黟縣(安徽省志),s,ɑŋ,21,陰平,鬆緊。
425,,祁門(安徽省志),s,ɐŋ,11,陰平,鬆緊。
425,,屯溪(安徽省志),s,an,33,陰平,鬆緊。
428,鐘,旌德(安徽省志),ts,əŋ,35,陰平,
428,鐘,績溪(安徽省志),ts,ɑ̃,31,陰平,
428,鐘,黃山(湯口)(安徽省志),tɬ,əŋ,55,陰平,
428,鐘,黟縣(安徽省志),tʃ,ɑŋ,21,陰平,
428,鐘,祁門(安徽省志),tʂ,ɐŋ,11,陰平,
428,鐘,屯溪(安徽省志),ts,an,33,陰平,
445,龍,旌德(安徽省志),l,əŋ,42,陽平,
445,龍,績溪(安徽省志),l,ɑ̃,44,陽平,
445,龍,黃山(湯口)(安徽省志),l,əŋ,44,陽平,
445,龍,黟縣(安徽省志),l,ɑŋ,44,陽平,
445,龍,祁門(安徽省志),n,ɐŋ,55,陽平,
445,龍,屯溪(安徽省志),l,in,42,陰去,
460,松,旌德(安徽省志),tsʰ,əŋ,42,陽平,松樹。
460,松,績溪(安徽省志),tsʰ,ɑ̃,44,陽平,松樹。
460,松,黃山(湯口)(安徽省志),tɬʰ,əŋ,44,陽平,松樹。
460,松,黟縣(安徽省志),tʃʰ,ɑŋ,44,陽平,松樹。
460,松,祁門(安徽省志),tsʰ,ɐŋ,55,陽平,松樹。
460,松,屯溪(安徽省志),tsʰ,an,42,陰去,松樹。
461,,旌德(安徽省志),tsʰ,əŋ,42,陽平,松樹。
461,,績溪(安徽省志),tsʰ,ɑ̃,44,陽平,松樹。
461,,黃山(湯口)(安徽省志),tɬʰ,əŋ,44,陽平,松樹。
461,,黟縣(安徽省志),tʃʰ,ɑŋ,44,陽平,松樹。
461,,祁門(安徽省志),tsʰ,ɐŋ,55,陽平,松樹。
461,,屯溪(安徽省志),tsʰ,an,42,陰去,松樹。
547,濃,旌德(安徽省志),l,əŋ,42,陽平,
547,濃,績溪(安徽省志),l,ɑ̃,44,陽平,
547,濃,黃山(湯口)(安徽省志),n,əŋ,44,陽平,
547,濃,黟縣(安徽省志),n,ɑŋ,44,陽平,
547,濃,祁門(安徽省志),n,ɐŋ,55,陽平,
547,濃,屯溪(安徽省志),l,in,42,陰去,
584,,旌德(安徽省志),f,əŋ,35,陰平,
584,,績溪(安徽省志),f,ɑ̃,31,陰平,
584,,黃山(湯口)(安徽省志),f,əŋ,55,陰平,
584,,黟縣(安徽省志),f,ɑŋ,21,陰平,
584,,祁門(安徽省志),f,ɐŋ,11,陰平,
584,,屯溪(安徽省志),f,an,33,陰平,
585,蜂,旌德(安徽省志),f,əŋ,35,陰平,
585,蜂,績溪(安徽省志),f,ɑ̃,31,陰平,
585,蜂,黃山(湯口)(安徽省志),f,əŋ,55,陰平,
585,蜂,黟縣(安徽省志),f,ɑŋ,21,陰平,
585,蜂,祁門(安徽省志),f,ɐŋ,11,陰平,
585,蜂,屯溪(安徽省志),f,an,33,陰平,
586,,旌德(安徽省志),f,əŋ,35,陰平,
586,,績溪(安徽省志),f,ɑ̃,31,陰平,
586,,黃山(湯口)(安徽省志),f,əŋ,55,陰平,
586,,黟縣(安徽省志),f,ɑŋ,21,陰平,
586,,祁門(安徽省志),f,ɐŋ,11,陰平,
586,,屯溪(安徽省志),f,an,33,陰平,
633,恭,旌德(安徽省志),k,uəŋ,35,陰平,
633,恭,績溪(安徽省志),k,uɑ̃,31,陰平,
633,恭,黃山(湯口)(安徽省志),k,əŋ,55,陰平,
633,恭,黟縣(安徽省志),tʃ,ɑŋ,21,陰平,
633,恭,祁門(安徽省志),tɕ,iɐŋ,11,陰平,
633,恭,屯溪(安徽省志),k/tɕ,an/in,33,陰平陰平,
698,,旌德(安徽省志),tsʰ,o,35,陰平,
698,,績溪(安徽省志),tsʰ,õ,31,陰平,
698,,黃山(湯口)(安徽省志),tɬʰ,ɔ,55,陰平,
698,,黟縣(安徽省志),tʃʰ,ɔŋ,21,陰平,
698,,祁門(安徽省志),tʂʰ,ũɐ̆,11,陰平,
698,,屯溪(安徽省志),tsʰ,au,33,陰平,
699,,旌德(安徽省志),tsʰ,o,35,陰平,
699,,績溪(安徽省志),tsʰ,õ,31,陰平,
699,,黃山(湯口)(安徽省志),tɬʰ,ɔ,55,陰平,
699,,黟縣(安徽省志),tʃʰ,ɔŋ,21,陰平,
699,,祁門(安徽省志),tʂʰ,ũɐ̆,11,陰平,
699,,屯溪(安徽省志),tsʰ,au,33,陰平,
700,,旌德(安徽省志),tsʰ,o,35,陰平,
700,,績溪(安徽省志),tsʰ,õ,31,陰平,
700,,黃山(湯口)(安徽省志),tɬʰ,ɔ,55,陰平,
700,,黟縣(安徽省志),tʃʰ,ɔŋ,21,陰平,
700,,祁門(安徽省志),tʂʰ,ũɐ̆,11,陰平,
700,,屯溪(安徽省志),tsʰ,au,33,陰平,
706,邦,旌德(安徽省志),p,o,35,陰平,
706,邦,績溪(安徽省志),p,õ,31,陰平,
