id,字形,方言點,聲母,韻母,調值,調類,備註
1,東,太原,t,uŋ,11,平,
11,凍,太原,t/tɕ,uŋ/yuŋ,45,去,"正,俗"
18,同,太原,tʰ,uŋ,11,平,
20,童,太原,tʰ,uŋ,11,平,
22,銅,太原,tʰ,uŋ,11,平,
23,桐,太原,tʰ,uŋ,11,平,
28,筒,太原,tʰ,uŋ,53,上,
29,瞳,太原,tʰ,uŋ,11,平,
63,中,太原,ts,uŋ,11,平,當中
64,衷,太原,ts,uŋ,11,平,
65,忠,婁煩,pf,ə̃,22,平聲,
65,忠,太原,ts,uŋ,11,平聲,
65,忠,清徐,ts,uʌ̃,11,平聲,
65,忠,文水,ts,uəŋ,22,平聲,
65,忠,太谷,ts,ũ,22,平聲,
65,忠,祁縣,ts,ũm,33,平聲,
65,忠,平遙,ts,uŋ,13,平聲,
65,忠,孝義,ts,uŋ,11,平聲,
65,忠,臨縣,ts,uəŋ,24,陰平,
65,忠,離石,ts,uəŋ,213,陰平,
65,忠,汾陽,tʂ,uəŋ,324,陰平,
65,忠,嵐縣,ts,uəŋ,324,陰平,
65,忠,石樓,tʂ,uŋ,214,陰平,
65,忠,隰縣,tʂ,uəŋ,41,陰平,
65,忠,汾西,ts,uəŋ,22,陰平,
65,忠,沁縣,ts,uəŋ,213,陰平上,
65,忠,平順,tʂ,uŋ,313,陰平,
65,忠,長治,ts,uŋ,213,陰平,
65,忠,長子,ts,uŋ,213,陰平,
65,忠,高平,tʂ,uəŋ,33,平聲,
65,忠,陵川,tʂ,uŋ,33,陰平,
65,忠,朔州,tʂ,uə̃,312,陰平上,
65,忠,代縣,ts,uəŋ,213,陰平上,
65,忠,五寨,ts,uə̃,213,陰平上,
65,忠,五台,ts,uəŋ,214,陰平上,
65,忠,忻州,ts,uəŋ,313,陰平上,
65,忠,天鎮,tʂ,uɤɣ,31,陰平,
65,忠,大同,tʂ,uə,31,陰平,
65,忠,山陰,tʂ,uə̃,313,平聲,
65,忠,平定,ts,uəŋ,313,陰平,
65,忠,和順,ts,uəŋ,31,陰平,
65,忠,晉城,tʂ,uoŋ,33,陰平,
65,忠,陽城,tʂ,uə̃ŋ,11,陰平,
67,蟲,太原,tsʰ,uŋ,11,平,
75,終,太原,ts,uŋ,11,平,
76,眾,太原,ts,uŋ,45,去,
