id,字形,方言點,聲母,韻母,調值,調類,備註
1,東,長沙,t,ən,33,陰平,
1,東,雙峰,t,an,55,陰平,
1,東,全州(縣城),t,oŋ,33,陰平,
1,東,灌陽(文市),t,uŋ,22,陰平,
2,菄,全州(縣城),t,oŋ,33,陰平,
2,菄,灌陽(文市),t,uŋ,22,陰平,
18,同,長沙,t,ən,13,陽平,
18,同,雙峰,d,an,13,陽平,
18,同,全州(縣城),d,oŋ,23,陽平,
18,同,灌陽(文市),d,uŋ,33,陽平,
19,仝,全州(縣城),d,oŋ,23,陽平,
19,仝,灌陽(文市),d,uŋ,33,陽平,
20,童,長沙,t,ən,13,陽平,
20,童,雙峰,d,an,13,陽平,
20,童,全州(縣城),d,oŋ,23,陽平,
20,童,灌陽(文市),d,uŋ,33,陽平,
22,銅,長沙,t,ən,13,陽平,
22,銅,雙峰,d,an,13,陽平,
22,銅,全州(縣城),d,oŋ,23,陽平,
22,銅,灌陽(文市),d,uŋ,33,陽平,
23,桐,長沙,t,ən,13,陽平,
23,桐,雙峰,d,an,13,陽平,
23,桐,全州(縣城),d,oŋ,23,陽平,
23,桐,灌陽(文市),d,uŋ,33,陽平,
28,筒,長沙,t,ən,13,陽平,
28,筒,雙峰,d,an,13,陽平,
28,筒,全州(縣城),d,oŋ,23,陽平,
28,筒,灌陽(文市),d,uŋ,33,陽平,
29,瞳,長沙,t,ən,13,陽平,
29,瞳,雙峰,d,an,13,陽平,
29,瞳,全州(縣城),d,oŋ,23,陽平,
29,瞳,灌陽(文市),d,uŋ,33,陽平,
63,中,長沙,ts,ən,33,陰平,當中
63,中,雙峰,t,an,55,陰平,當中
63,中,全州(縣城),ts,oŋ,33,陰平,當中。
63,中,灌陽(文市),ts,uŋ,22,陰平,當中。
64,衷,長沙,ts,ən,33,陰平,
64,衷,雙峰,t,an,55,陰平,
65,忠,長沙,ts,ən,33,陰平,
65,忠,雙峰,t,an,55,陰平,
65,忠,全州(縣城),ts,oŋ,33,陰平,
65,忠,灌陽(文市),ts,uŋ,22,陰平,
67,蟲,長沙,ts,ən,13,陽平,
67,蟲,雙峰,d,an,13,陽平,
67,蟲,全州(縣城),dz,oŋ,23,陽平,
67,蟲,灌陽(文市),dz,uŋ,33,陽平,
75,終,長沙,ts,ən,33,陰平,
75,終,雙峰,t,an,55,陰平,
75,終,全州(縣城),ts,oŋ,33,陰平,
75,終,灌陽(文市),ts,uŋ,22,陰平,
92,盅,長沙,ts,ən,33,陰平,
92,盅,雙峰,t,an,55,陰平,
93,崇,長沙,ts,ən,13,陽平,
93,崇,雙峰,dz,an,13,陽平,
93,崇,全州(縣城),dz,oŋ,23,陽平,
93,崇,灌陽(文市),s,uŋ,33,陽平,
94,,全州(縣城),dz,oŋ,23,陽平,
94,,灌陽(文市),s,uŋ,33,陽平,
97,嵩,全州(縣城),s,oŋ,33,陰平,
97,嵩,灌陽(文市),s,uŋ,22,陰平,
98,崧,全州(縣城),s,oŋ,33,陰平,
98,崧,灌陽(文市),s,uŋ,22,陰平,
106,戎,長沙,0,in,13,陽平,
106,戎,雙峰,0,iɛn,13,陽平,
106,戎,全州(縣城),0,ioŋ,23,陽平,
106,戎,灌陽(文市),0,iuŋ,33,陽平,
107,,全州(縣城),0,ioŋ,23,陽平,
107,,灌陽(文市),0,iuŋ,33,陽平,
113,狨,全州(縣城),0,ioŋ,23,陽平,
113,狨,灌陽(文市),0,iuŋ,33,陽平,
114,絨,長沙,0,in,13,陽平,
114,絨,雙峰,0,iɛn,13,陽平,
114,絨,全州(縣城),0,ioŋ,23,陽平,
