id,字形,方言點,聲母,韻母,調值,調類,備註
1,東,湖口,t/t,oŋ/oŋ,42/42,陰平/陰平,
1,東,星子,t,əŋ,33,陰平,
1,東,都昌,t,uŋ,332,陰平,
1,東,修水,t,ɤŋ,24,陰平,
1,東,永修,t,əŋ,35,陰平1,
1,東,平江(南江),t,ɤŋ,33,陰平,
1,東,安義,t,ŋ,11,陰平,
1,東,奉新,t,oŋ,53,陰平,
1,東,南昌,t,uŋ,44,陰平,
1,東,高安,t,uŋ,24,陰平,
1,東,宜豐,t,ən,31,陰平,
1,東,上高,t,əŋ,42,陰平,
1,東,萬載,t,uŋ,31,陰平,
1,東,新余(沙土),t,uŋ,35,陰平甲,
1,東,醴陵(白兔潭),t,əŋ,55,陰平,
1,東,萍鄉,t,əŋ,13,陰平,
1,東,永豐,t,əŋ,44,陰平,
1,東,蓮花,t,əŋ,44,陰平,
1,東,吉安,t,uŋ,334,陰平,
1,東,吉水(螺田),t,əŋ,35,陰平,
1,東,永新,t,ɣŋ,35,陰平,
1,東,泰和,t,əŋ,44,陰平,
1,東,茶陵,t,əŋ,353,陰平,
1,東,東鄉,t,uŋ,33,陰平,
1,東,臨川,t,uŋ,22,陰平,
1,東,南城,t,uŋ,11,陰平,
1,東,宜黃,t,oŋ,11,陰平,
1,東,邵武,t,uŋ,21,陰平,
1,東,黎川,t,uŋ,22,陰平,
1,東,南豐,t,uŋ,23,陰平,
1,東,泰寧(城關話),t,uŋ,21,陰平,
1,東,建寧,t,uŋ,34,陰平,
1,東,建寧(城關話),t,uŋ,34,陰平,
1,東,樂平,t,uŋ,11,陰平,
1,東,波陽,t,əŋ,11,陰平,
1,東,余干,t,uŋ,22,陰平,
1,東,橫峰,t,oŋ,44,陰平,
1,東,弋陽,t,uŋ,33,陰平,
1,東,陽新(國和),t,əŋ,21,陰平,
1,東,宿松(河塔),t,əŋ,11,陰平,
2,菄,湖口,t/t,oŋ/oŋ,42/42,陰平/陰平,
2,菄,星子,t,əŋ,33,陰平,
2,菄,都昌,t,uŋ,332,陰平,
2,菄,修水,t,ɤŋ,24,陰平,
2,菄,永修,t,əŋ,35,陰平1,
2,菄,平江(南江),t,ɤŋ,33,陰平,
2,菄,安義,t,t,11,陰平,
2,菄,奉新,t,oŋ,53,陰平,
2,菄,南昌,t,uŋ,44,陰平,
2,菄,高安,t,uŋ,24,陰平,
2,菄,宜豐,t,ən,31,陰平,
2,菄,上高,t,əŋ,42,陰平,
2,菄,萬載,t,uŋ,31,陰平,
2,菄,新余(沙土),t,uŋ,35,陰平甲,
2,菄,醴陵(白兔潭),t,əŋ,55,陰平,
2,菄,萍鄉,t,əŋ,13,陰平,
2,菄,永豐,t/t,əŋ/əŋ,22/44,陽平/陰平,
2,菄,蓮花,t,əŋ,44,陰平,
2,菄,吉安,t,uŋ,334,陰平,
2,菄,吉水(螺田),t,əŋ,35,陰平,
2,菄,永新,t,ɣŋ,35,陰平,
2,菄,泰和,t,əŋ,44,陰平,
2,菄,茶陵,t,əŋ,353,陰平,
2,菄,東鄉,t,uŋ,33,陰平,
2,菄,臨川,t,uŋ,22,陰平,
2,菄,南城,t,uŋ,11,陰平,
2,菄,宜黃,t,oŋ,11,陰平,
2,菄,邵武,t,uŋ,21,陰平,
2,菄,黎川,t,uŋ,22,陰平,
2,菄,南豐,t,uŋ,23,陰平,
2,菄,建寧,t,uŋ,34,陰平,
2,菄,樂平,t,uŋ,11,陰平,
2,菄,波陽,t,əŋ,11,陰平,
2,菄,余干,t,uŋ,22,陰平,
2,菄,橫峰,t,oŋ,44,陰平,
2,菄,弋陽,t,uŋ,33,陰平,
2,菄,陽新(國和),t,əŋ,21,陰平,
2,菄,宿松(河塔),t,əŋ,11,陰平,
14,崠,建寧(城關話),t,uŋ,21,陰去,崠上：地名。
18,同,泰寧(城關話),h,ŋ,33,陽平,
18,同,建寧(城關話),h,ŋ,213,陽平,
20,童,泰寧(城關話),h,ŋ,33,陽平,
20,童,建寧(城關話),h,ŋ,213,陽平,
22,銅,湖口,d,oŋ,42,陰平,
22,銅,星子,d,əŋ,24,陽平,
22,銅,都昌,l,uŋ,334,陽平甲,
22,銅,修水,dʰ,ɤŋ,213,陽平,
22,銅,永修,dʰ,əŋ,33,陽平,
22,銅,平江(南江),dʰ,ɤŋ,13,陽平,
22,銅,安義,tʰ,ŋ,21,陽平,
22,銅,奉新,tʰ,oŋ,24,陽平,
22,銅,南昌,tʰ,uŋ,24,陽平2,
22,銅,高安,tʰ,uŋ,13,陽平,
22,銅,宜豐,tʰ,ən,13,陽平,
22,銅,上高,tʰ,əŋ,24,陽平,
22,銅,萬載,tʰ,uŋ,44,陽平,
22,銅,新余(沙土),tʰ,uŋ,42,陽平,
22,銅,醴陵(白兔潭),tʰ,əŋ,24,陽平,
22,銅,萍鄉,tʰ,əŋ,44,陽平,
22,銅,永豐,tʰ,əŋ,22,陽平,
22,銅,蓮花,h/tʰ,əŋ/əŋ,13/13,陽平/陽平,
22,銅,吉安,tʰ,uŋ,11,陽平,
22,銅,吉水(螺田),tʰ,əŋ,33,陽平,
22,銅,永新,tʰ,ɣŋ,13,陽平,
22,銅,泰和,h,ŋ̩,24,陽平,
22,銅,茶陵,tʰ,əŋ,424,陽平,
22,銅,東鄉,tʰ,uŋ,24,陽平,
22,銅,臨川,tʰ,uŋ,24,陽平,
22,銅,南城,tʰ,uŋ,45,陽平,
22,銅,宜黃,tʰ,oŋ,53,陽平,
22,銅,邵武,tʰ,uŋ,33,陽平,
22,銅,黎川,h,ŋ̩,35,陽平,
22,銅,南豐,tʰ,uŋ,34,陽平2,
22,銅,泰寧(城關話),h,ŋ,33,陽平,
22,銅,建寧,tʰ,ŋ,213,陽平,
22,銅,建寧(城關話),h,ŋ,213,陽平,
22,銅,樂平,tʰ,uŋ,35,陽平,
22,銅,波陽,tʰ,əŋ,24,陽平,
22,銅,余干,tʰ,uŋ,14,陽平,
22,銅,橫峰,tʰ,oŋ,33,陽平,
22,銅,弋陽,tʰ/tʰ,ən/uŋ,13/13,陽平/陽平,白讀文讀
22,銅,陽新(國和),tʰ,əŋ,33,陽平,
22,銅,宿松(河塔),tʰ,əŋ,24,陽平,
23,桐,泰寧(城關話),h,ŋ,33,陽平,
23,桐,建寧(城關話),h,ŋ,213,陽平,
28,筒,泰寧(城關話),0/h,ŋ,33,陽平,文讀，白讀。
28,筒,建寧(城關話),h,ŋ,213,陽平,
29,瞳,泰寧(城關話),h,ŋ,33,陽平,
29,瞳,建寧(城關話),h,ŋ,213,陽平,
40,烔,建寧(城關話),k,uiŋ,55,上,
63,中,湖口,tʂ,oŋ,42,陰平,中間。
63,中,星子,tʂ,əŋ,33,陰平,中間。
63,中,都昌,tʂ,uŋ,332,陰平,中間
63,中,修水,t,ɤŋ,24,陰平,中間
63,中,永修,tʂ,əŋ,35,陰平1,中間。
63,中,平江(南江),t,ɤŋ,33,陰平,
63,中,安義,t,ŋ,11,陰平,中間
63,中,奉新,t,oŋ,53,陰平,中間。
63,中,南昌,ts,uŋ,44,陰平,中間。
63,中,高安,t,uŋ,24,陰平,中間。
63,中,宜豐,t,ən,31,陰平,中間
63,中,上高,t,əŋ,42,陰平,中間。
63,中,萬載,t,uŋ,31,陰平,中間。
63,中,新余(沙土),t,uŋ,35,陰平甲,
63,中,醴陵(白兔潭),t,əŋ,55,陰平,
63,中,萍鄉,tʂ,əŋ,13,陰平,中間。
63,中,永豐,t,əŋ,44,陰平,中間。
