# 徽語
id,旌德(安徽省志)_聲母,旌德(安徽省志)_韻母,旌德(安徽省志)_調值,旌德(安徽省志)_調類,績溪(安徽省志)_聲母,績溪(安徽省志)_韻母,績溪(安徽省志)_調值,績溪(安徽省志)_調類,黃山(湯口)(安徽省志)_聲母,黃山(湯口)(安徽省志)_韻母,黃山(湯口)(安徽省志)_調值,黃山(湯口)(安徽省志)_調類,黟縣(安徽省志)_聲母,黟縣(安徽省志)_韻母,黟縣(安徽省志)_調值,黟縣(安徽省志)_調類,祁門(安徽省志)_聲母,祁門(安徽省志)_韻母,祁門(安徽省志)_調值,祁門(安徽省志)_調類,屯溪(安徽省志)_聲母,屯溪(安徽省志)_韻母,屯溪(安徽省志)_調值,屯溪(安徽省志)_調類
67,tsʰ,əŋ,42,陽平,tsʰ,ɑ̃,44,陽平,tɬʰ,əŋ,44,陽平,tʃʰ,ɑŋ,44,陽平,tʂʰ,ɐŋ,55,陽平,tsʰ,an,42,陰去
113,0,iŋ,42,陽平,0,yɑ̃,44,陽平,0,iəŋ,44,陽平,0,iɑŋ,44,陽平,ȵ,iɐŋ,55,陽平,0,in,42,陰去
114,0,iŋ,42,陽平,0,yɑ̃,44,陽平,0,iəŋ,44,陽平,0,iɑŋ,44,陽平,ȵ,iɐŋ,55,陽平,0,in,42,陰去
115,k,uəŋ,35,陰平,k,uɑ̃,31,陰平,k,əŋ,55,陰平,tʃ,ɑŋ,21,陰平,tɕ,iɐŋ,11,陰平,k,an,33,陰平
125,ɕ,yŋ,42,陽平,ɕ,yɑ̃,44,陽平,ɕ,iəŋ,44,陽平,ʃ,ɑŋ,44,陽平,ɕ,iɐŋ,42,上聲,ɕ,in,42,陰去
157,f,əŋ,35,陰平,f,ɑ̃,31,陰平,f,əŋ,55,陰平,f,ɑŋ,21,陰平,f,ɐŋ,11,陰平,f,an,33,陰平
165,tsʰ,əŋ,35,陰平,tsʰ,ɑ̃,31,陰平,tɬʰ,əŋ,55,陰平,tʃʰ,ɑŋ,21,陰平,tʂʰ,ɐŋ,11,陰平,tsʰ,an,33,陰平
192,k,uəŋ,35,陰平,k,uɑ̃,31,陰平,k,əŋ,55,陰平,k,əŋ,21,陰平,k,ɐŋ,11,陰平,k,an,33,陰平
262,x,uəŋ,42,陽平,x,uɑ̃,44,陽平,x,əŋ,44,陽平,x,əŋ,44,陽平,x,ɐŋ,55,陽平,x,an,42,陰去
287,v,əŋ,35,陰平,v,ɑ̃,31,陰平,v,əŋ,55,陰平,0,əŋ,21,陰平,0,ŋ̩,11,陰平,0,an,33,陰平
297,tsʰ,əŋ,35,陰平,tsʰ,ɑ̃,31,陰平,tɬʰ,əŋ,55,陰平,tʃʰ,ɑŋ,21,陰平,tsʰ,ɐŋ,11,陰平,tsʰ,an,33,陰平
310,tʰ,əŋ,35,陰平,tʰ,ɑ̃,31,陰平,tʰ,əŋ,55,陰平,tʰ,ɑŋ,21,陰平,tʰ,ɐŋ,11,陰平,tʰ,an,33,陰平
343,pʰ,əŋ,42,陽平,pʰ,ɑ̃,44,陽平,pʰ,əŋ,44,陽平,pʰ,ɑŋ,44,陽平,pʰ,ɐŋ,55,陽平,pʰ,an,33,陰平
361,t,əŋ,35,陰平,t,ɑ̃,31,陰平,t,əŋ,55,陰平,t,ɑŋ,21,陰平,t,ɐŋ,11,陰平,t,an,33,陰平
362,t,əŋ,35,陰平,t,ɑ̃,31,陰平,t,əŋ,55,陰平,t,ɑŋ,21,陰平,t,ɐŋ,11,陰平,t,an,33,陰平
424,s,əŋ,35,陰平,s,ɑ̃,31,陰平,ɬ,əŋ,55,陰平,s,ɑŋ,21,陰平,s,ɐŋ,11,陰平,s,an,33,陰平
425,s,əŋ,35,陰平,s,ɑ̃,31,陰平,ɬ,əŋ,55,陰平,s,ɑŋ,21,陰平,s,ɐŋ,11,陰平,s,an,33,陰平
428,ts,əŋ,35,陰平,ts,ɑ̃,31,陰平,tɬ,əŋ,55,陰平,tʃ,ɑŋ,21,陰平,tʂ,ɐŋ,11,陰平,ts,an,33,陰平
445,l,əŋ,42,陽平,l,ɑ̃,44,陽平,l,əŋ,44,陽平,l,ɑŋ,44,陽平,n,ɐŋ,55,陽平,l,in,42,陰去
460,tsʰ,əŋ,42,陽平,tsʰ,ɑ̃,44,陽平,tɬʰ,əŋ,44,陽平,tʃʰ,ɑŋ,44,陽平,tsʰ,ɐŋ,55,陽平,tsʰ,an,42,陰去
461,tsʰ,əŋ,42,陽平,tsʰ,ɑ̃,44,陽平,tɬʰ,əŋ,44,陽平,tʃʰ,ɑŋ,44,陽平,tsʰ,ɐŋ,55,陽平,tsʰ,an,42,陰去
547,l,əŋ,42,陽平,l,ɑ̃,44,陽平,n,əŋ,44,陽平,n,ɑŋ,44,陽平,n,ɐŋ,55,陽平,l,in,42,陰去
584,f,əŋ,35,陰平,f,ɑ̃,31,陰平,f,əŋ,55,陰平,f,ɑŋ,21,陰平,f,ɐŋ,11,陰平,f,an,33,陰平
585,f,əŋ,35,陰平,f,ɑ̃,31,陰平,f,əŋ,55,陰平,f,ɑŋ,21,陰平,f,ɐŋ,11,陰平,f,an,33,陰平
