# 晉語
id,太原_聲母,太原_韻母,太原_調值,太原_調類,婁煩_聲母,婁煩_韻母,婁煩_調值,婁煩_調類,清徐_聲母,清徐_韻母,清徐_調值,清徐_調類,文水_聲母,文水_韻母,文水_調值,文水_調類,太谷_聲母,太谷_韻母,太谷_調值,太谷_調類,祁縣_聲母,祁縣_韻母,祁縣_調值,祁縣_調類,平遙_聲母,平遙_韻母,平遙_調值,平遙_調類,孝義_聲母,孝義_韻母,孝義_調值,孝義_調類,臨縣_聲母,臨縣_韻母,臨縣_調值,臨縣_調類,離石_聲母,離石_韻母,離石_調值,離石_調類,汾陽_聲母,汾陽_韻母,汾陽_調值,汾陽_調類,嵐縣_聲母,嵐縣_韻母,嵐縣_調值,嵐縣_調類,石樓_聲母,石樓_韻母,石樓_調值,石樓_調類,隰縣_聲母,隰縣_韻母,隰縣_調值,隰縣_調類,汾西_聲母,汾西_韻母,汾西_調值,汾西_調類,沁縣_聲母,沁縣_韻母,沁縣_調值,沁縣_調類,平順_聲母,平順_韻母,平順_調值,平順_調類,長治_聲母,長治_韻母,長治_調值,長治_調類,長子_聲母,長子_韻母,長子_調值,長子_調類,高平_聲母,高平_韻母,高平_調值,高平_調類,陵川_聲母,陵川_韻母,陵川_調值,陵川_調類,朔州_聲母,朔州_韻母,朔州_調值,朔州_調類,代縣_聲母,代縣_韻母,代縣_調值,代縣_調類,五寨_聲母,五寨_韻母,五寨_調值,五寨_調類,五台_聲母,五台_韻母,五台_調值,五台_調類,忻州_聲母,忻州_韻母,忻州_調值,忻州_調類,天鎮_聲母,天鎮_韻母,天鎮_調值,天鎮_調類,大同_聲母,大同_韻母,大同_調值,大同_調類,山陰_聲母,山陰_韻母,山陰_調值,山陰_調類,平定_聲母,平定_韻母,平定_調值,平定_調類,和順_聲母,和順_韻母,和順_調值,和順_調類,晉城_聲母,晉城_韻母,晉城_調值,晉城_調類,陽城_聲母,陽城_韻母,陽城_調值,陽城_調類
1,t,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,t/tɕ,uŋ/yuŋ,45,去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,tʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,tʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,tʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,tʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,tʰ,uŋ,53,上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,tʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ts,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ts,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,ts,uŋ,11,平聲,pf,ə̃,22,平聲,ts,uʌ̃,11,平聲,ts,uəŋ,22,平聲,ts,ũ,22,平聲,ts,ũm,33,平聲,ts,uŋ,13,平聲,ts,uŋ,11,平聲,ts,uəŋ,24,陰平,ts,uəŋ,213,陰平,tʂ,uəŋ,324,陰平,ts,uəŋ,324,陰平,tʂ,uŋ,214,陰平,tʂ,uəŋ,41,陰平,ts,uəŋ,22,陰平,ts,uəŋ,213,陰平上,tʂ,uŋ,313,陰平,ts,uŋ,213,陰平,ts,uŋ,213,陰平,tʂ,uəŋ,33,平聲,tʂ,uŋ,33,陰平,tʂ,uə̃,312,陰平上,ts,uəŋ,213,陰平上,ts,uə̃,213,陰平上,ts,uəŋ,214,陰平上,ts,uəŋ,313,陰平上,tʂ,uɤɣ,31,陰平,tʂ,uə,31,陰平,tʂ,uə̃,313,平聲,ts,uəŋ,313,陰平,ts,uəŋ,31,陰平,tʂ,uoŋ,33,陰平,tʂ,uə̃ŋ,11,陰平
67,tsʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ts,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ts,uŋ,45,去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,ts,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
