# 客語
id,從化(呂田)_聲母,從化(呂田)_韻母,從化(呂田)_調值,從化(呂田)_調類,河源(廣東)_聲母,河源(廣東)_韻母,河源(廣東)_調值,河源(廣東)_調類,揭西(廣東)_聲母,揭西(廣東)_韻母,揭西(廣東)_調值,揭西(廣東)_調類,梅縣(廣東)_聲母,梅縣(廣東)_韻母,梅縣(廣東)_調值,梅縣(廣東)_調類,惠州(市區)_聲母,惠州(市區)_韻母,惠州(市區)_調值,惠州(市區)_調類,東莞(清溪)(客贛方言調查報告)_聲母,東莞(清溪)(客贛方言調查報告)_韻母,東莞(清溪)(客贛方言調查報告)_調值,東莞(清溪)(客贛方言調查報告)_調類,東莞(清溪)_聲母,東莞(清溪)_韻母,東莞(清溪)_調值,東莞(清溪)_調類,深圳(沙頭角)_聲母,深圳(沙頭角)_韻母,深圳(沙頭角)_調值,深圳(沙頭角)_調類,沙頭角麻雀嶺(香港新界)_聲母,沙頭角麻雀嶺(香港新界)_韻母,沙頭角麻雀嶺(香港新界)_調值,沙頭角麻雀嶺(香港新界)_調類,西貢荔枝莊(香港新界)_聲母,西貢荔枝莊(香港新界)_韻母,西貢荔枝莊(香港新界)_調值,西貢荔枝莊(香港新界)_調類,沙田赤泥坪(香港新界)_聲母,沙田赤泥坪(香港新界)_韻母,沙田赤泥坪(香港新界)_調值,沙田赤泥坪(香港新界)_調類,香港_聲母,香港_韻母,香港_調值,香港_調類,屯門楊小坑(香港新界)_聲母,屯門楊小坑(香港新界)_韻母,屯門楊小坑(香港新界)_調值,屯門楊小坑(香港新界)_調類,連南(廣東)_聲母,連南(廣東)_韻母,連南(廣東)_調值,連南(廣東)_調類,翁源(廣東)_聲母,翁源(廣東)_韻母,翁源(廣東)_調值,翁源(廣東)_調類,寧化(福建)_聲母,寧化(福建)_韻母,寧化(福建)_調值,寧化(福建)_調類,長汀(福建)_聲母,長汀(福建)_韻母,長汀(福建)_調值,長汀(福建)_調類,武平(福建)_聲母,武平(福建)_韻母,武平(福建)_調值,武平(福建)_調類,秀篆(福建詔安)_聲母,秀篆(福建詔安)_韻母,秀篆(福建詔安)_調值,秀篆(福建詔安)_調類,寧都(江西)_聲母,寧都(江西)_韻母,寧都(江西)_調值,寧都(江西)_調類,寧都縣梅江鎮_聲母,寧都縣梅江鎮_韻母,寧都縣梅江鎮_調值,寧都縣梅江鎮_調類,石城_聲母,石城_韻母,石城_調值,石城_調類,龍南_聲母,龍南_韻母,龍南_調值,龍南_調類,定南_聲母,定南_韻母,定南_調值,定南_調類,全南_聲母,全南_韻母,全南_調值,全南_調類,全南縣城廂鎮_聲母,全南縣城廂鎮_韻母,全南縣城廂鎮_調值,全南縣城廂鎮_調類,于都_聲母,于都_韻母,于都_調值,于都_調類,上猶縣社溪鄉江頭_聲母,上猶縣社溪鄉江頭_韻母,上猶縣社溪鄉江頭_調值,上猶縣社溪鄉江頭_調類,贛縣(江西蟠龍鎮)_聲母,贛縣(江西蟠龍鎮)_韻母,贛縣(江西蟠龍鎮)_調值,贛縣(江西蟠龍鎮)_調類,上猶(江西)_聲母,上猶(江西)_韻母,上猶(江西)_調值,上猶(江西)_調類,南康_聲母,南康_韻母,南康_調值,南康_調類,南康市蓉江鎮_聲母,南康市蓉江鎮_韻母,南康市蓉江鎮_調值,南康市蓉江鎮_調類,大余(江西)_聲母,大余(江西)_韻母,大余(江西)_調值,大余(江西)_調類,安遠縣欣山鎮_聲母,安遠縣欣山鎮_韻母,安遠縣欣山鎮_調值,安遠縣欣山鎮_調類,安遠_聲母,安遠_韻母,安遠_調值,安遠_調類,修水縣黃沙橋鄉_聲母,修水縣黃沙橋鄉_韻母,修水縣黃沙橋鄉_調值,修水縣黃沙橋鄉_調類,澡溪_聲母,澡溪_韻母,澡溪_調值,澡溪_調類,三都(江西銅鼓)_聲母,三都(江西銅鼓)_韻母,三都(江西銅鼓)_調值,三都(江西銅鼓)_調類,銅鼓_聲母,銅鼓_韻母,銅鼓_調值,銅鼓_調類,井岡山_聲母,井岡山_韻母,井岡山_調值,井岡山_調類,信宜思賀_聲母,信宜思賀_韻母,信宜思賀_調值,信宜思賀_調類,信宜錢排_聲母,信宜錢排_韻母,信宜錢排_調值,信宜錢排_調類,陽春三甲_聲母,陽春三甲_韻母,陽春三甲_調值,陽春三甲_調類,高州新垌_聲母,高州新垌_韻母,高州新垌_調值,高州新垌_調類,廉江石角_聲母,廉江石角_韻母,廉江石角_調值,廉江石角_調類,陽西塘口_聲母,陽西塘口_韻母,陽西塘口_調值,陽西塘口_調類,電白沙琅_聲母,電白沙琅_韻母,電白沙琅_調值,電白沙琅_調類,化州新安_聲母,化州新安_韻母,化州新安_調值,化州新安_調類,廉江青平_聲母,廉江青平_韻母,廉江青平_調值,廉江青平_調類,梧州西河(蒙山)_聲母,梧州西河(蒙山)_韻母,梧州西河(蒙山)_調值,梧州西河(蒙山)_調類,南寧馬山(片聯)_聲母,南寧馬山(片聯)_韻母,南寧馬山(片聯)_調值,南寧馬山(片聯)_調類,玉林興業(高峰鄉)_聲母,玉林興業(高峰鄉)_韻母,玉林興業(高峰鄉)_調值,玉林興業(高峰鄉)_調類,玉林容縣(縣底鎮縣底村)_聲母,玉林容縣(縣底鎮縣底村)_韻母,玉林容縣(縣底鎮縣底村)_調值,玉林容縣(縣底鎮縣底村)_調類,玉林北流(西埌鎮木棉村)_聲母,玉林北流(西埌鎮木棉村)_韻母,玉林北流(西埌鎮木棉村)_調值,玉林北流(西埌鎮木棉村)_調類,玉林北流(塘岸)_聲母,玉林北流(塘岸)_韻母,玉林北流(塘岸)_調值,玉林北流(塘岸)_調類,玉林福綿(橋鎮新沙村)_聲母,玉林福綿(橋鎮新沙村)_韻母,玉林福綿(橋鎮新沙村)_調值,玉林福綿(橋鎮新沙村)_調類,玉林陸川(客贛方言調查報告)_聲母,玉林陸川(客贛方言調查報告)_韻母,玉林陸川(客贛方言調查報告)_調值,玉林陸川(客贛方言調查報告)_調類,玉林陸川(橫山鄉四和村)_聲母,玉林陸川(橫山鄉四和村)_韻母,玉林陸川(橫山鄉四和村)_調值,玉林陸川(橫山鄉四和村)_調類,玉林博白(新田鎮村頭村)_聲母,玉林博白(新田鎮村頭村)_韻母,玉林博白(新田鎮村頭村)_調值,玉林博白(新田鎮村頭村)_調類,中山(南蓢合水)_聲母,中山(南蓢合水)_韻母,中山(南蓢合水)_調值,中山(南蓢合水)_調類,曼谷(半山客話)_聲母,曼谷(半山客話)_韻母,曼谷(半山客話)_調值,曼谷(半山客話)_調類,馬來西亞(柔佛士乃客家話)_聲母,馬來西亞(柔佛士乃客家話)_韻母,馬來西亞(柔佛士乃客家話)_調值,馬來西亞(柔佛士乃客家話)_調類,中山(五桂山、南蓈)_聲母,中山(五桂山、南蓈)_韻母,中山(五桂山、南蓈)_調值,中山(五桂山、南蓈)_調類
1,pʰ,uŋ,44,陰平,t,oŋ,33,陰平,t,uŋ,53,陰平,t,uŋ,44,陰平,t,əŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,34,陰平,t,uŋ,34,陰平,t,uŋ,34,陰平,t,uŋ,34,陰平,t,uŋ,34,陰平,t,oŋ,44,陰平,t,uŋ,22,陰平,t,ɤŋ,33,陰平,t,oŋ,33,陰平,t,əŋ,45,陰平,t,uŋ,13,陰平,t,uŋ,43,陰平,t,uŋ,42,陰平,t,uŋ,53,陰平,t,ɤŋ,24,陰平,t,ɯŋ,35,陰平,t,ɤŋ,24,陰平,t,uŋ,24,陰平,t,əŋ,31,陰平,t,əŋ,24,陰平,t,əŋ,33,陰平,t,əŋ,24,陰平,t,əŋ,44,陰平,t,əŋ,44,陰平,t,əŋ,33,陰平,t,əŋ,44,陰平,t,əŋ,35,陰平,t,əŋ,24,陰平,t,əŋ,24,陰平,t,əŋ,35,陰平,t,əŋ,24,陰平,t,uŋ,24,陰平,t,oŋ,45,陰平,t,oŋ,34,陰平,t,uŋ,35,陰平,t,uŋ,44,陰平,t,oŋ,45,陰平,t,uŋ,35,陰平,t,uŋ,34,陰平,d,uŋ,55,陰平,t,uŋ,55,陰平,t,uŋ,35,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,44,陰平,t,uŋ,55,陰平,t,uŋ,44,陰平,t,oŋ,44,陰平,t,uŋ,44,陰平,t,uŋ,44,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,,,,
2,t,uŋ,44,陰平,t,oŋ,33,陰平,t,uŋ,53,陰平,t,uŋ,44,陰平,t,əŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,34,陰平,t,uŋ,34,陰平,t,uŋ,34,陰平,t,uŋ,34,陰平,t,uŋ,34,陰平,t,oŋ,44,陰平,t,uŋ,22,陰平,t,ɤŋ,33,陰平,t,oŋ,33,陰平,t,əŋ,45,陰平,t,uŋ,13,陰平,t,uŋ,43,陰平,t,uŋ,42,陰平,t,uŋ,53,陰平,t,ɤŋ,24,陰平,t,ɯŋ,35,陰平,t,ɤŋ,24,陰平,t,uŋ,24,陰平,t,əŋ,31,陰平,t,əŋ,24,陰平,t,əŋ,33,陰平,t,əŋ,24,陰平,t,əŋ,44,陰平,t,əŋ,44,陰平,t,əŋ,33,陰平,t,əŋ,44,陰平,t,əŋ,35,陰平,t,əŋ,24,陰平,t,əŋ,24,陰平,t,əŋ,35,陰平,t,əŋ,24,陰平,t,uŋ,24,陰平,t,oŋ,45,陰平,t,oŋ,34,陰平,t,uŋ,35,陰平,t,uŋ,44,陰平,t,oŋ,45,陰平,t,uŋ,35,陰平,t,uŋ,34,陰平,d,uŋ,55,陰平,t,uŋ,55,陰平,t,uŋ,35,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,44,陰平,t,uŋ,55,陰平,t,uŋ,44,陰平,t,oŋ,44,陰平,t,uŋ,44,陰平,t,uŋ,44,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,t,uŋ,33,陰平,,,,
18,tʰ,uŋ,35,陽平,,,,,,,,,tʰ,uŋ,11,陽平,tʰ,əŋ,11,陽平,,,,,tʰ,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,,,,,tʰ,uŋ,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,13,陽平,,,,,,,,,,,,,,,,,tʰ,uŋ,211,陽平,,,,,tʰ,əŋ,11,陽平,,,,,,,,,,,,,tʰ,əŋ,11,陽平,,,,,tʰ,əŋ,24,陽平,,,,,tʰ,əŋ,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,213,陽平,tʰ,uŋ,213,陽平,t,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,11,陽平,,,,,tʰ,uŋ,23,陽平,tʰ,uŋ,23,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,21,陽平,,,,
19,tʰ,uŋ,35,陽平,,,,,,,,,,,,,tʰ,əŋ,11,陽平,,,,,tʰ,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,,,,,tʰ,uŋ,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,13,陽平,,,,,,,,,,,,,,,,,tʰ,uŋ,211,陽平,,,,,tʰ,əŋ,11,陽平,,,,,,,,,,,,,tʰ,əŋ,11,陽平,,,,,tʰ,əŋ,24,陽平,,,,,tʰ,əŋ,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,213,陽平,tʰ,uŋ,213,陽平,t,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,11,陽平,,,,,tʰ,uŋ,23,陽平,tʰ,uŋ,23,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,21,陽平,,,,
20,tʰ,uŋ,35,陽平,,,,,,,,,tʰ,uŋ,11,陽平,tʰ,əŋ,11,陽平,,,,,tʰ,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,,,,,tʰ,uŋ,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,13,陽平,,,,,,,,,,,,,,,,,tʰ,uŋ,211,陽平,,,,,tʰ,əŋ,11,陽平,,,,,,,,,,,,,tʰ,əŋ,11,陽平,,,,,tʰ,əŋ,24,陽平,,,,,tʰ,əŋ,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,213,陽平,tʰ,uŋ,213,陽平,t,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,11,陽平,,,,,tʰ,uŋ,23,陽平,tʰ,uŋ,23,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,21,陽平,,,,
22,tʰ,uŋ,35,陽平,tʰ,oŋ,31,陽平,,uŋ,24,陽平,tʰ,uŋ,11,陽平,tʰ,əŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,tʰ,oŋ,24,陽平,tʰ,uŋ,51,陽平,tʰ,ɤŋ,35,陽平,tʰ,oŋ,24,陽平,tʰ,əŋ,22,陽平,tʰ,uŋ,54,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,13,陽平,tʰ,uŋ,24,陽平,tʰ,ɤŋ,312,陽平,tʰ,ɯŋ,213,陽平,tʰ,ɤŋ,11,陽平,,,,,tʰ,əŋ,44,陽平,tʰ,əŋ,11,陽平,tʰ,əŋ,211,陽平,tʰ,əŋ,11,陽平,tʰ,əŋ,11,陽平,tʰ,əŋ,11,陽平,tʰ,əŋ,11,陽平,tʰ,əŋ,24,陽平,tʰ,əŋ,24,陽平,tʰ,əŋ,13,陽平,tʰ,əŋ,13,陽平,tʰ,əŋ,13,陽平,tʰ,əŋ,13,陽平,tʰ,uŋ,11,陽平,tʰ,oŋ,24,陽平,tʰ,oŋ,23,陽平,tʰ,uŋ,12,陽平,tʰ,uŋ,24,陽平,tʰ,oŋ,12,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,213,陽平,tʰ,uŋ,35,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,22,陽平,tʰ,uŋ,213,陽平,tʰ,uŋ,213,陽平,t,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,11,陽平,tʰ,oŋ,13,陽平,tʰ,uŋ,23,陽平,tʰ,uŋ,23,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,21,陽平,,,,
23,tʰ,uŋ,35,陽平,,,,,,,,,tʰ,uŋ,11,陽平,tʰ,əŋ,11,陽平,,,,,tʰ,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,,,,,tʰ,uŋ,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,13,陽平,,,,,,,,,,,,,,,,,tʰ,uŋ,211,陽平,,,,,tʰ,əŋ,11,陽平,,,,,,,,,,,,,tʰ,əŋ,11,陽平,,,,,tʰ,əŋ,24,陽平,,,,,tʰ,əŋ,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,213,陽平,tʰ,uŋ,213,陽平,t,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,11,陽平,,,,,tʰ,uŋ,23,陽平,tʰ,uŋ,23,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,21,陽平,,,,
28,tʰ,uŋ,35,陽平,,,,,,,,,tʰ,uŋ,11,陽平,tʰ,əŋ,11,陽平,,,,,tʰ,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,21,陽平,,,,,tʰ,uŋ,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,13,陽平,,,,,,,,,,,,,,,,,tʰ,uŋ,211,陽平,,,,,tʰ,əŋ,11,陽平,,,,,,,,,,,,,tʰ,əŋ,11,陽平,,,,,tʰ,əŋ,24,陽平,,,,,tʰ,əŋ,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,213,陽平,tʰ,uŋ,213,陽平,t,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,11,陽平,,,,,tʰ,uŋ,23,陽平,tʰ,uŋ,23,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,21,陽平,,,,
29,tʰ,uŋ,35,陽平,,,,,,,,,tʰ,uŋ,11,陽平,tʰ,əŋ,11,陽平,,,,,tʰ,uŋ,11,陽平,tʰ,uŋ,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,13,陽平,,,,,,,,,,,,,,,,,tʰ,uŋ,211,陽平,,,,,tʰ,əŋ,11,陽平,,,,,,,,,,,,,tʰ,əŋ,11,陽平,,,,,tʰ,əŋ,24,陽平,,,,,tʰ,əŋ,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uŋ,213,陽平,tʰ,uŋ,213,陽平,t,uŋ,11,陽平,tʰ,uŋ,11,陽平,tʰ,uŋ,24,陽平,tʰ,uŋ,11,陽平,,,,,tʰ,uŋ,23,陽平,tʰ,uŋ,23,陽平,tʰ,uŋ,21,陽平,tʰ,uŋ,24,陽平,,,,,,,,
63,ts,uŋ,44,陰平,ts,oŋ,33,陰平,tʃ,uŋ,53,陰平,t/ts,uŋ,52/44,去/陰平,ts,əŋ,33,陰平,ts,uŋ,33,陰平,ts,uŋ,33,陰平,ts,uŋ,33,陰平,tʃ,uŋ,34,陰平,tʃ,uŋ,34,陰平,tʃ,uŋ,34,陰平,ts,uŋ,34,陰平,tʃ,uŋ,34,陰平,tʃ,oŋ,44,陰平,ts,iuŋ,22,陰平,ts,ɤŋ,33,陰平,tʃ,oŋ,33,陰平,ts,əŋ,45,陰平,tʃ,uŋ,13,陰平,ts,uŋ,43,陰平,ts,uŋ,42,陰平,ts,uŋ,53,陰平,ts,ɤŋ,24,陰平,ts,ɯŋ,35,陰平,ts,ɤŋ,24,陰平,ts,uŋ,24,陰平,tʃ,əŋ,31,陰平,ts,əŋ,24,陰平,ts,əŋ,33,陰平,ts,əŋ,24,陰平,ts,əŋ,44,陰平,ts,əŋ,44,陰平,ts,əŋ,33,陰平,ts,əŋ,44,陰平,ts,əŋ,35,陰平,tʂ,aŋ,24,陰平,t,əŋ,24,陰平,tʂ,əŋ,35,陰平,tʂ,əŋ,24,陰平,ts,uŋ,24,陰平,ts,oŋ,45,陰平,ts,oŋ,34,陰平,ts,uŋ,35,陰平,ts,uŋ,44,陰平,ts,oŋ,45,陰平,ts,uŋ,35,陰平,ts,uŋ,34,陰平,ts,uŋ,55,陰平,ts,uŋ,55,陰平,tʃ,uŋ,35,陰平,tʃ,uŋ,33,陰平,ts,uŋ,33,陰平,ts,uŋ,33,陰平,ts,uŋ,44,陰平,tʃ,uŋ,55,陰平,ts,uŋ,44,陰平,ts,oŋ,44,陰平,ts,uŋ,44,陰平,ts,uŋ,44,陰平,ts,uŋ,33,陰平,ts,uŋ,33,陰平,ts,uŋ,33,陰平,,,,
