# 閩語
id,南安(溪美鎮)_聲母,南安(溪美鎮)_韻母,南安(溪美鎮)_調值,南安(溪美鎮)_調類,漳州_聲母,漳州_韻母,漳州_調值,漳州_調類,廈門_聲母,廈門_韻母,廈門_調值,廈門_調類,漳浦_聲母,漳浦_韻母,漳浦_調值,漳浦_調類,大田_聲母,大田_韻母,大田_調值,大田_調類,大田(前路話)_聲母,大田(前路話)_韻母,大田(前路話)_調值,大田(前路話)_調類,潮州(府城話)_聲母,潮州(府城話)_韻母,潮州(府城話)_調值,潮州(府城話)_調類,潮州(漢語方音字匯)_聲母,潮州(漢語方音字匯)_韻母,潮州(漢語方音字匯)_調值,潮州(漢語方音字匯)_調類,揭陽(榕城話)_聲母,揭陽(榕城話)_韻母,揭陽(榕城話)_調值,揭陽(榕城話)_調類,澄海_聲母,澄海_韻母,澄海_調值,澄海_調類,汕頭(汕頭市區)_聲母,汕頭(汕頭市區)_韻母,汕頭(汕頭市區)_調值,汕頭(汕頭市區)_調類,海豐(海城鎮)_聲母,海豐(海城鎮)_韻母,海豐(海城鎮)_調值,海豐(海城鎮)_調類,陸豐(內湖鎮)_聲母,陸豐(內湖鎮)_韻母,陸豐(內湖鎮)_調值,陸豐(內湖鎮)_調類,大埔元洲仔(香港新界福佬話)_聲母,大埔元洲仔(香港新界福佬話)_韻母,大埔元洲仔(香港新界福佬話)_調值,大埔元洲仔(香港新界福佬話)_調類,電白(霞洞鎮黎話)_聲母,電白(霞洞鎮黎話)_韻母,電白(霞洞鎮黎話)_調值,電白(霞洞鎮黎話)_調類,海康(雷城話)_聲母,海康(雷城話)_韻母,海康(雷城話)_調值,海康(雷城話)_調類,仙游(城關話)_聲母,仙游(城關話)_韻母,仙游(城關話)_調值,仙游(城關話)_調類,莆田_聲母,莆田_韻母,莆田_調值,莆田_調類,古田_聲母,古田_韻母,古田_調值,古田_調類,馬祖_聲母,馬祖_韻母,馬祖_調值,馬祖_調類,福州_聲母,福州_韻母,福州_調值,福州_調類,福清_聲母,福清_韻母,福清_調值,福清_調類,柘榮_聲母,柘榮_韻母,柘榮_調值,柘榮_調類,福安_聲母,福安_韻母,福安_調值,福安_調類,寧德_聲母,寧德_韻母,寧德_調值,寧德_調類,崇安(崇城鎮城關話)_聲母,崇安(崇城鎮城關話)_韻母,崇安(崇城鎮城關話)_調值,崇安(崇城鎮城關話)_調類,石陂_聲母,石陂_韻母,石陂_調值,石陂_調類,建陽(潭城鎮城關話)_聲母,建陽(潭城鎮城關話)_韻母,建陽(潭城鎮城關話)_調值,建陽(潭城鎮城關話)_調類,松溪_聲母,松溪_韻母,松溪_調值,松溪_調類,建甌_聲母,建甌_韻母,建甌_調值,建甌_調類,建甌(市志)_聲母,建甌(市志)_韻母,建甌(市志)_調值,建甌(市志)_調類,沙縣(城關話)_聲母,沙縣(城關話)_韻母,沙縣(城關話)_調值,沙縣(城關話)_調類,明溪(城關話)_聲母,明溪(城關話)_韻母,明溪(城關話)_調值,明溪(城關話)_調類,三明(三元話)_聲母,三明(三元話)_韻母,三明(三元話)_調值,三明(三元話)_調類,平南(上渡雅埠)(廣西漢語方言)_聲母,平南(上渡雅埠)(廣西漢語方言)_韻母,平南(上渡雅埠)(廣西漢語方言)_調值,平南(上渡雅埠)(廣西漢語方言)_調類,中山(隆都)(珠江三角洲)_聲母,中山(隆都)(珠江三角洲)_韻母,中山(隆都)(珠江三角洲)_調值,中山(隆都)(珠江三角洲)_調類,中山(隆都)(廣東閩方言)_聲母,中山(隆都)(廣東閩方言)_韻母,中山(隆都)(廣東閩方言)_調值,中山(隆都)(廣東閩方言)_調類,中山(三鄉)_聲母,中山(三鄉)_韻母,中山(三鄉)_調值,中山(三鄉)_調類,曼谷(潮州話)_聲母,曼谷(潮州話)_韻母,曼谷(潮州話)_調值,曼谷(潮州話)_調類,將樂(城關話)_聲母,將樂(城關話)_韻母,將樂(城關話)_調值,將樂(城關話)_調類,晉江(青陽鎮)_聲母,晉江(青陽鎮)_韻母,晉江(青陽鎮)_調值,晉江(青陽鎮)_調類
1,t/t,aŋ/ɔŋ,33/33,陰平/陰平,t,aŋ/ɔŋ,44,陰平,t,aŋ/ɔŋ,55,陰平,t,aŋ/ɔŋ,213,陽平,t,oŋ,33,陰平,t,oŋ,33,陰平,t,aŋ/oŋ,33,陰平,t,aŋ/oŋ,33,陰平,t,oŋ/aŋ,33,陰平,t,aŋ/oŋ,33,陰平,t,aŋ/oŋ,33,陰平,t,aŋ/oŋ,33,陰平,t,oŋ/aŋ,33,陰平,t,aŋ,33,陰平,t,aŋ,33,陰平甲,t,aŋ/oŋ,213,陰平,t,aŋ/ɒŋ,54,陰平,t,aŋ/ɒŋ,533,陰平,t,øyŋ/uŋ,55,陰平,t/t,øyŋ/uŋ,55/55,陰平/陰平,t,uŋ/øyŋ,44,陰平,t,øŋ/uŋ,53,陰平,t,œŋ/uŋ,42,陰平,t,œŋ/ouŋ,332,陰平,t,œŋ/uŋ,44,陰平,t,əŋ,51,陰平,t,əŋ,53,陰平,t,oŋ,53,陰平,t,oŋ,52,陰平,t,ɔŋ,54,平,t,ɔŋ,54,陰平,t,ɔuŋ,33,陰平,t,ɤŋ,21,陽平,t,ã,553,陰平,t,aŋ,33,陰平,t,oŋ/ɛŋ,55,陰平,t,ɛŋ,55,陰平,t,aŋ,33,陰平,t,aŋ,33,陰平,t,ɤŋ,55,陰平,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,t,oŋ/aŋ,33,陰平,,,,,t,oŋ/aŋ,33,陰平,,,,,t,oŋ/aŋ,33,陰平,t,oŋ/aŋ,33,陰平,t,oŋ/aŋ,33,陰平,t,aŋ,33,陰平,t,aŋ,33,陰平甲,t,aŋ/oŋ,213,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,aŋ,33,陰平,t,oŋ/ɛŋ,55,陰平,t,ɛŋ,55,陰平,t,aŋ,33,陰平,t,aŋ,33,陰平,,,,,,,,
11,,,,,,,,,t,aŋ/ɔŋ,11,陰去,,,,,,,,,,,,,,,,,t,oŋ,213,陰去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,ouŋ/œyŋ,213,陰去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,ɔŋ,22,陰去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,ɤŋ,24,陰去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,t/t,aŋ/ɔŋ,24/24,陽平/陽平,t,aŋ/ɔŋ,13,陽平,t,aŋ/ɔŋ,24,陽平,t,aŋ/ɔŋ,213,陽平,t,aŋ,24,陽平,t,aŋ,24,陽平,t,aŋ/oŋ,55,陽平,t/tʰ,aŋ/oŋ,55,陽平,t,aŋ/oŋ,55,陽平,t/tʰ,aŋ/oŋ,55,陽平,t,aŋ/oŋ,55,陽平,t,aŋ/oŋ,55,陽平,t,aŋ/oŋ,24,陽平,t,aŋ,44,陽平,t,aŋ,11,陽平,tʰ,aŋ/oŋ,11,陽平,t,aŋ/ɒŋ,24,陽平,t,ɒŋ,13,陽平,t,øyŋ/uŋ,33,陽平,t/t,øyŋ/uŋ,51/51,陽平/陽平,t,uŋ/øyŋ,52,陽平,t,øŋ/uŋ,55,陽平,t,œŋ/uŋ,21,陽平,t,œŋ/ouŋ,22,陽平,t,œŋ/oŋ,22,陽平,l,əŋ,33,陽平,d,əŋ,42,陽平,l,oŋ,334,陽平,t,oŋ,31,陽平乙,t,ɔŋ,21,上,t,ɔŋ,21,上聲,t,ɔuŋ,31,陽平,tʰ,ɤŋ,21,陽平,,,,,t,aŋ,12,陽平,tʰ,oŋ/ɐŋ,31/33,陽去/陽平,t/tʰ,ɛŋ/oŋ,33/31,陽平/陽去,tʰ,aŋ,55,陽平,t,aŋ,55,陽平,tʰ,ɤŋ,22,陽平,,,,
19,,,,,,,,,,,,,,,,,,,,,t,aŋ,24,陽平,t,oŋ/aŋ,55,陽平,,,,,t,oŋ/aŋ,55,陽平,,,,,t,oŋ/aŋ,55,陽平,t,oŋ/aŋ,55,陽平,t,oŋ/aŋ,24,陽平,t,aŋ,44,陽平,t,aŋ,11,陽平,tʰ,aŋ/oŋ,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,aŋ,12,陽平,tʰ,oŋ/ɐŋ,31/33,陽去/陽平,t/tʰ,ɛŋ/oŋ,33/31,陽平/陽去,tʰ,aŋ,55,陽平,t,aŋ,55,陽平,,,,,,,,
20,t/t,aŋ/ɔŋ,24/24,陽平/陽平,t,ɔŋ,13,陽平,t,aŋ/ɔŋ,24,陽平,t,ɔŋ,213,陽平,,,,,,,,,,,,,t/tʰ,aŋ/oŋ,55,陽平,,,,,tʰ,oŋ,55,陽平,,,,,,,,,,,,,tʰ,oŋ,44,陽平,,,,,,,,,t,ɒŋ,24,陽平,t,ɒŋ,13,陽平,t,uŋ,33,陽平,,,,,t,uŋ,52,陽平,t,uŋ,55,陽平,t,uŋ,21,陽平,t,ouŋ,22,陽平,t,oŋ,22,陽平,l,əŋ,33,陽平,d,əŋ,42,陽平,l,oŋ,334,陽平,t,oŋ,31,陽平乙,t/tʰ,ɔŋ,21/22,上/陰去,t,ɔŋ,21,上聲,t,ɔuŋ,31,陽平,tʰ,ɤŋ,21,陽平,,,,,t,aŋ,12,陽平,tʰ,oŋ,31,陽去,,,,,,,,,tʰ,uŋ,55,陽平,tʰ,ɤŋ,22,陽平,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,ɔuŋ,31,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,t/t,aŋ/ɔŋ,24/24,陽平/陽平,t,aŋ,13,陽平,t,aŋ/ɔŋ,24,陽平,t,aŋ/ɔŋ,213,陽平,,,,,,,,,t,aŋ,55,陽平,t,aŋ,55,陽平,t,aŋ,55,陽平,t,aŋ,55,陽平,t,aŋ,55,陽平,t,aŋ,55,陽平,t,aŋ,24,陽平,t,aŋ,44,陽平,t,aŋ,11,陽平,t,aŋ,11,陽平,t,aŋ/ɒŋ,24,陽平,t,aŋ,13,陽平,t,øyŋ,33,陽平,t,øyŋ,51,陽平,t,uŋ/øyŋ,52,陽平,t,øŋ/uŋ,55,陽平,t,œŋ,21,陽平,t,œŋ,22,陽平,t,œŋ/oŋ,22,陽平,l,əŋ,22,陰去,d,əŋ,42,陽平,l,oŋ,41,第九調,t,oŋ,31,陽平乙,t,ɔŋ,21,上,t,ɔŋ,21,上聲,t,ɔuŋ,31,陽平,tʰ,ɤŋ,21,陽平,,,,,t,aŋ,12,陽平,t/tʰ,ɛŋ/oŋ,33/31,陽平/陽去,t,ɛŋ,33,陽平,tʰ,aŋ,55,陽平,t,aŋ,55,陽平,tʰ,ɤŋ,22,陽平,,,,
23,t/tʰ,ɔŋ/aŋ,24/24,陽平/陽平,t/tʰ,ɔŋ/aŋ,13,陽平,t/tʰ,ɔŋ/aŋ,24,陽平,t/tʰ,ɔŋ/aŋ,213,陽平,tʰ,aŋ,24,陽平,tʰ,aŋ,24,陽平,tʰ,oŋ/aŋ,55,陽平,tʰ,aŋ/oŋ,55,陽平,tʰ,oŋ/aŋ,55,陽平,tʰ,aŋ/oŋ,55,陽平,tʰ,oŋ/aŋ,55,陽平,tʰ,oŋ/aŋ,55,陽平,tʰ,aŋ/oŋ,24,陽平,tʰ,aŋ,44,陽平,tʰ,oŋ,11,陽平,tʰ,aŋ/oŋ,11,陽平,t/tʰ,ŋ/ɒŋ/aŋ,24,陽平,t,aŋ/ɒŋ,13,陽平,t,øyŋ/uŋ,33,陽平,,,,,t/tʰ,uŋ/øyŋ,52,陽平,t,øŋ/uŋ,55,陽平,t,œŋ,21,陽平,t/tʰ,œŋ,22,陽平,t,œŋ/oŋ,22,陽平,,,,,tʰ,əŋ,33,陰去,l,oŋ,334,陽平,tʰ,oŋ,44,陽平甲,t/tʰ,ɔŋ,21/22,上/陰去,tʰ,ɔŋ,33,陰去,tʰ,ɔuŋ,31,陽平,tʰ,ɤŋ,21,陽平,tʰ,ã,41,陽平,tʰ,aŋ,12,陽平,t/tʰ,ɛŋ/oŋ,33/31,陽平/陽去,t,ɛŋ,33,陽平,tʰ,oŋ,11,陽去,tʰ,uŋ,55,陽平,tʰ,ɤŋ,22,陽平,,,,
