# 其他土話
id,富川(七都話)_聲母,富川(七都話)_韻母,富川(七都話)_調值,富川(七都話)_調類,富川(八都話)_聲母,富川(八都話)_韻母,富川(八都話)_調值,富川(八都話)_調類,鍾山(公安)_聲母,鍾山(公安)_韻母,鍾山(公安)_調值,鍾山(公安)_調類,賀州(九都話)_聲母,賀州(九都話)_韻母,賀州(九都話)_調值,賀州(九都話)_調類,湖南(道縣)_聲母,湖南(道縣)_韻母,湖南(道縣)_調值,湖南(道縣)_調類,江永城關(白水村)_聲母,江永城關(白水村)_韻母,江永城關(白水村)_調值,江永城關(白水村)_調類,豐陽_聲母,豐陽_韻母,豐陽_調值,豐陽_調類,星子_聲母,星子_韻母,星子_調值,星子_調類,西岸_聲母,西岸_韻母,西岸_調值,西岸_調類,保安_聲母,保安_韻母,保安_調值,保安_調類,連州_聲母,連州_韻母,連州_調值,連州_調類
1,t,uŋ,52,陰平,l,øu,52,陰平,l,oŋ,35,陰平,t,ɛŋ,24,陰平,t,ie,54,陰平,l,ai,44,陰平,t,ɔŋ,34,陰平,t,ʌŋ,33,陰平,t,ieu,31,陰平,t,ɔŋ,33,陰平,t,ɛ,22,陰平
2,t,uŋ,52,陰平,l,øu,52,陰平,l,oŋ,35,陰平,t,ɛŋ,24,陰平,t,ie,54,陰平,,,,,t,ɔŋ,34,陰平,t,ʌŋ,33,陰平,t,ieu,31,陰平,t,ɔŋ,33,陰平,t,ɛ,22,陰平
18,t,uŋ,33,陽平,t,øu,21,陽平,t,oŋ,23,陽平,t,ɛŋ,213,陽平,t,ie,31,陽平,t,aŋ/ai,41,陽平,t,ɔŋ,31,陽平,t,ʌŋ,24,陽平,t,ieu,24,陽平,t,ɔŋ,25,陽平,t,ɛ,55,陽平
19,t,uŋ,33,陽平,t,øu,21,陽平,t,oŋ,23,陽平,t,ɛŋ,213,陽平,t,ie,31,陽平,,,,,t,ɔŋ,31,陽平,t,ʌŋ,24,陽平,t,ieu,24,陽平,t,ɔŋ,25,陽平,t,ɛ,55,陽平
20,t,uŋ,33,陽平,t,øu,21,陽平,t,oŋ,23,陽平,t,ɛŋ,213,陽平,t,ie,31,陽平,t,aŋ,41,陽平,t,ɔŋ,31,陽平,t,ʌŋ,24,陽平,t,ieu,24,陽平,t,ɔŋ,25,陽平,t,ɛ,55,陽平
22,tʰ,uŋ,33,陽平,t,øu,21,陽平,t,oŋ,23,陽平,t,ɛŋ,213,陽平,t,ie,31,陽平,t,ai,41,陽平,t,ɔŋ,31,陽平,t,ʌŋ,24,陽平,t,ieu,24,陽平,t,ɔŋ,25,陽平,t,ɛ,55,陽平
23,t,uŋ,33,陽平,t,øu,21,陽平,t,oŋ,23,陽平,t,ɛŋ,213,陽平,t,ie,31,陽平,t,ai,41,陽平,t,ɔŋ,31,陽平,t,ʌŋ,24,陽平,t,ieu,24,陽平,t,ɔŋ,25,陽平,t,ɛ,55,陽平
28,t,uŋ,33,陽平,t,øu,21,陽平,t,oŋ,23,陽平,t,ɛŋ,213,陽平,t,ie,31,陽平,t,ai,41,陽平,t,ɔŋ,31,陽平,t,ʌŋ,24,陽平,t,ieu,24,陽平,t,ɔŋ,25,陽平,t,ɛ,55,陽平
29,t,uŋ,33,陽平,t,øu,21,陽平,t,oŋ,23,陽平,t,ɛŋ,213,陽平,t,ie,31,陽平,,,,,,,,,,,,,,,,,,,,,,,,
63,t,aŋ,52,陰平,l,aŋ,52,陰平,tʃ,oŋ,35,陰平,ts,əŋ,24,陰平,ts,iaŋ,54,陰平,l/tɕ,ai/iaŋ,44,陰平,t/tʃ,ɔŋ/ɔŋ,34/34,陰平/陰平,tʃ,ʌŋ,33,陰平,t/tʃ,ieu/ieu,31/31,陰平/陰平,tʃ,ɔŋ,33,陰平,t/ts,ɛ/e,22/22,陰平/陰平
