# 平話
id,寧遠(清水橋)_聲母,寧遠(清水橋)_韻母,寧遠(清水橋)_調值,寧遠(清水橋)_調類,龍勝(紅瑤)_聲母,龍勝(紅瑤)_韻母,龍勝(紅瑤)_調值,龍勝(紅瑤)_調類,靈川(三街)_聲母,靈川(三街)_韻母,靈川(三街)_調值,靈川(三街)_調類,靈川(潭下)_聲母,靈川(潭下)_韻母,靈川(潭下)_調值,靈川(潭下)_調類,桂林(朝陽)_聲母,桂林(朝陽)_韻母,桂林(朝陽)_調值,桂林(朝陽)_調類,桂林(雁山竹園)_聲母,桂林(雁山竹園)_韻母,桂林(雁山竹園)_調值,桂林(雁山竹園)_調類,臨桂(兩江)_聲母,臨桂(兩江)_韻母,臨桂(兩江)_調值,臨桂(兩江)_調類,永福(桃城)_聲母,永福(桃城)_韻母,永福(桃城)_調值,永福(桃城)_調類,陽朔(驥馬)_聲母,陽朔(驥馬)_韻母,陽朔(驥馬)_調值,陽朔(驥馬)_調類,臨桂(五通)_聲母,臨桂(五通)_韻母,臨桂(五通)_調值,臨桂(五通)_調類,融水(融水鎮)_聲母,融水(融水鎮)_韻母,融水(融水鎮)_調值,融水(融水鎮)_調類,平樂(青龍)_聲母,平樂(青龍)_韻母,平樂(青龍)_調值,平樂(青龍)_調類,富寧(剝隘)_聲母,富寧(剝隘)_韻母,富寧(剝隘)_調值,富寧(剝隘)_調類,百色(那畢)(平話音韻研究)_聲母,百色(那畢)(平話音韻研究)_韻母,百色(那畢)(平話音韻研究)_調值,百色(那畢)(平話音韻研究)_調類,馬山(喬利)_聲母,馬山(喬利)_韻母,馬山(喬利)_調值,馬山(喬利)_調類,田東(林逢)_聲母,田東(林逢)_韻母,田東(林逢)_調值,田東(林逢)_調類,賓陽(蘆墟)_聲母,賓陽(蘆墟)_韻母,賓陽(蘆墟)_調值,賓陽(蘆墟)_調類,南寧(亭子)_聲母,南寧(亭子)_韻母,南寧(亭子)_調值,南寧(亭子)_調類,橫縣(橫州)_聲母,橫縣(橫州)_韻母,橫縣(橫州)_調值,橫縣(橫州)_調類,扶綏(龍頭)_聲母,扶綏(龍頭)_韻母,扶綏(龍頭)_調值,扶綏(龍頭)_調類,龍州(上龍)_聲母,龍州(上龍)_韻母,龍州(上龍)_調值,龍州(上龍)_調類,藤縣(藤城)_聲母,藤縣(藤城)_韻母,藤縣(藤城)_調值,藤縣(藤城)_調類,鬱林(福綿)_聲母,鬱林(福綿)_韻母,鬱林(福綿)_調值,鬱林(福綿)_調類
1,t/t,E/oŋ,33/35,上聲/平聲,t,ɔŋ,33,陰平,t,ɐŋ,35,陰去,t,uŋ,24,陰平,t,ɔu,43,陰平,t,ɔŋ,55,陰平,t,əŋ,35,陰平,t,uŋ,35,陰平,t,ã,33,陰平,t,oŋ,35,陰平,t,ɔŋ,53,陰平,t,ɔ̃,53,陰平,t,ɔŋ,44,陰平,t,ɔŋ,54,陰平,t,oŋ,55,陰平,t,oŋ,54,陰平,t,oŋ,34,陰平,t,øŋ,41,陰平,t,oŋ,55,陰平,t,ɔŋ,53,陰平,t,oŋ,55,陰平,t,uŋ,53,陰平,t,oŋ,54,陰平
2,t/t,E/oŋ,33/35,上聲/平聲,t,ɔŋ,33,陰平,t,ɐŋ,35,陰去,t,uŋ,24,陰平,t,ɔu,43,陰平,t,ɔŋ,55,陰平,t,əŋ,35,陰平,t,uŋ,35,陰平,t,ã,33,陰平,t,oŋ,35,陰平,t,ɔŋ,53,陰平,t,ɔ̃,53,陰平,t,ɔŋ,44,陰平,t,ɔŋ,54,陰平,t,oŋ,55,陰平,t,oŋ,54,陰平,t,oŋ,34,陰平,t,øŋ,41,陰平,t,oŋ,55,陰平,t,ɔŋ,53,陰平,t,oŋ,55,陰平,t,uŋ,53,陰平,t,oŋ,54,陰平
18,tʰ,E,35,平聲,t,oŋ,24,陽平,t,ɐŋ,533,陽平,t,uŋ,33,陽平,t,ɔu,22,陽平,t,ɔŋ,44,陽平,tʰ,əŋ,12,陽平,tʰ,uŋ,23,陽平,t,uŋ,22,陽平,t,oŋ,21,陽平,t,ɔŋ,21,陽平,t,ɔ̃,31,陽平,t,ɔŋ,31,陽平,t,ɔŋ,42,陽平,t,ɔŋ,41,陽平,t,ɔŋ,41,陽平,t,oŋ,213,陽平,t,øŋ,21,陽平,tʰ,oŋ,25,陽平,t,ɔŋ,21,陽平,t,oŋ,31,陽平,tʰ,uŋ,212,陽平,t,oŋ,31,陽平
19,tʰ,E,35,平聲,t,oŋ,24,陽平,t,ɐŋ,533,陽平,t,uŋ,33,陽平,t,ɔu,22,陽平,t,ɔŋ,44,陽平,tʰ,əŋ,12,陽平,tʰ,uŋ,23,陽平,t,uŋ,22,陽平,t,oŋ,21,陽平,t,ɔŋ,21,陽平,t,ɔ̃,31,陽平,t,ɔŋ,31,陽平,t,ɔŋ,42,陽平,t,ɔŋ,41,陽平,t,ɔŋ,41,陽平,t,oŋ,213,陽平,t,øŋ,21,陽平,tʰ,oŋ,25,陽平,t,ɔŋ,21,陽平,t,oŋ,31,陽平,tʰ,uŋ,212,陽平,t,oŋ,31,陽平
20,tʰ,oŋ,21,陽去,t,oŋ,24,陽平,t,ɐŋ,533,陽平,tʰ,uŋ,21,陽上,t,ɔu,22,陽平,t,ɔŋ,44,陽平,tʰ,əŋ,31,陽去,tʰ,uŋ,23,陽平,t,uŋ,22,陽平,t,oŋ,21,陽平,t,ɔŋ,21,陽平,t,ɔ̃,31,陽平,t,ɔŋ,31,陽平,t,ɔŋ,42,陽平,t,ɔŋ,41,陽平,t,ɔŋ,41,陽平,t,oŋ,213,陽平,t,øŋ,21,陽平,tʰ,oŋ,25,陽平,t,ɔŋ,21,陽平,t,oŋ,31,陽平,tʰ,uŋ,212,陽平,t,oŋ,31,陽平
22,tʰ,E,35,平聲,t,oŋ,24,陽平,t,ɐŋ,533,陽平,t,uŋ,33,陽平,t,ɔu,22,陽平,t,ɔŋ,44,陽平,tʰ,əŋ,12,陽平,tʰ,uŋ,23,陽平,t,uŋ,22,陽平,t,oŋ,21,陽平,t,ɔŋ,21,陽平,t,ɔ̃,31,陽平,t,ɔŋ,31,陽平,t,ɔŋ,42,陽平,t,ɔŋ,41,陽平,t,ɔŋ,41,陽平,t,oŋ,213,陽平,t,øŋ,21,陽平,tʰ,oŋ,25,陽平,t,ɔŋ,21,陽平,t,oŋ,31,陽平,tʰ,uŋ,212,陽平,t,oŋ,31,陽平
23,tʰ,E,35,平聲,t,oŋ,24,陽平,t,ɐŋ,533,陽平,t,uŋ,33,陽平,t,ɔu,22,陽平,t,ɔŋ,44,陽平,tʰ,əŋ,12,陽平,tʰ,uŋ,23,陽平,t,uŋ,22,陽平,t,oŋ,21,陽平,t,ɔŋ,21,陽平,t,ɔ̃,31,陽平,t,ɔŋ,31,陽平,t,ɔŋ,42,陽平,t,ɔŋ,41,陽平,t,ɔŋ,41,陽平,t,oŋ,213,陽平,t,øŋ,21,陽平,tʰ,oŋ,25,陽平,t,ɔŋ,21,陽平,t,oŋ,31,陽平,tʰ,uŋ,212,陽平,t,oŋ,31,陽平
28,tʰ,E,35,平聲,t,oŋ,24,陽平,t,ɐŋ,533,陽平,t,uŋ,33,陽平,t,ɔu,22,陽平,t,ɔŋ,44,陽平,tʰ,əŋ,12,陽平,tʰ,uŋ,23,陽平,t,uŋ,22,陽平,t,oŋ,33,陰去,t,ɔŋ,21,陽平,t,ɔ̃,31,陽平,t,ɔŋ,31,陽平,t,ɔŋ,42,陽平,t,ɔŋ,41,陽平,t,ɔŋ,41,陽平,t,oŋ,213,陽平,t,øŋ,21,陽平,tʰ,oŋ,25,陽平,t,ɔŋ,21,陽平,t,oŋ,31,陽平,tʰ,uŋ,212,陽平,t,oŋ,31,陽平
29,tʰ,oŋ,21,陽去,t,oŋ,24,陽平,t,ɐŋ,533,陽平,tʰ,uŋ,21,陽上,tʰ,uŋ,22,陽平,t,ɔŋ,44,陽平,tʰ,ən,31,陽去,tʰ,uŋ,23,陽平,t,uŋ,22,陽平,t,oŋ,31,陽平,t,ɔŋ,21,陽平,t,ɔ̃,31,陽平,t,ɔŋ,31,陽平,t,ɔŋ,42,陽平,t,ɔŋ,41,陽平,t,ɔŋ,41,陽平,t,oŋ,213,陽平,t,øŋ,21,陽平,tʰ,oŋ,25,陽平,t,ɔŋ,21,陽平,t,oŋ,31,陽平,t,uŋ,22,陽去,t,oŋ,31,陽平
63,,,,,ts,uɐn,33,陰平,ts,oŋ,13,陰平,ts,uŋ,24,陰平,ts,uŋ,43,陰平,ts,ɔŋ,55,陰平,tɕ,oŋ,35,陰平,ts,uŋ,35,陰平,ts,ã,33,陰平,tɕ,oŋ,35,陰平,tɕ,ɔŋ,53,陰平,ts,ɔ̃,53,陰平,ts,oŋ,44,陰平,ts,ɔŋ,54,陰平,ts,ɔŋ,55,陰平,ts,ɔŋ,54,陰平,ts,oŋ,34,陰平,tɕ,øŋ,41,陰平,ts,oŋ,55,陰平,ts,ɔŋ,53,陰平,ts,oŋ,55,陰平,tɕ,uŋ,53,陰平,tɕ,oŋ,54,陰平
65,ts,oŋ,33,上聲,ts,uɐn,33,陰平,tɕ,ioŋ,13,陰平,ts,uŋ,24,陰平,ts,uŋ,43,陰平,ts,ɔŋ,55,陰平,tɕ,oŋ,35,陰平,ts,uŋ,35,陰平,ts,ã,33,陰平,tɕ,oŋ,35,陰平,tɕ,ɔŋ,53,陰平,ts,ɔ̃,53,陰平,ts,oŋ,44,陰平,ts,ɔŋ,54,陰平,ts,ɔŋ,55,陰平,ts,ɔŋ,54,陰平,ts,oŋ,34,陰平,tɕ,øŋ,41,陰平,ts,oŋ,55,陰平,ts,ɔŋ,53,陰平,ts,oŋ,55,陰平,tɕ,uŋ,53,陰平,tɕ,oŋ,54,陰平
67,,,,,tsʰ,oŋ,24,陽平,t,in,533,陽平,t,iŋ,33,陽平,t,iŋ,22,陽平,t,iuŋ,44,陽平,tʰ,ioŋ,12,陽平,tʰ,iuŋ,23,陽平,ts,uŋ,22,陽平,t,iEŋ,21,陽平,tɕ,ɔŋ,21,陽平,s,ɔ̃,31,陽平,ts,oŋ,31,陽平,ts,ɔŋ,42,陽平,ts,ɔŋ,41,陽平,ts,ɔŋ,41,陽平,ts,oŋ,213,陽平,tɕ,øŋ,21,陽平,tsʰ,oŋ,25,陽平,ts,ɔŋ,21,陽平,ts,oŋ,31,陽平,ɬ,uŋ,212,陽平,tɕ,oŋ,31,陽平
75,ts,oŋ,33,上聲,t,oŋ,33,陰平,ts,oŋ,13,陰平,ts,uŋ,24,陰平,ts,uŋ,43,陰平,ts,ɔŋ,55,陰平,ts,oŋ,33,上聲,ts,uŋ,35,陰平,ts,ã,33,陰平,tɕ,oŋ,35,陰平,tɕ,ɔŋ,53,陰平,ts,ɔ̃,53,陰平,ts,oŋ,44,陰平,ts,ɔŋ,54,陰平,ts,ɔŋ,55,陰平,ts,ɔŋ,54,陰平,ts,oŋ,34,陰平,tɕ,øŋ,41,陰平,ts,oŋ,55,陰平,ts,ɔŋ,53,陰平,ts,oŋ,55,陰平,tɕ,uŋ,53,陰平,tɕ,oŋ,54,陰平
93,tsʰ,oŋ,21,陽去,ts,oŋ,24,陽平,ts,oŋ,533,陽平,tsʰ,uŋ,21,陽上,ts,uŋ,22,陽平,ts,uŋ,44,陽平,tsʰ,oŋ,31,陽去,tsʰ,uŋ,23,陽平,ts,uŋ,22,陽平,s,oŋ,21,陽平,ɕ,ɔŋ,21,陽平,s,ɔ̃,31,陽平,ts,oŋ,31,陽平,ɬ,ɔŋ,42,陽平,ts,ɔŋ,41,陽平,ts,ɔŋ,41,陽平,ts,oŋ,213,陽平,tɕ,øŋ,21,陽平,tsʰ,oŋ,25,陽平,ɬ,ɔŋ,21,陽平,ts,oŋ,31,陽平,ɕ,uŋ,212,陽平,ɕ,oŋ,31,陽平
94,tsʰ,oŋ,21,陽去,ts,oŋ,24,陽平,ts,oŋ,533,陽平,tsʰ,uŋ,21,陽上,ts,uŋ,22,陽平,ts,uŋ,44,陽平,tsʰ,oŋ,31,陽去,tsʰ,uŋ,23,陽平,ts,uŋ,22,陽平,s,oŋ,21,陽平,ɕ,ɔŋ,21,陽平,s,ɔ̃,31,陽平,ts,oŋ,31,陽平,ɬ,ɔŋ,42,陽平,ts,ɔŋ,41,陽平,ts,ɔŋ,41,陽平,ts,oŋ,213,陽平,tɕ,øŋ,21,陽平,tsʰ,oŋ,25,陽平,ɬ,ɔŋ,21,陽平,ts,oŋ,31,陽平,ɕ,uŋ,212,陽平,ɕ,oŋ,31,陽平
97,s,oŋ,33,上聲,s,oŋ,33,陰平,s,oŋ,54,入聲,s,uŋ,33,陽平,s,ɔu,43,陰平,s,uŋ,55,陰平,s,əŋ,35,陰平,s,uŋ,35,陰平,s,ã,33,陰平,s,oŋ,35,陰平,s,ɔŋ,53,陰平,,,,,ɬ,oŋ,44,陰平,ɬ,ɔŋ,54,陰平,ɬ,ɔŋ,55,陰平,ɬ,ɔŋ,54,陰平,ɬ,oŋ,34,陰平,ɬ,øŋ,41,陰平,ɬ,oŋ,55,陰平,ɬ,ɔŋ,53,陰平,ɬ,oŋ,55,陰平,ɬ,uŋ,,,ɬ,oŋ,54,陰平
98,s,oŋ,33,上聲,s,oŋ,33,陰平,s,oŋ,54,入聲,s,uŋ,33,陽平,s,ɔu,43,陰平,s,uŋ,55,陰平,s,əŋ,35,陰平,s,uŋ,35,陰平,s,ã,33,陰平,s,oŋ,35,陰平,s,ɔŋ,53,陰平,,,,,ɬ,oŋ,44,陰平,ɬ,ɔŋ,54,陰平,ɬ,ɔŋ,55,陰平,ɬ,ɔŋ,54,陰平,ɬ,oŋ,34,陰平,ɬ,øŋ,41,陰平,ɬ,oŋ,55,陰平,ɬ,ɔŋ,53,陰平,ɬ,oŋ,55,陰平,ɬ,uŋ,,,ɬ,oŋ,54,陰平
