# 湘語
id,長沙_聲母,長沙_韻母,長沙_調值,長沙_調類,雙峰_聲母,雙峰_韻母,雙峰_調值,雙峰_調類,全州(縣城)_聲母,全州(縣城)_韻母,全州(縣城)_調值,全州(縣城)_調類,灌陽(文市)_聲母,灌陽(文市)_韻母,灌陽(文市)_調值,灌陽(文市)_調類
1,t,ən,33,陰平,t,an,55,陰平,t,oŋ,33,陰平,t,uŋ,22,陰平
2,,,,,,,,,t,oŋ,33,陰平,t,uŋ,22,陰平
18,t,ən,13,陽平,d,an,13,陽平,d,oŋ,23,陽平,d,uŋ,33,陽平
19,,,,,,,,,d,oŋ,23,陽平,d,uŋ,33,陽平
20,t,ən,13,陽平,d,an,13,陽平,d,oŋ,23,陽平,d,uŋ,33,陽平
22,t,ən,13,陽平,d,an,13,陽平,d,oŋ,23,陽平,d,uŋ,33,陽平
23,t,ən,13,陽平,d,an,13,陽平,d,oŋ,23,陽平,d,uŋ,33,陽平
28,t,ən,13,陽平,d,an,13,陽平,d,oŋ,23,陽平,d,uŋ,33,陽平
29,t,ən,13,陽平,d,an,13,陽平,d,oŋ,23,陽平,d,uŋ,33,陽平
63,ts,ən,33,陰平,t,an,55,陰平,ts,oŋ,33,陰平,ts,uŋ,22,陰平
64,ts,ən,33,陰平,t,an,55,陰平,,,,,,,,
65,ts,ən,33,陰平,t,an,55,陰平,ts,oŋ,33,陰平,ts,uŋ,22,陰平
67,ts,ən,13,陽平,d,an,13,陽平,dz,oŋ,23,陽平,dz,uŋ,33,陽平
75,ts,ən,33,陰平,t,an,55,陰平,ts,oŋ,33,陰平,ts,uŋ,22,陰平
92,ts,ən,33,陰平,t,an,55,陰平,,,,,,,,
93,ts,ən,13,陽平,dz,an,13,陽平,dz,oŋ,23,陽平,s,uŋ,33,陽平
94,,,,,,,,,dz,oŋ,23,陽平,s,uŋ,33,陽平
97,,,,,,,,,s,oŋ,33,陰平,s,uŋ,22,陰平
98,,,,,,,,,s,oŋ,33,陰平,s,uŋ,22,陰平
106,0,in,13,陽平,0,iɛn,13,陽平,0,ioŋ,23,陽平,0,iuŋ,33,陽平
107,,,,,,,,,0,ioŋ,23,陽平,0,iuŋ,33,陽平
113,,,,,,,,,0,ioŋ,23,陽平,0,iuŋ,33,陽平
114,0,in,13,陽平,0,iɛn,13,陽平,0,ioŋ,23,陽平,0,iuŋ,33,陽平
115,k,ən,33,陰平,k,an,55,陰平,k,oŋ,33,陰平,k,uŋ,22,陰平
116,,,,,,,,,k,oŋ,33,陰平,k,uŋ,22,陰平
117,k,ən,33,陰平,k,an,55,陰平,k,oŋ,33,陰平,k,uŋ,22,陰平
119,k,ən,33,陰平,k,an,55,陰平,k,oŋ,33,陰平,k,uŋ,22,陰平
