方言,區,片／小區,小片,方言點,資料筆數,緯度,經度,編號
官話,東北官話,哈阜片,長錦小片,長春,0,43.817084,125.323542,
官話,北京官話,京師片,,北京,3330,39.904214,116.407413,027
官話,北方官話,保唐片,天津小片,天津,0,39.084158,117.200983,
官話,北方官話,石濟片,邢衡小片,巨鹿,0,37.221112,115.037478,
官話,北方官話,石濟片,聊泰小片,濟南,3139,36.665282,116.994917,028
官話,北方官話,滄惠片,陽壽小片,惠民,0,37.489769,117.510451,
官話,北方官話,滄惠片,莒照小片,日照,0,35.416377,119.526888,
官話,北方官話,廣靈片,,廣靈,272,39.760446,114.282730,029
官話,膠遼官話,登連片,,榮成,0,37.165243,122.486668,
官話,膠遼官話,蓋桓片,,蓋縣,0,40.400509,122.348812,
官話,中原官話,鄭曹片,,鄭州,0,34.746985,113.624899,
官話,中原官話,鄭曹片,,宿州市,751,33.639394,116.985301,030
官話,中原官話,鄭曹片,,渦陽,786,33.505866,116.219806,031
官話,中原官話,鄭曹片,,臨泉,782,33.064578,115.257942,032
官話,中原官話,蔡魯片,,汝南,0,33.007068,114.362412,
官話,中原官話,蔡魯片,,穎上,780,32.642989,116.24960,033
官話,中原官話,洛徐片,,洛陽,0,34.618154,112.454363,
官話,中原官話,洛徐片,,蕭縣,750,34.188728,116.947290,034
官話,中原官話,信蚌片,,蚌埠市,755,32.916287,117.389719,035
官話,中原官話,信蚌片,,鳳陽,751,32.866117,117.561150,036
官話,中原官話,信蚌片,,壽縣,782,32.573450,116.787160,037
官話,中原官話,汾河片,平陽小片,霍州(霍縣),305,36.568931,111.755398,038
官話,中原官話,汾河片,平陽小片,臨汾,307,36.088067,111.518880,039
官話,中原官話,汾河片,平陽小片,聞喜,303,35.356591,111.224658,040
官話,中原官話,汾河片,絳州小片,新絳,305,35.616246,111.224667,042
官話,中原官話,汾河片,解州小片,吉縣,301,36.098188,110.681763,041
官話,中原官話,汾河片,解州小片,運城,325,35.026372,111.007324,043
官話,中原官話,汾河片,解州小片,永濟,306,34.867050,110.447549,044
官話,中原官話,汾河片,解州小片,萬榮,319,23.72457,121.308409,045
官話,中原官話,關中片,,西安,3123,34.264987,108.944269,046
官話,中原官話,秦隴片,,西寧,0,36.617085,101.778208,
官話,中原官話,隴中片,,臨夏,0,35.601182,103.210539,
官話,蘭銀官話,金城片,,蘭州,0,36.06125,103.834377,
官話,蘭銀官話,銀吳片,,銀川,0,38.487194,106.230909,
官話,蘭銀官話,北疆片,,烏魯木齊,0,43.825666,87.617298,
官話,西南官話,成渝片,,成都,0,30.658601,104.064856,
官話,西南官話,成渝片,,重慶,0,29.563010,106.551557,
官話,西南官話,滇西片,姚理小片,大理,0,25.606486,100.267638,
官話,西南官話,昆貴片,,昆明,0,25.037721,102.722202,
官話,西南官話,鄂北片,,鍾祥,0,31.167820,112.588121,
官話,西南官話,武天片,,武昌,3171,30.553899,114.315897,047
官話,西南官話,岑江片,,榕江,0,25.931893,108.521881,
官話,西南官話,湘南片,,零陵,0,26.221882,111.631136,
官話,西南官話,桂柳片,,桂林,0,25.273566,110.290195,
官話,西南官話,桂柳片,,桂林(臨桂),4201,25.238657,110.212557,048
官話,西南官話,桂柳片,,柳州(雒容),4202,24.407662,109.618221,049
官話,江淮官話,洪巢片,,懷遠,777,32.970053,117.205097,050
官話,江淮官話,洪巢片,,天長,332,32.689438,119.003686,051
官話,江淮官話,洪巢片,,淮南,779,32.625478,116.999933,052
官話,江淮官話,洪巢片,,定遠,332,32.525546,117.682952,053
官話,江淮官話,洪巢片,,揚州,0,32.39421,119.412966,
官話,江淮官話,洪巢片,,滁縣(滁州),780,32.301556,118.317107,054
官話,江淮官話,洪巢片,,滁州,330,32.301556,118.317107,055
官話,江淮官話,洪巢片,,全椒,332,32.085271,118.273321,056
官話,江淮官話,洪巢片,,合肥,2997,31.821448,117.227271,057
官話,江淮官話,洪巢片,,六安,332,31.745011,116.505693,058
官話,江淮官話,洪巢片,,含山,332,31.717740,118.108693,059
官話,江淮官話,洪巢片,,巢縣(巢湖),808,31.597061,117.85464,060
官話,江淮官話,洪巢片,,當塗,332,31.571171,118.497727,061
官話,江淮官話,洪巢片,,舒城,332,31.462189,116.948671,062
官話,江淮官話,洪巢片,,蕪湖,811,31.338790,118.385156,063
官話,江淮官話,洪巢片,,無為,332,31.303155,117.902689,064
官話,江淮官話,洪巢片,,桐城,332,31.052070,116.950782,065
官話,江淮官話,洪巢片,,桐城(安徽省志),784,31.052070,116.950782,066
官話,江淮官話,洪巢片,,宣城,807,30.940718,118.758816,067
官話,江淮官話,洪巢片,,樅陽,332,30.700185,117.219963,068
官話,江淮官話,洪巢片,,貴池,805,30.652838,117.487225,069
官話,江淮官話,洪巢片,,青陽,331,30.639170,117.847354,070
官話,江淮官話,洪巢片,,安慶,803,30.524895,117.056857,071
官話,江淮官話,泰如片,,如皋,0,32.369660,120.575669,
官話,江淮官話,黃孝片,,孝感,0,30.924568,113.916903,
晉語,,并州片,,婁煩,221,38.067250,111.797435,072
晉語,,并州片,,太原,3175,37.870662,112.550619,073
晉語,,并州片,,清徐,257,37.607594,112.358501,074
晉語,,并州片,,文水,256,37.437282,112.027285,075
晉語,,并州片,,太谷,245,37.421308,112.551357,076
晉語,,并州片,,祁縣,245,37.358442,112.335424,077
晉語,,并州片,,平遙,268,37.189856,112.176266,078
晉語,,并州片,,孝義,290,37.146405,111.778994,079
晉語,,呂梁片,汾州小片,臨縣,246,37.950758,110.992094,080
晉語,,呂梁片,汾州小片,離石,251,37.517704,111.150591,081
晉語,,呂梁片,汾州小片,汾陽,254,37.265454,111.787759,082
晉語,,呂梁片,興隰小片,嵐縣,237,38.279455,111.671841,083
晉語,,呂梁片,興隰小片,石樓,244,36.998494,110.834505,084
晉語,,呂梁片,興隰小片,隰縣,228,36.693355,110.940658,085
晉語,,呂梁片,興隰小片,汾西,314,36.652855,111.563951,086
晉語,,上黨片,,沁縣,216,36.756146,112.699155,087
晉語,,上黨片,,平順,218,36.200001,113.436112,088
晉語,,上黨片,,長治,215,36.195386,113.116255,089
晉語,,上黨片,,長子,219,36.122334,112.877900,090
晉語,,上黨片,,高平,220,35.797990,112.923941,091
晉語,,上黨片,,陵川,224,35.775685,113.280688,092
晉語,,五台片,,朔州,226,39.331149,112.432714,093
晉語,,五台片,,代縣,223,39.066900,112.960258,094
晉語,,五台片,,五寨,215,38.911100,111.846825,095
晉語,,五台片,,五台,219,38.728315,113.255306,096
晉語,,五台片,,忻州,232,38.416364,112.734269,097
晉語,,大包片,,天鎮,214,40.420386,114.090861,098
晉語,,大包片,,大同,224,40.076816,113.300126,099
晉語,,大包片,,山陰,228,39.526227,112.816600,100
晉語,,大包片,,平定,219,37.804296,113.629539,101
晉語,,大包片,,和順,218,37.328984,113.570012,102
晉語,,邯新片,獲濟小片,晉城,217,35.490870,112.851768,103
晉語,,邯新片,獲濟小片,陽城,229,35.486029,112.414738,104
吳語,,太湖片,毗陵小片,丹陽後巷童家橋,2136,32.089303,119.788092,105
吳語,,太湖片,毗陵小片,靖江,2102,32.014818,120.274490,106
吳語,,太湖片,毗陵小片,丹陽,2158,31.991159,119.575340,107
吳語,,太湖片,毗陵小片,江陰,2242,31.920673,120.284946,108
吳語,,太湖片,毗陵小片,海門,0,31.893726,121.170601,
吳語,,太湖片,毗陵小片,常州,2185,31.810077,119.974454,109
吳語,,太湖片,毗陵小片,金壇西崗,2149,31.698545,119.480333,110
吳語,,太湖片,毗陵小片,溧陽,2100,31.416911,119.484211,111
吳語,,太湖片,毗陵小片,宜興,2069,31.338638,119.822282,112
吳語,,太湖片,蘇滬嘉小片,常熟,2083,31.653584,120.752507,113
吳語,,太湖片,蘇滬嘉小片,無錫,2244,31.566145,120.303027,114
吳語,,太湖片,蘇滬嘉小片,寶山霜草墩,2126,31.488899,121.311327,115
吳語,,太湖片,蘇滬嘉小片,寶山羅店,566,31.413130,121.342353,116
吳語,,太湖片,蘇滬嘉小片,崑山,2154,31.384913,120.981150,117
吳語,,太湖片,蘇滬嘉小片,嘉定,0,31.375620,121.265256,
吳語,,太湖片,蘇滬嘉小片,蘇州,3226,31.298886,120.585316,118
吳語,,太湖片,蘇滬嘉小片,蘇州(當代吳語),2300,31.298886,120.585316,119
吳語,,太湖片,蘇滬嘉小片,上海,622,31.230393,121.473704,120
吳語,,太湖片,蘇滬嘉小片,南匯周浦,595,31.115894,121.574210,121
吳語,,太湖片,蘇滬嘉小片,松江,602,31.032243,121.227747,122
吳語,,太湖片,蘇滬嘉小片,吳江黎里,558,30.989207,120.710078,123
吳語,,太湖片,蘇滬嘉小片,吳江盛澤,557,30.901594,120.661136,124
吳語,,太湖片,蘇滬嘉小片,嘉興,578,30.753924,120.758543,125
吳語,,太湖片,蘇滬嘉小片,上海(三林塘),6363,31.143023,121.510793,126
吳語,,太湖片,苕溪小片,湖州雙林,324,30.781701,120.324766,127
吳語,,太湖片,杭州小片,杭州,294,30.274089,120.155069,128
