字號,字,頻次
1,東,320
2,菄,246
11,凍,12
14,崠,2
18,同,244
19,仝,170
20,童,191
21,僮,4
22,銅,282
23,桐,220
28,筒,209
29,瞳,165
39,橦,1
40,烔,1
63,中,321
64,衷,33
65,忠,245
67,蟲,348
68,沖,20
70,盅,22
75,終,214
76,眾,10
79,螽,1
80,𧑄,1
86,鴤,1
90,忡,4
92,盅,26
93,崇,212
94,崈,154
97,嵩,168
98,崧,131
101,菘,1
106,戎,189
107,𢦦,127
113,狨,270
114,絨,328
115,弓,333
116,躳,141
117,躬,185
119,宮,241
121,融,189
122,融,147
125,雄,254
126,熊,290
128,夢,1
133,穹,20
136,芎,11
137,𦵡,1
140,窮,356
141,藭,1
143,馮,289
150,風,357
151,飌,242
152,楓,189
157,豐,233
158,酆,3
160,灃,2
165,充,249
167,茺,1
172,隆,205
173,癃,1
175,窿,7
178,空,320
179,箜,1
186,倥,1
192,公,356
193,功,195
194,工,258
196,蚣,149
200,攻,196
205,蒙,349
206,冡,1
207,濛,6
209,艨,1
210,朦,9
211,矇,4
214,檬,3
219,幪,1
223,蠓,2
228,朦,11
230,懜,2
232,籠,292
235,朧,9
239,瀧,2
240,聾,264
242,礱,25
245,嚨,24
246,蘢,1
247,櫳,1
252,瓏,3
253,曨,2
259,洪,203
261,訌,1
262,紅,388
263,虹,189
265,鴻,191
282,叢,198
283,藂,147
287,翁,342
290,蓊,2
295,怱,148
296,忩,141
297,葱,332
300,聦,196
303,騘,1
305,囪,151
308,㷓,1
310,通,348
326,椶,228
327,騣,160
341,蓬,197
343,篷,331
345,蜂,1
351,烘,208
353,魟,5
361,冬,382
362,𡘬,271
368,彤,8
369,疼,121
391,琮,2
394,淙,7
396,鬃,30
401,農,342
402,䢉,233
403,辳,235
404,𨑋,235
406,噥,1
410,儂,134
411,𧗕,199
412,膿,252
413,攻,9
422,宗,291
424,鬆,313
425,䯳,266
427,鍾,188
428,鐘,311
430,忪,1
445,龍,388
451,籠,2
454,舂,273
456,摏,7
460,松,372
461,㮤,287
464,𧘂,216
465,衝,266
467,憧,1
475,容,287
476,溶,37
478,庸,150
479,𦤘,124
484,鎔,130
485,鏞,6
486,銿,1
488,傭,9
492,鱅,1
493,蓉,148
510,封,327
511,𡉚,228
512,犎,1
513,葑,2
515,胷,271
516,凶,271
517,𣧑,226
519,洶,11
522,兇,147
524,匈,26
529,邕,7
530,雍,183
536,癰,112
540,壅,1
547,濃,338
553,重,307
560,從,261
561,从,187
570,逢,189
571,縫,295
574,𥎌,1
577,捀,10
578,峯,199
579,鋒,184
580,丰,13
584,蠭,245
585,蜂,312
586,𧒒,245
589,㷭,2
590,烽,9
595,縱,147
597,蹤,185
604,茸,179
615,邛,5
618,笻,1
633,恭,241
634,龔,14
635,供,271
645,淞,1
647,鬆,16
652,從,142
664,江,325
665,扛,177
666,杠,78
669,矼,35
670,豇,105
671,肛,18
697,囪,45
698,䆫,343
699,牎,243
700,窓,278
706,邦,300
707,𤰫,200
708,梆,3
712,降,211
713,缸,177
714,瓨,143
718,胮,52
719,𤵸,52
725,雙,418
732,龐,213
742,腔,215
743,𤟄,143
744,羫,143
754,幢,2
755,撞,10
758,噇,8
765,樁,208
772,支,355
777,卮,1
778,栀,116
779,枝,218
780,祇,2
783,肢,175
784,胑,131
785,𨈛,131
788,氏,1
798,眵,59
801,移,269
802,䄬,207
824,拸,1
827,蛇,1
833,爲,149
834,為,224
841,𪎮,95
842,麾,108
847,逶,1
849,萎,137
853,痿,2
855,委,2
858,糜,145
859,縻,2
864,𪎭,51
877,錘,262
879,𡍮,159
880,垂,226
881,陲,1
889,羸,1
891,吹,392
892,炊,222
896,鮍,1
897,披,284
906,陂,3
908,碑,353
915,襬,1
917,隨,349
918,隋,39
920,虧,315
921,闚,128
922,窺,148
923,奇,219
924,琦,1
925,騎,318
936,岐,135
937,歧,8
948,芪,7
955,伎,1
959,犧,243
960,羲,2
962,桸,2
967,曦,2
977,㩻,17
981,崎,3
988,宜,233
989,宐,155
990,𡪀,155
991,𡨆,155
992,儀,200
993,𥫃,153
999,皮,354
1000,疲,196
1008,匙,239
1018,兒,402
1019,𠒆,280
1022,離,199
1023,籬,221
1025,罹,1
1026,璃,164
1027,酈,1
1029,驪,1
1032,鸝,1
1033,鵹,1
1034,𪅆,1
1039,麗,1
1043,蠡,2
1046,漓,2
1059,疵,137
1068,貲,1
1069,頿,1
1073,訾,1
1084,羈,7
1085,畸,2
1089,奇,21
1091,妓,1
1093,卑,186
1097,裨,9
1107,脾,221
1111,蜱,4
1121,施,249
1131,斯,199
1136,廝,136
1137,㒋,125
1157,差,129
1162,螭,1
1164,魑,1
1165,黐,10
1171,彌,194
1172,𢏏,147
1179,獼,3
1180,𥸀,10
1187,瀰,1
1188,雌,216
1193,知,456
1194,䵹,162
1195,鼅,162
1196,蜘,200
1205,欹,3
1210,馳,214
1212,池,285
1214,篪,2
1215,䶵,1
1216,踟,1
1225,危,272
1232,簁,69
1251,規,301
1264,箠,1
1267,眵,2
1269,齜,2
1278,脂,240
1288,姨,340
1289,彝,1
1290,寅,17
1291,夷,189
1299,痍,1
1304,胰,4
1307,羨,1
1314,師,388
1317,篩,285
1318,獅,197
1319,螄,9
1323,琵,173
1327,貔,1
1333,枇,165
1343,咨,153
1344,資,361
1349,諮,1
1350,姿,174
1358,飢,319
1360,肌,175
1370,辴,1
1372,𥭘,1
1385,茨,2
1386,薋,4
1387,薺,6
1388,餈,147
1389,𩜴,126
1393,瓷,279
1398,尼,214
1399,柅,2
1403,呢,28
1406,墀,1
1407,𡎰,1
1410,遲,371
1411,遟,278
1421,私,340
1426,尸,159
1428,屍,237
1429,蓍,1
