,IPA,beh-oe-ji,jyutping,other,pinyin,quoc ngu,romaja,romaji
',-0.0011171242144405612,3.8773669204393075e-05,-2.1422612651509154e-05,0.001254222742554556,-7.427334569626054e-07,-2.1768239540390113e-07,1.664692279282787e-05,4.6793943781066974e-05
(,-0.018712586644113623,0.0020174863838711313,-0.003472280215363982,0.021590855830724124,-0.00037368952510279335,-0.002191566876663308,0.00802737148136881,0.013791864670749967
),-0.009428402227725952,0.0013551050796107816,-0.003090243822804672,0.010968869592120855,-0.0003613426031766276,-0.0021897692748715832,0.008163903829488076,0.014715155130017052
*,-0.004913099282854896,0.0010648498643319303,-0.0024594690930222355,0.003642440197211095,-1.7352155490295707e-05,2.483922482090519e-05,0.0005711992654639353,0.023204673575578205
.,6.745354321175019e-05,-7.391098185965842e-06,-7.372204914423427e-06,-1.943803218049385e-05,-9.724650809603219e-08,1.6785594165407395e-06,3.80899739079231e-05,-3.123166644109528e-07
/,-0.012898089272373382,-0.0011851232269132217,-0.0010347435782844742,0.02034782166151411,-3.6606479904293396e-05,-1.1253648598186683e-05,-0.000326708612908827,0.00046058490964599947
:,9.729917015005804e-05,-0.0001204586781901227,-8.308776070143332e-06,-4.2885615273143015e-05,-3.346692446616176e-07,-2.1083897478328343e-07,-2.0788985836526107e-06,-6.9338108974707085e-06
C,6.745354321175019e-05,-7.391098185965842e-06,-7.372204914423427e-06,-1.943803218049385e-05,-9.724650809603219e-08,1.6785594165407395e-06,3.80899739079231e-05,-3.123166644109528e-07
`,-0.0018727473545933023,0.0017338153057650184,-0.003655507042287923,0.001345425039250473,-3.3326297946760538e-06,2.6892166098360908e-05,0.0011793812489331959,0.009494946555342955
a,0.001902366572208538,-0.015442211245163576,0.005365552755630283,-0.020969291820292724,-0.013713672975462997,-0.006382543841429192,-0.019641838395758948,-0.016707553779613554
b,-0.004722878017604102,0.0017319058626331818,-0.004093196273444158,0.001775698665718872,0.005940104478737142,0.0020375427623725234,0.005371183148105698,0.0021232136068314407
c,-0.006568707868302564,-0.00932663599981966,0.004726637856888113,0.00037225879385781324,-0.0008527463533885284,0.010236338711682814,0.005136159311669269,0.0008085480308874055
d,-0.0028522625013980446,-0.00684625158623292,0.005564934980221721,0.0023996774648548875,-0.00031072194795628077,0.015286728614668845,0.003427317956134472,0.00029675831806886345
e,-0.002471711979192173,-0.01652640412564762,-0.01075607153960895,-0.005008692221244442,-0.004499161971716121,0.009341097826066642,0.015217729989323595,0.0007461026306752013
f,-0.0026450387781846866,-0.005299246877353654,0.018572139227318627,0.0006420898567884465,-0.001620208736208147,0.011969579850648978,-0.0017387697525850527,0.0007793476085845556
g,-0.027593545700550285,0.011074841548740038,0.03359842444792756,0.0023941510800586296,-0.0037266543285268705,-0.0011439976377245866,0.021057048212541857,0.006459422521839664
h,-0.020520787350954348,0.03173917783892129,-0.04309924611571097,0.0035817855264620767,0.02702490340161555,0.025852459861424735,0.012807671110259952,0.008358986384697169
i,-0.02193745629268145,0.015118272319656434,0.005047829351861648,-0.004193429119055463,0.022950757040682515,-0.004339494199687554,-0.01038256366563714,0.006212551366269668
j,0.002153301219445669,-0.015441637265846606,0.001992917420961881,-0.002632535545118777,-0.00464201419482992,0.005617076532862122,0.0017306584230330222,-0.00579258455741488
k,0.02768312164923999,-0.013934092104306496,-0.002836844643282507,-0.027722765913736885,-0.045800027217361344,-0.03813948470163697,-0.026903483987318715,-0.020040655612295757
l,0.0017755538672612435,-0.0009969162034747998,-0.014603958135286258,-0.0010527816313382976,-0.0007524091170003592,-0.006396002566298024,-0.002681115148371153,-0.008691150528810842
m,0.008956925007289937,-0.01258797201715458,-0.004471233726849966,-0.009240906388228323,-0.013366555213678894,-0.010992863441400078,-0.0001529896751151338,-0.01281432753762103
n,0.0030893184406366493,-0.00760264200233823,-0.013828815889022428,-0.017235006034330484,0.011452221533867376,-0.013885094571896038,-0.0066496422656147644,-0.014071304345569774
o,0.005503346856454244,-0.012499930472459888,-0.0047289285627329595,-0.013179119400103067,-0.009577063451178697,-0.003426144674758017,0.014785816762164707,-0.010869790909885954
p,0.01805230797397017,-0.012194722014419073,-0.008605875205802554,-0.017387240078520595,-0.02377498036306786,-0.017212152481541808,-0.017047374764546246,-0.023486516706568154
q,0.034128166446964925,-0.03608590307406851,-0.06430395235431176,-0.017979380505617135,-0.0174007208668462,-0.02595925166017824,-0.02598452034945647,-0.025705420943930673
r,-0.003135744407204452,-0.0029937835470269787,-0.00787569399954698,0.004443414649498482,-0.0023503971652860615,0.013593349730136525,0.005099640861456875,0.003941419053984367
